Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-03T14:15:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,,
New York:,,
,
DJ Indust,"15,521.97","15,520.59","15,499.54","15,628.02","15,658.36",,
DJ Opening,"15,557.14","15,534.49","15,528.57","15,503.85","15,627.56",,
Day's High,"15,557.14","15,593.91","15,634.32","15,650.69","15,658.43",,
Day's low,"15,482.27","15,479.13","15,492.96","15,503.85","15,558.68",,
Nasdaq Comp,3599.14,3616.47,3626.37,3675.74,3689.59,,
S&P 500 Index,1685.33,1685.96,1685.73,1706.87,1709.67,,
Wilshire 5000,"17,871.47","17,888.88","17,890.61","18,128.87","18,154.68",,
NYSE volume ('000),"57,883,400","67,704,700"," 90,333,800","79,722,300","68,083,700",,
NYSE rises,895,1509,1533,1890,1512,,
NYSE falls,2087,1444,1451,1146,1460,,
Transport,6401.65,6421.82,6461.80,6670.06,6651.69,,
NYSE Comp,9571.79,9556.17,9558.83,9673.40,9690.07,,
AMEX Index,2350.72,2348.55 ,2356.39,2366.41,2363.33,,
Canada:,,
,
DJ S&P TSX Index,"12,669.04","12,581.75","12,486.64","12,593.96","12,603.25",,
London:,,
,
FTSE 100 Index,6560.25,6570.95,6621.06,6681.98,6647.87,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2741.73,2759.21,2768.15,2808.64,2811.00,,
Germany:,,
,
German Xetra Dax,8259.03,8271.02,8275.97,8410.73,8406.94,,
France:,,
,
CAC Index,3968.91,3986.61,3992.69,4042.73,4045.65,,
Switzerland:,,
,
Swiss Market Index,7814.11,7810.17,7820.43,7968.65,7963.93,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,819.98","40,991.30","41,292.84","41,909.39","41,700.19",,
JSE Africa Gold Index,1291.65,1265.61,1254.33,1278.85,1237.74,,
Italy:,,
,
FTSE Italia All Share Index,"17,299.00","17,559.87","17,503.70","17,868.07","17,853.13",,
Spain:,,
,
IBEX 35,8376.1,8456.5,8433.4,8540.2,8574.0,,
New Zealand:,,
,
NZ Top 50 Capital,4578.48,4550.59,4537.99,4545.77,4582.89,,
NZ Top 10 Capital,1083.04,1075.44,1074.47,1082.01,1096.29,,
Tokyo:,,
,
Nikkei 225 Index,"13,661.13","13,869.82","13,668.32","14,005.77","14,466.16",,
Nikkei high,"13,953.85","13,909.45","13,836.03","14,005.77","14,466.16",,
Nikkei low,"13,661.13","13,613.78","13,644.21","13,645.61","14,146.92",,
Nikkei 300 Index,230.00,233.74,230.75,237.26,244.06,,
Topix Index,1128.45,1148.53,1131.70,1163.39,1196.17,,
Hong Kong:,,
,
Hang Seng Index,"21,850.15","21,953.96","21,883.66","22,088.79","22,190.97",,
China:,,
,
Shanghai A Index,2068.39,2082.83,2086.70,2123.69,2124.02,,
Korea:,,
,
Seoul KOSPI,1899.89,1917.05,1914.03,1920.74,1923.38,,
Taiwan:,,
,
TAIEX Index,8084.50,8163.55,8107.94,8056.22,8099.88,,
Singapore:,,
,
Straits Times Index,3236.97,3245.45,3221.93,3243.29,3254.13,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1798.78,1795.08,1772.62,1777.82,1782.51,,
Indonesia:,,
,
JSX Composite Index,4580.47,4608.49,4610.38,4624.34,4640.78,,
India:,,
,
BSE Sensex Index,"19,593.28","19,348.34","19,345.70","19,317.19","19,164.02",,
Thailand:,,
,
FTSE SET Index,1454.28,1435.44,1423.14,1437.51,1420.94,,
Philippines:,,
,
Manila PSE Index,6717.66,6728.00,6639.12,6661.44,6533.95,,
World:,,
,
MSCI World,1508.86,1510.32,1507.91,1524.92,1533.85,,
Comm Research Index,284.17,282.22,284.49,285.62,284.31,,
Moody's Comm Index,5866.75,5845.04,5826.42,5834.04,5877.59,,
LME Index,2980.4,2931.6,2990.2,3029.7,3034.8,,
,
Source: Thomson Reuters,
