Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-02-12T16:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,,
New York:,,
,
DJ Indust,"12,845.13","12,878.20","12,883.95","12,890.46","12,801.23",,
DJ Opening,"12,860.72","12,844.37","12,865.79","12,884.41","12,889.55",,
Day's High,"12,860.79","12,903.71","12,893.64","12,924.71","12,889.63",,
Day's low,"12,793.43","12,782.57","12,817.69","12,846.41","12,743.56",,
Nasdaq Comp,2901.99,2904.08,2915.86,2927.23,2903.88,,
S&P 500 Index,1344.33,1347.05,1349.96,1351.95,1342.64,,
Wilshire 5000,"14,160.02","14,181.26","14,210.31","14,228.05","14,119.98",,
NYSE volume ('000),"68,415","72,766","47,781","75,747","74,980",,
NYSE rises,1225,1682,1665,1515,744,,
NYSE falls,1765,1288,1281,1468,2278,,
Transport,5334.25,5323.33,5298.61,5309.09,5254.14,,
NYSE Comp,8048.03,8069.71,8082.98,8081.25,7992.03,,
AMEX Index,2417,2432,2427,2436,2417,,
Canada:,,
,
DJ S&P TSX Index,"12,559.85","12,512.42","12,521.02","12,497.94","12,389.42",,
London:,,
,
FTSE 100 Index,5892.20,5890.26,5875.93,5895.47,5852.39,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2507.89,2514.12,2512.92,2522.34,2480.76,,
Germany:,,
,
German Xetra Dax,6764.83,6754.20,6748.76,6788.80,6692.96,,
France:,,
,
CAC Index,3405.27,3411.54,3410.00,3424.71,3373.14,,
Switzerland:,,
,
Swiss Market Index,6147.03,6157.59,6155.86,6169.63,6130.66,,
Johannesburg:,,
,
FTSE JSE All Share Index,"34,176.30","33,974.45","34,226.73","34,268.14","33,892.58",,
JSE Africa Gold Index,2908.19,2850.33,2889.52,2933.33,2925.45,,
Italy:,,
,
FTSE Italia All Share Index,"17,393.21","17,464.89","17,621.50","17,624.52","17,348.10",,
Spain:,,
,
IBEX 35,8835.3,8846.9,8849.3,8902.1,8797.1,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,3315.14,3324.67,3326.74,3348.13,,
NZ Top 10 Capital,Closed,850.50,852.74,853.22,860.11,,
Tokyo:,,
,
Nikkei 225 Index,8929.20,8917.52,9015.59,9002.24,8947.17,,
Nikkei high,8949.32,8928.44,9015.59,9018.49,9016.97,,
Nikkei low,8916.94,8887.19,8956.78,8942.87,8947.17,,
Nikkei 300 Index,154.90,155.53,157.51,157.94,156.89,,
Topix Index,769.85,772.77,782.34,784.49,779.07,,
Nikkei vol (mil),2183,2135,2477,2668,2361,,
Hong Kong:,,
,
Hang Seng Index,"20,709.94","20,699.19","21,018.46","21,010.01","20,783.86",,
China:,,
,
Shanghai A Index,2442.23,2401.03,2459.40,2461.51,2463.98,,
Korea:,,
,
Seoul KOSPI,1973.13,1981.59,2003.73,2014.62,1993.71,,
Taiwan:,,
,
TAIEX Index,7687.98,7707.44,7869.91,7910.78,7862.27,,
Singapore:,,
,
Straits Times Index,2940.10,2957.78,2982.20,2981.17,2960.00,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,Closed,1553.18,1565.32,1561.66,,
Indonesia:,,
,
JSX Composite Index,3974.79,3955.45,3988.70,3978.99,3912.39,,
India:,,
,
BSE Sensex Index,"17,707.31","17,622.45","17,707.32","17,830.75","17,748.69",,
Thailand:,,
,
FTSE SET Index,1094.01,1101.12,1116.08,1117.17,1112.91,,
Philippines:,,
,
Manila PSE Index,4816.33,4755.98,4805.80,4769.62,4783.52,,
World:,,
,
MSCI World,1273.46,1278.27,1281.23,1284.24,1269.70,,
Comm Research Index,314.42,315.21,314.99,315.71,312.35,,
Moody's Comm Index,6492.49,6499.34,6465.75,6534.35,6526.01,,
LME Index,3716.2,3731.1,3748.0,3820.4,3706.6,,
,
Source: Thomson Reuters,
