Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-02-17T16:30:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,,
New York:,,
,
DJ Indust,"13,971.24","14,018.70","13,982.91","13,973.39","13,981.76",,
DJ Opening,"13,992.97","13,971.24","14,018.70","13,982.91","13,973.39",,
Day's High,"13,992.97","14,038.97","14,029.35","13,990.36","14,001.93",,
Day's low,"13,940.41","13,968.94","13,945.78","13,921.94","13,906.73",,
Nasdaq Comp,3192.00,3186.49,3196.88,3198.66,3192.03,,
S&P 500 Index,"1,517.01","1,519.43","1,520.33","1,521.38","1,519.79",,
Wilshire 5000,"16,024.30","16,053.69","16,070.02","16,089.30","16,069.37",,
NYSE volume ('000),"49,651","61,299","65,603","67,109","93,869",,
NYSE rises,1331,1914,1764,1493,1427,,
NYSE falls,1624,1049,1222,1481,1522,,
Transport,5909.15,5906.86,5929.22,5947.70,5946.45,,
NYSE Comp,8919.02,8957.61,8955.60,8953.07,8933.22,,
AMEX Index,2392.58,2399.90,2403.47,2393.80,2388.24,,
Canada:,,
,
DJ S&P TSX Index,"12,748.15","12,789.02","12,775.28","12,721.79","12,686.63",,
London:,,
,
FTSE 100 Index,6277.06,6338.38,6359.11,6327.36,6328.26,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2622.61,2648.83,2656.86,2635.35,2615.26,,
Germany:,,
,
German Xetra Dax,7633.74,7660.19,7711.89,7631.19,7593.51,,
France:,,
,
CAC Index,3650.58,3686.58,3698.53,3669.60,3660.37,,
Switzerland:,,
,
Swiss Market Index,7407.60,7427.06,7482.22,7482.20,7500.57,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,832.67","40,700.45","40,808.73","40,732.86","40,681.34",,
JSE Africa Gold Index,2198.35,2213.49,2241.00,2225.87,2118.38,,
Italy:,,
,
FTSE Italia All Share Index,"17,464.62","17,588.90","17,671.10","17,492.70","17,472.19",,
Spain:,,
,
IBEX 35,8078.6,8234.7,8306.2,8247.4,8150.2,,
New Zealand:,,
,
NZ Top 50 Capital,4220.50,4218.12,4221.40,4239.20,4196.74,,
NZ Top 10 Capital,1007.82,1007.96,1008.94,1011.83,996.18,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"11,369.12","11,251.41","11,307.28","11,173.83",,
Nikkei high,Closed,"11,460.64","11,365.27","11,356.54","11,261.58",,
Nikkei low,Closed,"11,343.44","11,196.66","11,243.49","11,065.06",,
Nikkei 300 Index,Closed,197.15,194.97,194.57,192.11,,
Topix Index,Closed,968.50,957.02,954.88,942.41,,
Hong Kong:,,
,
Hang Seng Index,Closed,Closed,Closed,"11,821.44","11,845.20",,
China:,,
,
Shanghai A Index,Closed,Closed,Closed,Closed,"2,545.85540",,
Korea:,,
,
Seoul KOSPI,Closed,1945.79,1976.07,1979.61,1981.18,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,Closed,Closed,Closed,,
Singapore:,,
,
Straits Times Index,Closed,Closed,3301.04,3290.47,3283.07,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,Closed,1631.16,1630.89,1627.93,,
Indonesia:,,
,
JSX Composite Index,4503.25,4548.24,4571.57,4588.67,4609.79,,
India:,,
,
BSE Sensex Index,"19,460.57","19,561.04","19,608.08","19,497.18","19,468.15",,
Thailand:,,
,
FTSE SET Index,1489.11,1488.95,1514.11,1526.74,1521.52,,
Philippines:,,
,
Manila PSE Index,6458.01,6459.93,6527.99,6513.41,6521.64,,
World:,,
,
MSCI World,1405.70,1413.83,1413.81,1411.59,1406.9,,
Comm Research Index,301.19,301.12,301.05,300.16,298.94,,
Moody's Comm Index,6468.80,6458.65,6421.61,6431.60,6402.23,,
LME Index,3568.4,3590.6,3591.3,3605.8,3602.3,,
,
Source: Thomson Reuters,
