Weekly Roundup - Overseas Indices,,,,,,
XAO 4693.7 at 16:47 20/11/2009  Report at 19:10 Friday 20/11/2009 . Processed 18:35 Sunday 22/11/2009.,,,,,,



,,,,,,
,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,
NEW YORK:,,,,,,
"""DJ Indust         ","10,406.96","10,437.42","10,426.31","10,332.44","10,318.16",""""
"""DJ Opening    ","10,267.53","10,404.77","10,426.27","10,425.33","10,327.91",""""
"""Day's High      ","10,434.24","10,438.17","10,432.66","10,425.33","10,342.72",""""
"""Day's low         ","10,267.45","10,361.99","10,360.10","10,256.11","10,271.68",""""
Nasdaq Comp       ,2197.85,2203.78,2193.14,2156.82,2146.04,
S&P 500 Index     ,1109.3,1110.32,1109.8,1094.9,1091.38,
"""NYSE volume ('000)      ","1,145,347","97,198","1,063,355","1,082,887","1,142,277",""""
NYSE rises        ,2485,1347,1381,572,1271,
NYSE falls        ,576,1653,1640,2480,1716,
Transport         ,4046.5,4049.6,4028.62,3956.09,3945.52,
NYSE Comp         ,7237.1,7234.06,7226.71,7117.64,7084.47,
AMEX Index        ,1835.54,1835.32,1825.65,1805.36,1782.07,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,512.26","11,630.00","11,652.69","11,600.30","11,579.33",""""
LONDON:,,,,,,
FT 100 Index      ,5382.67,5345.93,5342.13,5267.7,5251.41,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2926.15,2906.92,2908.53,2860.29,2833.06,
GERMANY:,,,,,,
German Xetra Dax  ,5804.82,5778.43,5787.61,5702.18,5663.15,
FRANCE:,,,,,,
CAC Index         ,3863.67,3829.06,3828.16,3760.22,3729.36,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6422.81,6376.4,6368.97,6286.81,6277.46,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,104.29","27,246.40","27,210.64","27,059.21","26,929.25",""""
JSE Africa Gold Index        ,2621.79,2624.48,2621.18,n/a     ,2604.63,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","24,024.94","23,807.43","23,754.38","23,259.19","22,954.36",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,986.90","11,959.40","12,034.40","11,846.20","11,719.30",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3173.97,3131.52,3128.4,3141.18,3113.63,
NZ Top 10 Capital   ,864.68,851.26,851.5,857.8,847.7,
TOKYO:,,,,,,
Nikkei 225 Index  ,9791.18,9729.93,9676.8,9549.47,9497.68,
Nikkei high       ,9802.53,9847.64,9788.81,9691.86,9513.5,
Nikkei low        ,9725.81,9715.28,9631.83,9496.07,9423.66,
Nikkei 300 Index  ,174.47,174.03,172.55,169.88,169.85,
Topix Index       ,860.42,857,850.06,837.71,838.71,
Nikkei vol (mil)  ,1.845,1.915,2.264,2.558,2.126,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,943.98","22,914.15","22,840.33","22,643.16","22,455.84",""""
 CHINA:,,,,,,
Shanghai A Index  ,3435.4,3443.23,3464.4,3482.58,3469.68,
KOREA:,,,,,,
Seoul KOSPI     ,1592.47,1585.98,1603.97,1620.54,1620.6,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,032.51","17,050.65","16,998.78","16,785.65","17,021.85",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2783.85,2764.95,2745.04,2758.79,2761.54,
MALAYSIA:,,,,,,
KL Composite Index   ,1278.31,1279.95,1275.1,1276.65,1274.36,
INDONESIA:,,,,,,
JSX Composite Index      ,2468.68,2473.79,2484.23,2468.79,2487.36,
THAILAND:,,,,,,
Bangkok SET Index         ,706.75,706.55,707.26,700.42,695.25
PHILIPPINES:,,,,,
Manila PSE Index         ,3011.36,3032.09,3052.61,3083.3,3968.73
TAIWAN:,,,,,
TAIEX Index   ,7792.68,7733.21,7766.69,7759.98,7682.97
WORLD:,,,,,
MSCI World        ,1176,1166.3,1170.4,1149.2,1143.4
Comm Research Index    ,276.74,277.25,277.53,274.27,274.58
Moody's Comm Index   ,4297.55,4379.55,4423.05,4446.12,4419.12
LME Index        ,3136.1,3134,3159,3112.1,3134.3
