Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-02-05T16:30:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,,
New York:,,
,
DJ Indust,"12,653.72","12,632.91","12,716.46","12,705.41","12,862.23",,
DJ Opening,"12,659.17","12,654.78","12,632.76","12,716.54","12,705.04",,
Day's High,"12,659.32","12,720.10","12,784.62","12,741.89","12,869.95",,
Day's low,"12,529.41","12,567.33","12,632.76","12,676.05","12,704.96",,
Nasdaq Comp,2811.94,2813.84,2848.27,2859.68,2905.66,,
S&P 500 Index,1313.01,1312.41,1324.09,1325.54,1344.9,,
Wilshire 5000,"13,774.49","13,769.31","13,922.28","13,947.69","14,167.71",,
NYSE volume ('000),"74,285","1,032,904","89,119","80,917","90,270",,
NYSE rises,1096,1737,2485 ,1685,2341,,
NYSE falls,1865,1219,518,1279,647,,
Transport,5321.97,5319.14,5343.10,5305.66,5368.93,,
NYSE Comp,7834.41,7838.48,7931.45,7945.43,8060.43,,
AMEX Index,2354.16,2358.97,2392.04,2388.55,2417.81,,
Canada:,,
,
DJ S&P TSX Index,"12,436.42","12,452.15","12,517.66","12,553.48","12,577.28",,
London:,,
,
FTSE 100 Index,5671.09,5681.61,5790.72,5796.07,5901.07,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2404.62,2416.66,2470.79,2478.15,2515.15,,
Germany:,,
,
German Xetra Dax,6444.45,6458.91,6616.64,6655.63,6766.67,,
France:,,
,
CAC Index,3265.64,3298.55,3367.46,3376.66,3427.92,,
Switzerland:,,
,
Swiss Market Index,5970.74,5970.49,6069.91,6064.41,6153.31,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,629.77","33,792.48","34,139.52","34,371.50","34,386.97",,
JSE Africa Gold Index,2974.71,2950.86,2929.35,2930.05,2872.96,,
Italy:,,
,
FTSE Italia All Share Index,"16,660.35","16,774.11","17,208.34","17,244.61","17,413.71",,
Spain:,,
,
IBEX 35,8517.0,8509.2,8696.6,8772.3,8861.2,,
New Zealand:,,
,
NZ Top 50 Capital,3307.22,3296.20,3301.79,3314.64,3312.23,,
NZ Top 10 Capital,855.15,847.58,851.78,851.95,850.91,,
Tokyo:,,
,
Nikkei 225 Index,8793.05,8802.51,8809.79,8876.82,8831.93,,
Nikkei high,8832.48,8836.68,8830.28,8893.22,8877.57,,
Nikkei low,8774.23,8776.65,8780.10,8849.25,8825.98,,
Nikkei 300 Index,152.33,151.91,152.39,153.34,152.97,,
Topix Index,757.01,755.27,757.96,762.45,760.69,,
Nikkei vol (mil),1646,2067,2150,2251,2333,,
Hong Kong:,,
,
Hang Seng Index,"20,160.41","20,390.49","20,333.37","20,739.45","20,756.98",,
China:,,
,
Shanghai A Index,2393.94,2401.87,2376.14,2422.79,2441.49,,
Korea:,,
,
Seoul KOSPI,1940.55,1955.79,1959.24,1984.30,1972.34,,
Taiwan:,,
,
TAIEX Index,7407.41,7517.08,7549.21,7652.46,7674.99,,
Singapore:,,
,
Straits Times Index,2888.29,2906.69,2904.76,2901.04,2917.95,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1513.55,1521.29,Closed,1537.09,1538.77,,
Indonesia:,,
,
JSX Composite Index,3915.16,3941.69,3964.98,4016.90,4015.95,,
India:,,
,
BSE Sensex Index,"16,863.30","17,193.55","17,300.58","17,431.85","17,604.96",,
Thailand:,,
,
FTSE SET Index,1074.71,1083.97,1086.36,1091.67,1098.95,,
Philippines:,,
,
Manila PSE Index,4644.49,4682.44,4715.64,4822.08,4758.57,,
World:,,
,
MSCI World,1238.89,1240.89,1257.58,1259.91,1273.74,,
Comm Research Index,314.12,312.52,311.74,311.11,314.43,,
Moody's Comm Index,6454.61,6495.37,6488.53,6480.73,n/a,,
LME Index,3718.4,3666.8,3709.0,3651.1,3740.5,,
,
Source: Thomson Reuters,
