Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-16T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 11,May 12,May 13,May 14,May 15,,
New York:,,
,
DJ Indust,"18,105.17","18,068.23","18,060.49","18,252.24","18,272.56",,
DJ Opening,"18,187.78","18,096.16","18,070.37","18,062.49","18,251.97",,
Day's High,"18,199.95","18,119.18","18,132.79","18,255.21","18,272.72",,
Day's low,"18,089.11","17,924.80","18,039.20","18,062.49","18,215.07",,
Nasdaq Comp,4993.57,4976.19,4981.69,5050.80,5048.29,,
S&P 500 Index,2105.33,2099.12,2098.48,2121.10,2122.73,,
Wilshire 5000,"22,224.81","22,169.36","22,159.94","22,387.05","22,402.17",,
NYSE volume ('000),695713,709803,719189,712963,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8754.59,8649.87,8559.51,8598.51,8680.78,,
NYSE Comp,"11,140.74","11,113.17","11,117.00","11,207.33","11,228.35",,
AMEX Index,2474.14,2462.69,2465.57,2482.43,2482.95,,
Canada:,,
,
DJ S&P TSX Index,"15,152.64","15,043.15","14,980.72","15,028.12","15,108.12",,
London:,,
,
FTSE 100 Index,7029.85,6933.80,6949.63,6973.04,6960.49,,
Europe:,,
,
EURO STOXX 50 Index,3624.41,3573.10,3553.42,3602.22,3573.07,,
Germany:,,
,
German Xetra Dax,"11,673.35","11,472.41","11,351.46","11,559.82","11,447.03",,
France:,,
,
CAC Index,5027.87,4974.65,4961.86,5029.31,4993.82,,
Switzerland:,,
,
Swiss Market Index,9117.33,9044.98,9050.66,Closed,9109.92,,
Johannesburg:,,
,
FTSE JSE All Share Index,"54,161.05","53,934.41","54,053.92","53,874.59","54,028.17",,
JSE Africa Gold Index,1217.72,1218.45,1225.45,1239.91,1211.65,,
Italy:,,
,
FTSE Italia All Share Index,"24,910.03","24,690.17","24,791.58","25,117.86","25,053.63",,
Spain:,,
,
IBEX 35,"11,445.8","11,322.6","11,324.6","11,398.7","11,317.3",,
New Zealand:,,
,
NZ Top 50 Capital,5747.95,5746.23,5751.76,5738.40,5760.38,,
NZ Top 10 Capital,1191.50,1196.14,1195.24,1191.14,1197.43,,
Tokyo:,,
,
Nikkei 225 Index,"19,620.91","19,624.84","19,764.72","19,570.24","19,732.92",,
Nikkei high,"19,679.63","19,626.75","19,791.88","19,717.80","19,750.76",,
Nikkei low,"19,586.81","19,467.65","19,494.70","19,546.82","19,633.75",,
Nikkei 300 Index,324.50,325.05,325.58,322.94,326.25,,
Topix Index,1598.33,1602.27,1604.21,1591.49,1607.11,,
Hong Kong:,,
,
Hang Seng Index,"27,718.20","27,407.18","27,249.28","27,286.55","27,822.28",,
China:,,
,
Shanghai A Index,4539.89,4610.69,4583.85,4586.33,4512.17,,
Korea:,,
,
Seoul KOSPI,2097.38,2096.77,2114.16,2120.33,2106.50,,
Taiwan:,,
,
TAIEX Index,9663.72,9680.73,9724.11,9610.83,9579.48,,
Singapore:,,
,
Straits Times Index,3470.80,3442.33,3453.17,3455.78,3463.10,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1805.49,1798.61,1803.02,1807.55,1811.92,,
Indonesia:,,
,
JSX Composite Index,5172.48,5205.61,5246.13,Closed,5227.10,,
India:,,
,
BSE Sensex Index,"27,507.30","26,877.48","27,251.10","27,206.06","27,324.00",,
Thailand:,,
,
FTSE SET Index,1501.30,1485.72,1495.95,1497.40,1512.19,,
Philippines:,,
,
Manila PSE Index,7777.90,7794.55,7808.35,7831.44,7881.95,,
World:,,
,
MSCI World,1789.09,1784.91,1789.97,1803.42,1807.06,,
Comm Research Index,228.85,231.68,231.73,232.36,232.05,,
Moody's Comm Index,5460.70,5457.25,5493.45,5523.70,5523.70,,
LME Index,2914.0,2948.8,2924.8,2912.8,2911.4,,
,
Source: Thomson Reuters,
