Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-07-05T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 30,Jul 1,Jul 2,Jul 3,Jul 4,,
New York:,,
,
DJ Indust,"16,826.60","16,956.07","16,976.24","17,068.26",Closed,,
DJ Opening,"16,852.49","16,828.53","16,949.71","16,979.00",Closed,,
Day's High,"16,871.27","16,998.70","16,986.63","17,074.65",Closed,,
Day's low,"16,801.94","16,828.53","16,949.71","16,979.00",Closed,,
Nasdaq Comp,4408.18,4458.65,4457.73,4485.93,Closed,,
S&P 500 Index,1960.23,1973.32,1974.62,1985.44,Closed,,
Wilshire 5000,"20,862.74","21,008.86","20,997.11","21,107.54",Closed,,
NYSE volume ('000),n/a,n/a,n/a,n/a,Closed,,
NYSE rises,1829,2052,1120,1741,Closed,,
NYSE falls,1199,1003,1930,1284,Closed,,
Transport,8202.30,8261.70,8232.59,8294.74,Closed,,
NYSE Comp,"10,979.42","11,046.61","11,050.34","11,104.72",Closed,,
AMEX Index,2778.88,2802.29,2819.05,2833.44,Closed,,
Canada:,,
,
DJ S&P TSX Index,"15,146.01",Closed,"15,209.79","15,207.11","15,214.96",,
London:,,
,
FTSE 100 Index,6743.94,6802.92,6816.37,6865.21,6866.05,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3228.24,3258.71,3252.25,3289.75,3270.47,,
Germany:,,
,
German Xetra Dax,9833.07,9902.41,9911.27,"10,029.43","10,009.08",,
France:,,
,
CAC Index,4422.84,4461.12,4444.72,4489.88,4468.98,,
Switzerland:,,
,
Swiss Market Index,8554.52,8607.97,8607.20,8694.32,8678.22,,
Johannesburg:,,
,
FTSE JSE All Share Index,"50,945.26","51,480.19","51,883.71","51,918.44","52,060.03",,
JSE Africa Gold Index,1449.66,1506.15,1517.21,1483.23,1492.96,,
Italy:,,
,
FTSE Italia All Share Index,"22,585.05","22,897.16","23,029.65","23,247.35","22,926.16",,
Spain:,,
,
IBEX 35,"10,923.5","11,007.8","11,016.2","11,090.0","11,009.4",,
New Zealand:,,
,
NZ Top 50 Capital,5141.48,5146.26,5149.39,5167.39,5188.91,,
NZ Top 10 Capital,1153.22,1153.16,1154.15,1157.31,1162.28,,
Tokyo:,,
,
Nikkei 225 Index,"15,162.10","15,326.20","15,369.97","15,348.29","15,437.13",,
Nikkei high,"15,177.87","15,389.08","15,444.63","15,435.34","15,490.37",,
Nikkei low,"15,052.34","15,145.87","15,354.91","15,324.32","15,420.07",,
Nikkei 300 Index,255.43,258.25,259.31,258.74,260.00,,
Topix Index,1262.56,1276.08,1280.78,1278.59,1285.24,,
Hong Kong:,,
,
Hang Seng Index,"23,190.72",Closed,"23,549.62","23,531.44","23,546.36",,
China:,,
,
Shanghai A Index,2144.75,2146.87,2156.35,2160.32,2156.25,,
Korea:,,
,
Seoul KOSPI,2002.21,1999.00,2015.28,2010.97,2009.66,,
Taiwan:,,
,
TAIEX Index,9393.07,9441.92,9484.96,9526.23,9510.05,,
Singapore:,,
,
Straits Times Index,3255.67,3242.64,3263.91,3273.15,3272.25,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1882.71,1879.12,1886.84,1888.69,1884.91,,
Indonesia:,,
,
JSX Composite Index,4878.58,4884.83,4908.27,4888.74,4905.83,,
India:,,
,
BSE Sensex Index,"25,413.78","25,516.35","25,841.21","25,823.75","25,962.06",,
Thailand:,,
,
FTSE SET Index,1485.75,Closed,1491.81,1493.21,1495.83,,
Philippines:,,
,
Manila PSE Index,6844.31,6826.61,6850.60,6899.31,6962.28,,
World:,,
,
MSCI World,1743.42,1754.76,1756.96,1764.12,1763.44,,
Comm Research Index,308.94,308.15,307.86,307.46,Closed,,
Moody's Comm Index,6296.49,6278.87,6285.64,6285.64,Closed,,
LME Index,3207.5,3205.3,3264.0,3280.2,3259.8,,
,
Source: Thomson Reuters,
