Weekly Roundup - Overseas Indices,,,,,,
XAO 5007.3 at 16:34 16/4/2010  Report at 19:14 Friday 16/4/2010. Processed 17:57 Sunday 18/4/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,
NEW YORK:,,,,,,
"""DJ Indust         ","11,005.97","11,019.42","11,123.11","11,144.57","11,018.66",""""
"""DJ Opening    ","10,996.75","11,006.72","11,020.70","11,122.96","11,143.66",""""
"""Day's High      ","11,029.77","11,038.92","11,125.22","11,154.55","11,153.79",""""
"""Day's low         ","10,992.21","10,947.77","11,020.63","11,096.20","10,973.92",""""
Nasdaq Comp       ,2457.87,2465.99,2504.86,2515.69,2481.26,
S&P 500 Index     ,1196.48,1197.3,1210.65,1211.67,1192.13,
"""Wilshire 5000    ","12,473.84","12,486.81","12,640.97","12,648.61","12,451.38",""""
"""NYSE volume ('000)      ","97,331","1, 051,235","1,141,310","1,196,331","1,747,346",""""
NYSE rises        ,1737,1549,2356,1449,571,
NYSE falls        ,1304,1481,697,1549,2465,
Transport         ,4520.7,4536.66,4645.03,4724.93,4645.75,
NYSE Comp         ,7641.75,7638.35,7728.96,7719.66,7584.62,
AMEX Index        ,1980.05,1974.01,1981.84,1964.29,1935.76,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","12,148.66","12,101.52","12,204.41","12,211.52","12,070.66",""""
LONDON:,,,,,,
FT 100 Index      ,5777.65,5761.66,5796.25,5825.01,5743.96,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,3002.23,2988.24,3008.03,3012.65,2949.65,
GERMANY:,,,,,,
German Xetra Dax  ,6250.69,6230.83,6278.4,6291.45,6180.9,
FRANCE:,,,,,,
CAC Index         ,4050.5,4031.99,4057.7,4265.65,3986.63,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6910.96,6885.86,6916.59,6967.56,6893.69,
JOHANNESBURG:,,,,,,
"""All Share Index   ","29,210.09","28,941.83","29,499.70","29,565.10","29,054.40",""""
JSE Africa Gold Index        ,2331.35,2260.32,2284.94,2314.81,2256.92,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,804.06","23,709.43","23,983.04","24,049.59","23,550.52",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,460.80","11,461.00","11,503.70","11,523.50","11,259.70",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3314.14,3309.93,3335.51,3321.12,3311.31,
NZ Top 10 Capital   ,872.57,870.64,879.4,874.23,871.92,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","11,251.90","11,161.23","11,204.90","11,273.79","11,102.18",""""
"""Nikkei high       ","11,351.55","11,212.65","11,270.20","11,316.66","11,230.53",""""
"""Nikkei low        ","11,248.57","11,088.48","11,161.01","11,255.80","11,084.72",""""
Nikkei 300 Index  ,202.19,200.86,201.34,202.75,200.68,
Topix Index       ,994.78,988.44,991.1,998.9,988.84,
Nikkei vol (mil)  ,2180,2373,2337,2367,2222,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,138.17","22,103.53","22,121.43","22,157.82","21,865.26",""""
 CHINA:,,,,,,
Shanghai A Index  ,3280.9,3314.61,3319.78,3318.49,3282.01,
KOREA:,,,,,,
Seoul KOSPI     ,1710.3,1710.59,1735.33,1743.91,1734.49,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,853.00","17,821.96",closed     ,"17,639.26","17,591.18",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2977.17,2971.6,3019.74,3016.94,3007.19,
MALAYSIA:,,,,,,
KL Composite Index   ,1339.61,1334.52,1335.89,1338.83,1332.77,
INDONESIA:,,,,,,
JSX Composite Index      ,2881.33,2884.7,2885.02,2900.53,2878.67,
THAILAND:,,,,,,
Bangkok SET Index         ,760.9,closed  ,closed ,closed ,736.16,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3294.83,3299.9,3299.69,3278.84,3265.54,
TAIWAN:,,,,,,
TAIEX Index   ,8117.75,8029.73,8097.13,8171.94,8111.57,
WORLD:,,,,,,
MSCI World        ,1229.3,1226,1239.3,1241.7,1223.4,
Comm Research Index    ,276.2,277.35,279.96,279.75,276.29,
Moody's Comm Index   ,4932.44,4956.17,4975.25,4997,5019.61,
LME Index        ,3698.1,3694.1,3739,3767.7,3688.3,
