Weekly Roundup - Overseas Indices,,,,,,
 XAO 4472.4 at 16:37 11/6/2010  Report at 19:12 Friday 11/6/2010!. Processed 17:43 Monday 14/6/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,
NEW YORK:,,,,,,
"""DJ Indust         ",9816.49,9939.98,9899.25,10172.53,"10,211.07",""""
"""DJ Opening    ",9931.75,9812.94,9941.57,99901.67,"10,166.78",""""
"""Day's High      ",9982.38,9953.66,"10,065.14","10,185.83","10,215.98",""""
"""Day's low         ",9810.3,9757.55,9867.73,9901.67,"10,082.71",""""
Nasdaq Comp       ,2173.9,2170.57,2158.85,2218.71,2243.6,
S&P 500 Index     ,1050.47,1062,1055.69,1086.84,1091.6,
"""Wilshire 5000    ","10,951.66","11,049.97","11,002.58","11,332.69","11,400.03",""""
"""NYSE volume ('000)      ","1,424,453","1,645,775","1,698,737","1,335,536","1,040,641",""""
NYSE rises        ,815,1836,1568,2690,2212,
NYSE falls        ,2221,1209,1472,380,805,
Transport         ,4037.98,4089.7,4093.11,4271.11,4319.88,
NYSE Comp         ,6512.42,6596.12,6559.71,6783.51,6814.76,
AMEX Index        ,1783.02,1805.4,1800.34,1844.17,1842.79,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,504.74","11,517.18","11,450.64","11,635.85","11,666.92",""""
LONDON:,,,,,,
FT 100 Index      ,5069.06,5028.15,5085.86,5132.5,5163.68,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2529.97,2510.84,2556.68,2608.74,2638.31,
GERMANY:,,,,,,
German Xetra Dax  ,5904.95,5868.55,5984.75,6056.59,6047.83,
FRANCE:,,,,,,
CAC Index         ,3413.72,3380.36,3446.77,3516.64,3555.52,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6291.04,6246.22,6319.18,6376.66,6416.74,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,193.37","26,019.71","26,650.86","27,133.87","26,849.17",""""
JSE Africa Gold Index        ,2584.59,2512.56,2519.56,2524.37,2506.29,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","19,262.54","19,154.30","19,520.99","19,989.27","20,255.23",""""
SPAIN:,,,,,,
IBEX 35  ,8795.3,8669.8,8868.7,9198.2,9561.7,
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,Closed  ,2988.98,3000.11,3002.33,3041.26,
NZ Top 10 Capital   ,       ,788.24,791.71,792.57,802.83,
TOKYO:,,,,,,
Nikkei 225 Index  ,9520.8,9537.94,9439.13,9542.65,9705.25,
Nikkei high       ,9714.42,9587.65,9487.91,9544.04,9764.73,
Nikkei low        ,9502.62,9434.81,9378.23,9437.47,9673.6,
Nikkei 300 Index  ,173.57,173.36,171.65,172.98,174.97,
Topix Index       ,859.21,858.33,850.37,856.79,866.44,
Nikkei vol (mil)  ,2010,1805,2040,1685,2824,
HONG KONG:,,,,,,
"""Hang Seng Index    ","19,378.15","19,487.48","19,621.24","19,632.70","19,872.38",""""
 CHINA:,,,,,,
Shanghai A Index  ,2633.56,2635.69,2768.92,2686.53,2694.25,
KOREA:,,,,,,
Seoul KOSPI     ,1637.97,1651.48,1647.22,1651.7,1675.34,
TAIWAN:,,,,,,
TAIEX Index   ,7157.83,7151.99,7071.67,7181.77,7299.49,
SINGAPORE:,,,,,,
Straits Times Index  ,2751.88,2746.61,2745.8,2779.58,2796.29,
MALAYSIA:,,,,,,
KL Composite Index   ,1286.27,1288.18,1290.08,1291.31,1294.67,
INDONESIA:,,,,,,
JSX Composite Index      ,2750.23,2779.98,2785.79,2770.79,2801.9,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,781.07","16,617.10","16,657.89","16,922.08","17,064.95",""""
THAILAND:,,,,,,
Bangkok SET Index         ,759.85,757.41,764.21,768.16,769.55,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3266.11,3274.26,3254.83,3224.49,3265.44,
WORLD:,,,,,,
MSCI World        ,1050.8,1040.3,1061.4,1069.8,1075.7,
Comm Research Index    ,248.98,250.08,253.06,255.08,255.92,
Moody's Comm Index   ,4622.46,4558.06,4576.7,4655.51,4649.47,
LME Index        ,2789,2845.8,2913.7,2939.3,2965.2,
