Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2015-04-07T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 30,Mar 31,Apr 1,Apr 2,Apr 3,,
New York:,,
,
DJ Indust,"17,976.31","17,776.12","17,698.18","17,763.24",Closed,,
DJ Opening,"17,727.48","17,965.37","17,778.52","17,699.52",Closed,,
Day's High,"18,008.64","17,965.37","17,778.52","17,815.03",Closed,,
Day's low,"17,727.48","17,773.02","17,585.01","17,673.49",Closed,,
Nasdaq Comp,4947.44,4900.88,4880.23,4886.94,Closed,,
S&P 500 Index,2086.24,2067.89,2059.69,2066.96,Closed,,
Wilshire 5000,"22,114.56","21,947.91","21,869.06","21,946.62",Closed,,
NYSE volume ('000),675769,966017,801602,n/a,Closed,,
NYSE rises,n/a,n/a,n/a,n/a,Closed,,
NYSE falls,n/a,n/a,n/a,n/a,Closed,,
Transport,8788.06,8741.41,8672.13,8605.31,Closed,,
NYSE Comp,"10,989.16","10,899.19","10,891.61","10,953.16",Closed,,
AMEX Index,2423.76,2379.62,2404.52,2441.96,Closed,,
Canada:,,
,
DJ S&P TSX Index,"14,908.39","14,902.44","14,942.55","15,026.62",Closed,,
London:,,
,
FTSE 100 Index,6891.43,6773.04,6809.50,6833.46,Closed,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3727.80,3697.38,3714.89,3715.27,Closed,,
Germany:,,
,
German Xetra Dax,"12,086.01","11,966.17","12,001.38","11,967.39",Closed,,
France:,,
,
CAC Index,5083.52,5033.64,5062.22,5074.14,Closed,,
Switzerland:,,
,
Swiss Market Index,9202.18,9128.98,9137.26,9130.60,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"52,455.36","52,181.95","52,281.14","52,229.32",Closed,,
JSE Africa Gold Index,1241.04,1226.54,1197.42,1221.18,Closed,,
Italy:,,
,
FTSE Italia All Share Index,"24,834.84","24,734.07","24,938.94","24,907.16",Closed,,
Spain:,,
,
IBEX 35,"11,529.1","11,521.1","11,569.8","11,634.0",Closed,,
New Zealand:,,
,
NZ Top 50 Capital,5821.29,5833.99,5835.58,5831.40,Closed,,
NZ Top 10 Capital,1202.26,1205.65,1210.80,1213.53,Closed,,
Tokyo:,,
,
Nikkei 225 Index,"19,411.40","19,206.99","19,034.84","19,312.79","19,435.08",,
Nikkei high,"19,474.07","19,607.25","19,195.23","19,433.89","19,435.08",,
Nikkei low,"19,227.29","19,206.99","18,927.95","19,115.14","19,289.04",,
Nikkei 300 Index,316.94,313.39,310.60,315.71,317.78,,
Topix Index,1557.77,1543.11,1528.99,1554.17,1564.16,,
Hong Kong:,,
,
Hang Seng Index,"24,855.12","24,900.89","25,082.75","25,275.64",Closed,,
China:,,
,
Shanghai A Index,3968.83,3928.24,3993.82,4010.05,4050.09,,
Korea:,,
,
Seoul KOSPI,2030.04,2041.03,2028.45,2029.07,2045.42,,
Taiwan:,,
,
TAIEX Index,9521.87,9586.44,9507.66,9600.32,Closed,,
Singapore:,,
,
Straits Times Index,3454.26,3447.01,3447.02,3453.75,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1821.83,1830.78,1826.31,1831.97,1834.52,,
Indonesia:,,
,
JSX Composite Index,5438.66,5518.68,5466.87,5456.40,Closed,,
India:,,
,
BSE Sensex Index,"27,975.86","27,957.49","28,260.14",Closed,Closed,,
Thailand:,,
,
FTSE SET Index,1496.51,1505.94,1525.58,1532.23,1536.05,,
Philippines:,,
,
Manila PSE Index,7899.41,7940.49,7993.09,Closed,Closed,,
World:,,
,
MSCI World,1757.31,1740.81,1738.15,1749.34,Closed,,
Comm Research Index,214.79,212.39,216.67,216.63,Closed,,
Moody's Comm Index,5322.43,5300.21,5251.94,5291.93,Closed,,
LME Index,2779.1,2750.8,2758.3,2755.4,Closed,,
,
Source: Thomson Reuters,
