Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-06-03T17:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 28,May 29,May 30,May 31,Jun 1,,
New York:,,
,
DJ Indust,Closed,"12,580.69","12,419.86","12,393.45","12,118.57",,
DJ Opening,–,"12,454.83","12,579.02","12,414.41","12,391.56",,
Day's High,–,"12,611.61","12,579.10","12,489.87","12,391.63",,
Day's low,–,"12,454.60","12,396.40","12,316.48","12,107.48",,
Nasdaq Comp,–,2870.99,2837.36,2827.34,2747.48,,
S&P 500 Index,–,1332.42,1313.32,1310.33,1278.04,,
Wilshire 5000,"13,783.51","13,882.50","13,747.49","13,793.55","13,415.85",,
NYSE volume ('000),–,"71,019","76,713","1,324,523","98,824",,
NYSE rises,–,2373,394,1430,429,,
NYSE falls,–,635,2612,1552,2595,,
Transport,–,5138.61,5029.64,5074.70,4911.87,,
NYSE Comp,–,7615.04,7471.40,7463.96,7292.23,,
AMEX Index,–,2237.04,2195.81,2200.52,2175.92,,
Canada:,,
,
DJ S&P TSX Index,"11,566.15","11,609.30","11,433.22","11,513.21","11,361.20",,
London:,,
,
FTSE 100 Index,5356.34,5391.14,5297.28,5306.95,5260.19,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2147.92,2160.31,2116.18,2118.94,2068.66,,
Germany:,,
,
German Xetra Dax,6323.19,6396.84,6280.80,6264.38,6050.29,,
France:,,
,
CAC Index,3042.97,3084.70,3015.58,3017.01,2950.47,,
Switzerland:,,
,
Swiss Market Index,Closed,5914.73,5902.82,5850.18,5777.47,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,104.06","33,440.20","32,968.81","33,142.61","33,107.46",,
JSE Africa Gold Index,2494.30,2518.77,2475.91,2579.86,2631.28,,
Italy:,,
,
FTSE Italia All Share Index,"14,020.38","14,061.89","13,813.45","13,811.42","13,680.50",,
Spain:,,
,
IBEX 35,6401.2,6251.7,6090.4,6089.8,6065.0,,
New Zealand:,,
,
NZ Top 50 Capital,3462.26,3478.29,3481.34,3488.29,3452.00,,
NZ Top 10 Capital,885.13,889.68,886.72,891.49,877.75,,
Tokyo:,,
,
Nikkei 225 Index,8593.15,8657.08,8633.19,8542.73,8440.25,,
Nikkei high,8624.51,8657.08,8656.71,8542.73,8487.44,,
Nikkei low,8568.87,8517.18,8568.97,8455.13,8422.50,,
Nikkei 300 Index,146.32,147.33,146.68,145.67,143.84,,
Topix Index,721.11,727.03,723.62,719.49,708.93,,
Nikkei vol (mil),1338,1765,1621,2310,1725,,
Hong Kong:,,
,
Hang Seng Index,"18,800.99","19,055.46","18,690.22","18,629.52","18,558.34",,
China:,,
,
Shanghai A Index,2473.71,2503.22,2498.05,2484.91,2486.19,,
Korea:,,
,
Seoul KOSPI,Closed,1849.91,1844.86,1843.47,1834.51,,
Taiwan:,,
,
TAIEX Index,7136.00,7342.29,7261.80,7301.50,7106.09,,
Singapore:,,
,
Straits Times Index,2787.22,2801.85,2783.95,2772.54,2745.71,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1554.94,1565.32,1575.17,1580.67,1573.59,,
Indonesia:,,
,
JSX Composite Index,3918.69,3919.07,3917.92,3832.82,3799.77,,
India:,,
,
BSE Sensex Index,"16,416.84","16,438.58","16,312.15","16,218.53","15,965.16",,
Thailand:,,
,
FTSE SET Index,1139.93,1153.66,1138.63,1141.50,1115.19,,
Philippines:,,
,
Manila PSE Index,4952.74,5023.11,5018.32,5091.23,5062.44,,
World:,,
,
MSCI World,1190.12,1201.51,1181.37,1177.65,1152.97,,
Comm Research Index,281.95,279.74,275.05,272.97,268.31,,
Moody's Comm Index,5999.02,5939.72,5915.69,5864.01,5900.24,,
LME Index,3311.1,3300.8,3238.3,3216.1,3191.1,,
,
Source: Thomson Reuters,
