Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-20T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,,
New York:,,
,
DJ Indust,"17,031.14","17,131.97","17,156.85","17,265.99","17,279.74",,
DJ Opening,"16,988.76","17,027.16","17,131.01","17,163.73","17,267.21",,
Day's High,"17,051.85","17,167.05","17,221.11","17,275.37","17,350.64",,
Day's low,"16,951.38","16,985.55","17,089.01","17,163.73","17,257.46",,
Nasdaq Comp,4518.90,4552.76,4562.19,4593.43,4579.79,,
S&P 500 Index,1984.13,1998.98,2001.57,2011.36,2010.40,,
Wilshire 5000,"20,978.92","21,128.77","21,160.72","21,254.01","21,219.88",,
NYSE volume ('000),590118,648215,667316,675373,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8521.15,8570.11,8652.00,8676.19,8633.83,,
NYSE Comp,"10,909.31","10,980.14","10,973.74","11,024.06","10,989.57",,
AMEX Index,2724.77,2737.78,2732.34,2738.24,2724.97,,
Canada:,,
,
DJ S&P TSX Index,"15,482.56","15,510.54","15,458.88","15,465.54","15,265.35",,
London:,,
,
FTSE 100 Index,6804.21,6792.24,6780.90,6819.29,6837.92,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3231.70,3221.73,3237.44,3271.37,3273.25,,
Germany:,,
,
German Xetra Dax,9659.63,9632.93,9661.50,9798.13,9799.26,,
France:,,
,
CAC Index,4428.63,4409.15,4431.41,4464.70,4461.22,,
Switzerland:,,
,
Swiss Market Index,8796.41,8804.44,8825.61,8830.49,8840.17,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,376.57","51,178.07","51,173.03","51,547.02","51,462.42",,
JSE Africa Gold Index,1356.95,1353.29,1337.42,1316.37,1314.35,,
Italy:,,
,
FTSE Italia All Share Index,"22,069.00","21,992.77","22,323.46","22,338.98","22,179.11",,
Spain:,,
,
IBEX 35,"10,841.3","10,798.7","10,907.4","10,991.0","11,001.9",,
New Zealand:,,
,
NZ Top 50 Capital,5210.86,5189.79,5142.34,5154.18,5181.35,,
NZ Top 10 Capital,1147.60,1144.04,1128.36,1131.90,1137.51,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"15,911.53","15,888.67","16,067.57","16,321.17",,
Nikkei high,Closed,"15,938.31","15,969.41","16,106.11","16,364.08",,
Nikkei low,Closed,"15,871.12","15,888.67","16,003.46","16,170.86",,
Nikkei 300 Index,Closed,264.41,263.47,266.29,269.12,,
Topix Index,Closed,1310.86,1304.96,1317.91,1331.91,,
Hong Kong:,,
,
Hang Seng Index,"24,356.99","24,136.01","24,376.41","24,168.72","24,306.16",,
China:,,
,
Shanghai A Index,2448.77,2404.18,2416.01,2424.44,2438.64,,
Korea:,,
,
Seoul KOSPI,2035.82,2042.92,2062.61,2047.74,2053.82,,
Taiwan:,,
,
TAIEX Index,9217.46,9133.40,9195.17,9237.03,9240.45,,
Singapore:,,
,
Straits Times Index,3312.47,3272.62,3296.48,3297.29,3305.05,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1847.30,Closed,1843.78,1845.32,1849.49,,
Indonesia:,,
,
JSX Composite Index,5144.90,5130.50,5188.18,5208.14,5227.58,,
India:,,
,
BSE Sensex Index,"26,816.56","26,492.51","26,631.29","27,112.21","27,090.42",,
Thailand:,,
,
FTSE SET Index,1579.12,1565.41,1570.64,1584.23,1584.91,,
Philippines:,,
,
Manila PSE Index,7161.27,7180.34,7231.84,7287.29,Closed,,
World:,,
,
MSCI World,1726.86,1732.55,1735.35,1742.74,1740.32,,
Comm Research Index,282.52,285.07,284.78,281.61,280.07,,
Moody's Comm Index,5807.58,5800.16,5798.31,5745.43,5745.43,,
LME Index,3165.6,3203.2,3198.6,3168.2,3164.8,,
,
Source: Thomson Reuters,
