Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-01-08T18:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan  2,Jan  3,Jan  4,Jan  5,Jan  6,,
New York:,,
,
DJ Indust,Closed,"12,397.38","12,418.42","12,415.70","12,359.92",,
DJ Opening,–,"12,221.19","12,392.46","12,418.42","12,407.45",,
Day's High,–,"12,479.65","12,430.00","12,435.98","12,415.20",,
Day's low,–,"12,221.19","12,337.25","12,283.90","12,332.41",,
Nasdaq Comp,–,2648.72,2648.36,2669.86,2674.22,,
S&P 500 Index,–,1277.06,1277.3,1281.06,1277.81,,
Wilshire 5000,–,"13,306.09","13,294.02","13,344.52","13,315.5",,
NYSE volume ('000),–,"85,338","75,754","82,559","70,911",,
NYSE rises,–,2329,1465,1824,1394,,
NYSE falls,–,696,1541,1179,1597,,
Transport,–,5065.71,5082.97,5071.21,5069.03,,
NYSE Comp,–,7624.32,7612.15,7599.97,7557.68,,
AMEX Index,–,2322.70,2317.03,2304.58,2295.11,,
Canada:,,
,
DJ S&P TSX Index,Closed,"12,208.43","12,226.47","12,237.4","12,188.64",,
London:,,
,
FTSE 100 Index,Closed,5699.91,5668.45,5624.26,5649.68,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2370.2,2389.91,2349.89,2315.75,2298.65,,
Germany:,,
,
German Xetra Dax,6075.52,6166.57,6111.55,6095.99,6057.92,,
France:,,
,
CAC Index,3222.3,3245.4,3193.65,3144.91,3137.36,,
Switzerland:,,
,
Swiss Market Index,Closed,6050.93,6058.08,6026.57,6013.83,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"32,768.35","32,899.68","32,599.06","32,749.57",,
JSE Africa Gold Index,–,2898.66,2972.08,2903.53,2966.25,,
Italy:,,
,
FTSE Italia All Share Index,"16,220.97","16,420.04","16,146.17","15,622.17","15,526.94",,
Spain:,,
,
IBEX 35,8723.8,8732.4,8581.8,8329.6,8289.1,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,3274.71,3288.11,3284.12,3253.43,,
NZ Top 10 Capital,–,854.58,855.49,852.98,844.54,,
Tokyo:,,
,
Nikkei 225 Index,Closed,Closed,8560.11,8488.71,8390.35,,
Nikkei high,–,–,8581.45,8519.16,8488.98,,
Nikkei low,–,–,8547.7,8481.83,8349.33,,
Nikkei 300 Index,–,–,149.91,148.55,147.21,,
Topix Index,–,–,742.99,736.28,729.6,,
Nikkei vol (mil),–,839,1443,n/a,1541,,
Hong Kong:,,
,
Hang Seng Index,Closed,"18,877.41","18,727.31","18,813.41","18,593.06",,
China:,,
,
Shanghai A Index,Closed,Closed,2272.671,2250.846,2266.527,,
Korea:,,
,
Seoul KOSPI,1826.37,1875.41,1866.22,1863.74,1843.14,,
Taiwan:,,
,
TAIEX Index,6952.21,7053.38,7082.97,7130.86,7120.51,,
Singapore:,,
,
Straits Times Index,Closed,2688.36,2711.02,2713.02,2715.59,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1513.54,1504.22,1514.43,1514.13,,
Indonesia:,,
,
JSX Composite Index,3809.14,3857.882,3907.421,3906.264,3869.415,,
India:,,
,
BSE Sensex Index,"15,517.92","15,939.36","15,882.64","15,857.08","15,867.73",,
Thailand:,,
,
FTSE SET Index,Closed,Closed,1036.21,1036.8,1036.26,,
Philippines:,,
,
Manila PSE Index,4397.08,4422.22,4487.77,4518.91,4483.36,,
World:,,
,
MSCI World,1186.07,1206.09,1203.62,1197.03,1191.67,,
Comm Research Index,Closed,313.37,313.8,308.54,309.48,,
Moody's Comm Index,6006.29,6106.22,6133.84,6074.01,n/a,,
LME Index,Closed,3387.8,3314.1,3296.7,3317.7,,
,
Source: Thomson Reuters,
