Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-09-05T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,,
New York:,,
,
DJ Indust,"16,528.03","16,058.35","16,351.38","16,374.76","16,102.38",,
DJ Opening,"16,632.02","16,528.03","16,058.35","16,364.34","16,371.76",,
Day's High,"16,632.02","16,528.03","16,352.58","16,550.07","16,371.76",,
Day's low,"16,444.05","15,979.95","16,058.35","16,317.31","16,026.61",,
Nasdaq Comp,4776.51,4636.11,4749.98,4733.50,4683.92,,
S&P 500 Index,1972.18,1913.85,1948.86,1951.13,1921.22,,
Wilshire 5000,"20,802.96","20,206.06","20,558.41","20,590.63","20,304.16",,
NYSE volume ('000),1028807,1105274,1153221,1069249,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,7845.15,7677.32,7865.32,7871.21,7793.83,,
NYSE Comp,"10,176.50",9874.67,"10,013.36","10,049.29",9871.86,,
AMEX Index,2225.45,2164.20,2179.20,2177.23,2144.02,,
Canada:,,
,
DJ S&P TSX Index,"13,859.12","13,481.90","13,545.25","13,596.41","13,478.31",,
London:,,
,
FTSE 100 Index,Closed,6058.54,6083.31,6194.10,6042.92,,
Europe:,,
,
EURO STOXX 50 Index,3269.63,3188.73,3198.86,3270.09,3180.25,,
Germany:,,
,
German Xetra Dax,"10,259.46","10,015.57","10,048.05","10,317.84","10,038.04",,
France:,,
,
CAC Index,4652.95,4541.16,4554.92,4653.79,4523.08,,
Switzerland:,,
,
Swiss Market Index,8824.56,8621.27,8626.34,8775.64,8652.35,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,972.33","48,515.13","49,228.77","50,411.09","49,102.50",,
JSE Africa Gold Index,984.02,961.98,913.31,973.77,933.76,,
Italy:,,
,
FTSE Italia All Share Index,"23,584.70","23,062.06","23,203.02","23,779.35","23,072.10",,
Spain:,,
,
IBEX 35,"10,259.0",9992.8,9938.3,"10,042.4",9821.8,,
New Zealand:,,
,
NZ Top 50 Capital,5656.24,5654.99,5590.20,5569.68,5546.88,,
NZ Top 10 Capital,1172.03,1168.77,1152.85,1141.22,1132.00,,
Tokyo:,,
,
Nikkei 225 Index,"18,890.48","18,165.69","18,095.40","18,182.39","17,792.16",,
Nikkei high,"19,019.61","18,777.47","18,467.44","18,481.57","18,312.13",,
Nikkei low,"18,749.77","18,165.69","17,857.30","18,176.75","17,608.17",,
Nikkei 300 Index,311.52,299.66,297.47,299.61,293.54,,
Topix Index,1537.05,1478.11,1465.99,1474.98,1444.53,,
Hong Kong:,,
,
Hang Seng Index,"21,670.58","21,185.43","20,934.94",Closed,"20,840.61",,
China:,,
,
Shanghai A Index,3358.81,3317.96,3311.43,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,1941.49,1914.23,1915.22,1915.53,1886.04,,
Taiwan:,,
,
TAIEX Index,8174.92,8017.56,8035.29,8095.95,8000.60,,
Singapore:,,
,
Straits Times Index,2921.44,2882.77,2878.13,2906.43,2863.81,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1609.21,1590.19,1602.75,1589.16,,
Indonesia:,,
,
JSX Composite Index,4509.61,4412.46,4401.29,4433.11,4415.34,,
India:,,
,
BSE Sensex Index,"26,283.09","25,696.44","25,453.56","25,764.78","25,201.90",,
Thailand:,,
,
FTSE SET Index,1382.41,1362.39,1372.45,1383.48,1370.75,,
Philippines:,,
,
Manila PSE Index,Closed,7086.86,7072.46,7098.76,7051.78,,
World:,,
,
MSCI World,1645.43,1600.71,1615.67,1622.95,1595.71,,
Comm Research Index,202.63,196.52,197.30,199.03,197.22,,
Moody's Comm Index,4932.75,4945.25,4937.54,4935.65,4935.65,,
LME Index,Closed,2359.7,2376.1,2417.5,2370.1,,
,
Source: Thomson Reuters,
