Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,,
New York:,,
,
DJ Indust,"13,169.43","13,172.14","13,164.78","13,250.11","13,275.20",,
DJ Opening,"13,204.93","13,168.11","13,157.47","13,163.24","13,251.20",,
Day's High,"13,205.01","13,223.01","13,192.89","13,269.35","13,281.32",,
Day's low,"13,112.94","13,142.10","13,138.23","13,145.85","13,244.85",,
Nasdaq Comp,3022.52,3016.98,3030.93,3062.39,3076.59,,
S&P 500 Index,1404.11,1403.93,1405.53,1415.51,1418.16,,
Wilshire 5000,"14,502.83","14,619.17","14,596.70","14,651.46","14,707.99",,
NYSE volume ('000),"48,354","56,441","49,717","59,383","67,300",,
NYSE rises,1103,1458,1880,2139,1816,,
NYSE falls,1851,1502,1104,826,1119,,
Transport,5062.16,5081.78,5142.03,5167.51,5194.38,,
NYSE Comp,8018.64,8019.53,8029.01,8090.00,8102.08,,
AMEX Index,2439.27,2441.92,2420.90,2430.53,2424.69,,
Canada:,,
,
DJ S&P TSX Index,"11,838.33","11,853.61","11,905.44","12,032.58","12,089.89",,
London:,,
,
FTSE 100 Index,5831.88,5864.78,5833.04,5834.51,5852.42,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2415.96,2432.29,2430.39,2456.53,2471.53,,
Germany:,,
,
German Xetra Dax,6909.68,6974.39,6946.80,6996.29,7040.88,,
France:,,
,
CAC Index,3426.41,3450.27,3449.20,3480.49,3488.38,,
Switzerland:,,
,
Swiss Market Index,6466.18,6505.98,6511.87,6518.43,6529.34,,
Johannesburg:,,
,
FTSE JSE All Share Index,"35,417.94","35,564.34","35,543.93","35,743.23","35,547.33",,
JSE Africa Gold Index,2456.97,2451.29,2437.00,2491.06,2485.03,,
Italy:,,
,
FTSE Italia All Share Index,"15,460.53","15,580.92",Closed,"15,830.82","16,014.58",,
Spain:,,
,
IBEX 35,7069.6,7124.8,7128.9,7417.3,7561.0,,
New Zealand:,,
,
NZ Top 50 Capital,3594.96,3608.88,3631.19,3616.20,3639.66,,
NZ Top 10 Capital,906.91,910.65,917.88,910.58,915.73,,
Tokyo:,,
,
Nikkei 225 Index,8885.15,8929.88,8925.04,9092.76,9162.50,,
Nikkei high,8906.21,8970.99,8960.28,9094.09,9181.57,,
Nikkei low,8867.63,8897.87,8866.06,8962.97,9097.00,,
Nikkei 300 Index,151.96,152.30,151.91,154.29,155.59,,
Topix Index,746.95,749.53,747.32,759.12,765.81,,
Nikkei vol (mil),1099,1677,1501,1574,1746,,
Hong Kong:,,
,
Hang Seng Index,"20,081.36","20,291.68","20,052.29","19,962.95","20,116.07",,
China:,,
,
Shanghai A Index,2237.60,2244.22,2219.44,2212.38,2215.19,,
Korea:,,
,
Seoul KOSPI,1932.44,1956.96,Closed,1957.91,1946.54,,
Taiwan:,,
,
TAIEX Index,7436.30,7479.25,7467.74,7490.21,7467.92,,
Singapore:,,
,
Straits Times Index,3064.81,3087.84,3062.11,3062.89,3062.11,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1646.32,1652.90,1653.78,1650.09,1649.79,,
Indonesia:,,
,
JSX Composite Index,4102.53,4121.56,4141.99,4160.51,Closed,,
India:,,
,
BSE Sensex Index,"17,633.45","17,728.20",Closed,"17,657.21","17,691.08",,
Thailand:,,
,
FTSE SET Index,Closed,1226.82,1226.83,1224.40,1223.91,,
Philippines:,,
,
Manila PSE Index,5271.78,5265.94,5266.66,5219.51,5206.81,,
World:,,
,
MSCI World,1276.26,1277.51,1276.82,1287.62,1290.23,,
Comm Research Index,299.34,300.66,302.06,302.74,303.84,,
Moody's Comm Index,6208.65,6152.79,6162.62,6186.69,6132.32,,
LME Index,3124.6,3135.1,3112.3,3133.5,3170.1,,
,
Source: Thomson Reuters,
