Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-10T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,,
New York:,,
,
DJ Indust,"17,501.65","17,371.64","17,584.52","17,907.87","17,737.37",,
DJ Opening,"17,821.30","17,504.18","17,374.78","17,591.97","17,911.02",,
Day's High,"17,821.30","17,581.05","17,597.08","17,916.04","17,915.32",,
Day's low,"17,475.93","17,262.37","17,374.78","17,591.97","17,686.09",,
Nasdaq Comp,4652.57,4592.74,4650.47,4736.19,4704.07,,
S&P 500 Index,2020.58,2002.61,2025.90,2062.14,2044.81,,
Wilshire 5000,"21,269.06","21,060.25","21,301.67","21,672.39","21,497.12",,
NYSE volume ('000),645322,941326,776906,847180,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8856.76,8710.96,8772.38,8961.60,8858.15,,
NYSE Comp,"10,607.68","10,514.87","10,627.13","10,800.55","10,711.41",,
AMEX Index,2427.96,2355.65,2362.48,2398.92,2390.31,,
Canada:,,
,
DJ S&P TSX Index,"14,392.70","14,246.77","14,285.00","14,457.72","14,384.92",,
London:,,
,
FTSE 100 Index,6417.16,6366.51,6419.83,6569.96,6501.14,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3023.14,3007.91,3026.79,3135.08,3042.90,,
Germany:,,
,
German Xetra Dax,9473.16,9469.66,9518.18,9837.61,9648.50,,
France:,,
,
CAC Index,4111.36,4083.50,4112.73,4260.19,4179.07,,
Switzerland:,,
,
Swiss Market Index,8938.85,8874.47,8900.83,9139.69,9105.70,,
Johannesburg:,,
,
FTSE JSE All Share Index,"47,831.04","48,598.19","48,961.06","49,595.44","48,950.50",,
JSE Africa Gold Index,1178.24,1272.26,1293.15,1321.84,1324.60,,
Italy:,,
,
FTSE Italia All Share Index,"19,369.43","19,300.74","19,270.19","19,924.22","19,331.66",,
Spain:,,
,
IBEX 35,9993.3,9871.1,9891.4,"10,115.0",9719.0,,
New Zealand:,,
,
NZ Top 50 Capital,5602.60,5561.38,5558.06,5574.05,5584.84,,
NZ Top 10 Capital,1189.72,1177.74,1176.53,1179.59,1182.21,,
Tokyo:,,
,
Nikkei 225 Index,"17,408.71","16,883.19","16,885.33","17,167.10","17,197.73",,
Nikkei high,"17,540.92","17,111.36","16,974.61","17,243.71","17,342.65",,
Nikkei low,"17,219.22","16,881.73","16,808.26","17,016.09","17,129.53",,
Nikkei 300 Index,282.94,274.80,274.56,278.13,279.15,,
Topix Index,1401.09,1361.14,1359.80,1377.67,1380.58,,
Hong Kong:,,
,
Hang Seng Index,"23,721.32","23,485.41","23,681.26","23,835.53","23,919.95",,
China:,,
,
Shanghai A Index,3511.05,3512.07,3535.68,3451.11,3442.66,,
Korea:,,
,
Seoul KOSPI,1915.75,1882.45,1883.83,1904.65,1924.70,,
Taiwan:,,
,
TAIEX Index,9274.11,9048.34,9080.09,9238.03,9215.58,,
Singapore:,,
,
Straits Times Index,3328.28,3281.95,3298.36,3345.11,3338.44,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1736.62,1716.58,1709.18,1728.06,1732.44,,
Indonesia:,,
,
JSX Composite Index,5220.00,5169.06,5207.12,5211.83,5216.67,,
India:,,
,
BSE Sensex Index,"27,842.32","26,987.46","26,908.82","27,274.71","27,458.38",,
Thailand:,,
,
FTSE SET Index,1483.25,1477.58,1500.75,1521.62,1529.42,,
Philippines:,,
,
Manila PSE Index,7276.63,7277.74,7309.70,7367.63,7402.72,,
World:,,
,
MSCI World,1671.25,1654.38,1662.22,1694.17,1683.80,,
Comm Research Index,227.29,225.94,225.61,226.44,226.13,,
Moody's Comm Index,5523.20,5537.44,5540.67,5554.61,5554.61,,
LME Index,2865.7,2857.9,2850.6,2866.6,2851.5,,
,
Source: Thomson Reuters,
