Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-02-03T18:30:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 28,Jan 29,Jan 30,Jan 31,Feb 1,,
New York:,,
,
DJ Indust,"13,881.93","13,954.42","13,910.42","13,860.58","14,009.79",,
DJ Opening,"13,895.98","13,881.93","13,954.42","13,910.42","13,860.58",,
Day's High,"13,915.72","13,969.99","13,966.13","13,941.06","14,019.78",,
Day's low,"13,862.57","13,880.01","13,896.95","13,860.58","13,860.58",,
Nasdaq Comp,3154.30,3153.66,3142.31,3142.13,3179.10,,
S&P 500 Index,1500.18,1507.84,1501.96,1498.11,1513.17,,
Wilshire 5000,"15,858.06","15,909.10","15,837.92","15,824.32","15,979.16",,
NYSE volume ('000),"65,538","72,016","70,361","93,201","75,521",,
NYSE rises,1280,1728,984,1546,2304,,
NYSE falls,1691,1234,1948,1413,678,,
Transport,5875.56,5874.60,5783.99,5804.23,5857.23,,
NYSE Comp,8880.02,8935.64,8904.32,8883.79,8965.12,,
AMEX Index,2400.37,2414.82,2407.26,2413.66,2430.43,,
Canada:,,
,
DJ S&P TSX Index,"12,815.91","12,830.56","12,794.44","12,685.24","12,768.83",,
London:,,
,
FTSE 100 Index,6294.41,6339.19,6323.11,6276.88,6347.24,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2744.50,2749.27,2732.12,2702.98,2710.08,,
Germany:,,
,
German Xetra Dax,7833.00,7848.57,7811.31,7776.05,7833.39,,
France:,,
,
CAC Index,3780.89,3785.82,3765.52,3732.60,3773.53,,
Switzerland:,,
,
Swiss Market Index,7483.95,7458.03,7387.90,7390.86,7420.35,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,618.32","40,652.96","40,461.18","40,482.92","40,601.09",,
JSE Africa Gold Index,2195.31,2183.83,2199.75,2156.25,2184.47,,
Italy:,,
,
FTSE Italia All Share Index,"18,875.35","18,866.79","18,237.54","18,377.85","18,276.96",,
Spain:,,
,
IBEX 35,8672.5,8643.0,8571.9,8362.3,8229.7,,
New Zealand:,,
,
NZ Top 50 Capital,4204.44,4200.29,4247.55,4252.65,4245.93,,
NZ Top 10 Capital,1016.06,1014.47,1030.87,1031.93,1028.27,,
Tokyo:,,
,
Nikkei 225 Index,"10,824.31","10,866.72","11,113.95","11,138.66","11,191.34",,
Nikkei high,"11,002.86","10,937.63","11,113.95","11,145.38","11,237.84",,
Nikkei low,"10,824.31","10,751.01","10,905.64","11,007.77","11,142.26",,
Nikkei 300 Index,185.16,186.65,189.69,190.85,191.41,,
Topix Index,913.78,920.76,934.67,940.25,942.65,,
Hong Kong:,,
,
Hang Seng Index,"23,671.88","23,655.17","23,822.06","23,729.53","23,721.84",,
China:,,
,
Shanghai A Index,2456.03,2469.04,2493.78,2496.83,2532.12,,
Korea:,,
,
Seoul KOSPI,1939.71,1955.96,1964.43,1961.94,1957.79,,
Taiwan:,,
,
TAIEX Index,7714.67,7802.00,7832.98,7850.02,7855.97,,
Singapore:,,
,
Straits Times Index,3273.91,3259.75,3285.90,3280.39,3291.14,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1637.13,1637.34,1627.73,1627.55,Closed,,
Indonesia:,,
,
JSX Composite Index,4416.94,4439.03,4452.98,4453.70,4481.63,,
India:,,
,
BSE Sensex Index,"20,103.35","19,990.90","20,005.00","19,894.98","19,781.19",,
Thailand:,,
,
FTSE SET Index,1472.05,1478.77,1490.82,1474.20,1499.22,,
Philippines:,,
,
Manila PSE Index,6192.42,6234.73,6271.23,6242.74,6318.61,,
World:,,
,
MSCI World,1403.04,1410.68,1409.47,1405.47,1416.79,,
Comm Research Index,300.67,302.31,305.24,304.47,305.56,,
Moody's Comm Index,6415.07,6428.00,6516.43,6517.18,n/a,,
LME Index,3494.9,3519.4,3582.2,3557.9,3613.2,,
,
Source: Thomson Reuters,
