Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-06-19T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,,
New York:,,
,
DJ Indust,"11,952.97","12,076.11","11,897.27","11,961.52","12,004.36",,
DJ Opening,"11,945.33","11,951.38","12,075.12","11,896.13","11,962.66",,
Day's High,"12,011.66","12,120.80","12,075.20","11,990.02","12,072.89",,
Day's low,"11,917.78","11,951.38","11,862.53","11,875.77","11,962.51",,
Nasdaq Comp,2639.69,2678.72,2631.46,2623.70,2616.48,,
S&P 500 Index,1271.83,1287.87,1265.42,1267.64,1271.50,,
Wilshire 5000,"13,401.03","13,584.39","13,349.91","13,363.73","13,397.29",,
NYSE volume ('000),"90,564","91,343","1,067,011","1,048,771","1,602,605",,
NYSE rises,1344,2511,478,1355,1882,,
NYSE falls,1674,503,2556,1660,1115,,
Transport,5072.58,5168.14,5104.52,5104.54,5158.55,,
NYSE Comp,8017.06,8132.77,7967.81,7963.60,8000.11,,
AMEX Index,2299.97,2320.89,2271.43,2257.22,2267.11,,
Canada:,,
,
DJ S&P TSX Index,"12,939.72","13,097.82","12,972.03","12,853.13","12,789.95",,
London:,,
,
FTSE 100 Index,5773.46,5803.13,5742.55,5698.81,5714.94,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2733.95,2779.94,2731.50,2730.62,2770.12,,
Germany:,,
,
German Xetra Dax,7085.14,7204.79,7115.08,7110.20,7164.05,,
France:,,
,
CAC Index,3807.61,3864.58,3806.85,3792.31,3823.74,,
Switzerland:,,
,
Swiss Market Index,Closed,6255.68,6198.17,6157.67,6145.16,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,176.58","31,229.36","31,000.52",Closed,"30,669.26",,
JSE Africa Gold Index,2389.30,2390.96,2401.97,Closed,2339.08,,
Italy:,,
,
FTSE Italia All Share Index,"20,840.92","21,113.79","20,671.59","20,595.16","20,836.15",,
Spain:,,
,
IBEX 35,9946.2,"10,132.6",9933.1,9918.5,"10,135.2",,
New Zealand:,,
,
NZ Top 50 Capital,3476.68,3488.85,3506.37,3481.61,3469.59,,
NZ Top 10 Capital,900.35,905.61,911.59,906.38,903.74,,
Tokyo:,,
,
Nikkei 225 Index,9448.21,9547.79,9574.32,9411.28,9351.40,,
Nikkei high,9466.51,9565.65,9599.90,9497.59,9447.44,,
Nikkei low,9391.26,9438.41,9520.93,9411.28,9318.62,,
Nikkei 300 Index,165.21,167.30,167.65,165.07,163.73,,
Topix Index,812.26,822.86,824.65,812.41,805.34,,
Nikkei vol (mil),1436,1838,1977,1793,1944,,
Hong Kong:,,
,
Hang Seng Index,"22,508.08","22,496.00","22,343.77","21,953.11","21,695.26",,
China:,,
,
Shanghai A Index,2829.99,2860.81,2834.89,2791.81,2769.23,,
Korea:,,
,
Seoul KOSPI,2048.74,2076.83,2086.53,2046.63,2031.93,,
Taiwan:,,
,
TAIEX Index,8712.95,8829.21,8831.45,8654.43,8636.10,,
Singapore:,,
,
Straits Times Index,3059.04,3057.39,3054.82,3020.13,3005.28,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1545.88,1548.51,1556.19,1554.24,1563.43,,
Indonesia:,,
,
JSX Composite Index,3748.76,3773.27,3794.25,3740.47,3722.30,,
India:,,
,
BSE Sensex Index,"18,266.03","18,308.66","18,132.24","17,985.88","17,870.53",,
Thailand:,,
,
FTSE SET Index,1015.53,1034.92,1030.31,1019.55,1018.96,,
Philippines:,,
,
Manila PSE Index,4171.54,4140.27,4201.38,4173.08,4153.11,,
World:,,
,
MSCI World,1288.5,1305.84,1284.0,1273.56,1280.6,,
Comm Research Index,344.73,347.18,339.14,337.06,335.65,,
Moody's Comm Index,7134.55,7071.12,7089.05,7066.23,6987.37,,
LME Index,3996.3,4085.5,4053.4,4004.5,4004.8,,
,
Source: Thomson Reuters,
