Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-11T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 6,Oct 7,Oct 8,Oct 9,Oct 10,,
New York:,,
,
DJ Indust,"16,991.91","16,719.39","16,994.22","16,659.25","16,544.10",,
DJ Opening,"17,010.34","16,988.25","16,718.65","16,989.37","16,654.88",,
Day's High,"17,099.39","16,988.25","17,006.91","16,989.37","16,757.60",,
Day's low,"16,930.38","16,715.79","16,663.26","16,649.04","16,543.91",,
Nasdaq Comp,4454.80,4385.20,4468.59,4378.34,4276.24,,
S&P 500 Index,1964.82,1935.10,1968.89,1928.21,1906.13,,
Wilshire 5000,"20,665.04","20,350.96","20,677.58","20,234.90","19,975.65",,
NYSE volume ('000),694571,789208,917704,894095,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8384.63,8175.31,8253.34,8054.06,7893.26,,
NYSE Comp,"10,647.51","10,484.55","10,645.67","10,409.38","10,293.14",,
AMEX Index,2573.75,2534.94,2566.95,2508.23,2482.05,,
Canada:,,
,
DJ S&P TSX Index,"14,743.12","14,576.45","14,666.47","14,460.60","14,227.36",,
London:,,
,
FTSE 100 Index,6563.65,6495.58,6482.24,6431.85,6339.97,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3138.67,3082.10,3053.31,3042.45,2991.50,,
Germany:,,
,
German Xetra Dax,9209.51,9086.21,8995.33,9005.02,8788.81,,
France:,,
,
CAC Index,4286.52,4209.14,4168.12,4141.45,4073.71,,
Switzerland:,,
,
Swiss Market Index,8723.04,8561.99,8517.29,8482.90,8374.59,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,166.20","48,712.45","48,033.62","48,133.52","47,092.24",,
JSE Africa Gold Index,1204.50,1198.83,1152.77,1209.74,1162.75,,
Italy:,,
,
FTSE Italia All Share Index,"21,271.43","20,906.16","20,752.06","20,463.47","20,273.41",,
Spain:,,
,
IBEX 35,"10,645.7","10,430.7","10,339.0","10,273.7","10,150.5",,
New Zealand:,,
,
NZ Top 50 Capital,5241.31,5235.71,5245.90,5266.04,5225.14,,
NZ Top 10 Capital,1136.78,1134.64,1134.49,1137.14,1124.49,,
Tokyo:,,
,
Nikkei 225 Index,"15,890.95","15,783.83","15,595.98","15,478.93","15,300.55",,
Nikkei high,"15,970.65","15,913.52","15,643.63","15,732.32","15,345.78",,
Nikkei low,"15,808.22","15,755.57","15,520.81","15,461.09","15,221.83",,
Nikkei 300 Index,261.24,260.28,257.19,254.88,251.59,,
Topix Index,1296.40,1290.89,1274.85,1260.78,1243.09,,
Hong Kong:,,
,
Hang Seng Index,"23,315.04","23,422.52","23,263.33","23,534.53","23,088.54",,
China:,,
,
Shanghai A Index,Closed,Closed,2494.49,2501.48,2485.99,,
Korea:,,
,
Seoul KOSPI,1968.39,1972.91,1965.25,Colsed,1940.92,,
Taiwan:,,
,
TAIEX Index,9095.14,9040.81,8955.18,8966.44,Closed,,
Singapore:,,
,
Straits Times Index,Closed,3243.99,3226.71,3259.25,3223.87,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1833.54,1824.32,1829.73,1808.88,,
Indonesia:,,
,
JSX Composite Index,5000.14,5032.84,4958.52,4993.88,4962.96,,
India:,,
,
BSE Sensex Index,Closed,"26,271.97","26,246.79","26,637.28","26,297.38",,
Thailand:,,
,
FTSE SET Index,1543.13,1539.39,1543.39,1560.61,1552.72,,
Philippines:,,
,
Manila PSE Index,Closed,7239.38,7185.68,7201.89,7167.35,,
World:,,
,
MSCI World,1679.82,1661.36,1673.48,1652.93,1626.68,,
Comm Research Index,280.92,280.65,278.06,277.07,276.26,,
Moody's Comm Index,5852.03,5697.58,5715.67,5711.61,5711.61,,
LME Index,3100.6,3102.3,3081.9,3111.8,3077.8,,
,
Source: Thomson Reuters,
