Weekly Roundup - Overseas Indices,,,,,,
XAO 4693.7 at 16:47 13/11/2009  Report at 19:10 Friday 13/11/2009 . Processed 17:50 Sunday 15/11/2009.,,,,,,



,,,,,,
,9-Nov,10-Nov,11-Nov,12-Nov,13-Nov,
NEW YORK:,,,,,,
"""DJ Indust         ","10,226.94","10,246.97","10,291.26","10,197.47","10,270.47",""""
"""DJ Opening    ","10,020.62","10,223.01","10,247.42","10,289.82","10,197.85",""""
"""Day's High      ","10,228.23","10,260.80","10,341.97","10,321.64","10,305.69",""""
"""Day's low         ","10,020.62","10,197.69","10,246.14","10,171.24","10,192.03",""""
Nasdaq Comp       ,2154.06,2151.08,2166.9,2149.02,2167.88,
S&P 500 Index     ,1093.08,1093.01,1098.51,1087.24,1093.48,
"""NYSE volume ('000)      ","1,235,987","1,072,801","1,045,724","10,050,144","98,502",""""
NYSE rises        ,2541,1269,1875,626,2206,
NYSE falls        ,496,1748,1129,2398,793,
Transport         ,3920.67,3916.91,3988,3937.84,3960.57,
NYSE Comp         ,7135.33,7126.42,7155.36,7063.05,7119.89,
AMEX Index        ,1823.88,1822.59,1822.26,1808.87,1820.84,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,486.88","11,426.74","10,439.75","11,360.76","11,407.68",""""
LONDON:,,,,,,
FT 100 Index      ,5235.18,5230.55,5266.75,5276.5,5296.38,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2860.11,2856.44,2881.01,2876.92,2883.04,
GERMANY:,,,,,,
German Xetra Dax  ,5619.72,5613.2,5668.35,5663.96,5686.83,
FRANCE:,,,,,,
CAC Index         ,3785.49,3785.59,3814.39,3808.07,3806.01,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6385.14,6369.1,6374.7,6355.76,6351.08,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,345.01","26,375.93","26,662.54","26,687.98","26,695.24",""""
JSE Africa Gold Index        ,2535.22,2540.85,2581.17,n/a     ,2556,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,530.53","23,449.89","23,687.14","23,637.09","23,710.02",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,816.80","11,814.00","11,801.40","11,834.50","11,867.00",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3165.07,3167.41,3161.54,3172.08,3158.14,
NZ Top 10 Capital   ,862.48,859.83,860.05,862.4,857.95,
TOKYO:,,,,,,
Nikkei 225 Index  ,9808.99,9870.73,9871.68,9804.49,9770.31,
Nikkei high       ,9845.9,9979.46,9949.71,9943.57,9805.2,
Nikkei low        ,9731.59,9857.1,9849.99,9788.49,9719.38,
Nikkei 300 Index  ,175.53,175.82,176.1,175.57,175.38,
Topix Index       ,870.67,872.44,872.29,867.7,866.8,
Nikkei vol (mil)  ,1.609,1.805,1.698,n/a     ,1.736,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,207.55","22,268.16","22,627.21","22,397.57","22,553.63",""""
 CHINA:,,,,,,
Shanghai A Index  ,3332.53,3335.6,3331.86,3329.13,3343.23,
KOREA:,,,,,,
Seoul KOSPI     ,1576.79,1582.3,1594.82,1572.73,1571.99,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,498.72","16,440.56","16,849.60","16,696.03","16,848.83",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2693.38,2707.6,2740.43,2726.24,2727.23,
MALAYSIA:,,,,,,
KL Composite Index   ,1267.75,1274.08,1270.15,1271.75,1270.96,
INDONESIA:,,,,,,
JSX Composite Index      ,2406.43,2381.96,2403.88,2420.28,2426.8,
THAILAND:,,,,,,
Bangkok SET Index         ,713.48,708.2,717.9,696.72,698.33
TAIWAN:,,,,,
TAIEX Index   ,7536.7,7593.49,7668.06,7670.93,7665.63
PHILIPPINES:,,,,,
Manila PSE Index         ,2915.71,2996.7,3047.14,3073.92,3034.32
WORLD:,,,,,
MSCI World        ,1154,1156,1162.2,1154.4,1157.9
Comm Research Index    ,274.09,272.31,273.44,269.2,269.12
Moody's Comm Index   ,4273.06,4305.04,4308.46,4308.46,4295.77
LME Index        ,3016.8,3007.1,3014.3,2989.6,2996.1
