Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-01-04T14:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 30,Dec 31,Jan 1,Jan 2,Jan 3,,
New York:,,
,
DJ Indust,"16,504.29","16,576.66",Closed,"16,441.35","16,469.99",,
DJ Opening,"16,484.51","16,512.38",Closed,"16,572.17","16,456.89",,
Day's High,"16,504.35","16,588.25",Closed,"16,573.07","16,518.74",,
Day's low,"16,476.87","16,511.48",Closed,"16,416.49","16,439.30",,
Nasdaq Comp,4154.20,4176.59,Closed,4143.07,4131.91,,
S&P 500 Index,1841.07,1848.36,Closed,1831.98,1831.37,,
Wilshire 5000,"19,623.46","19,706.03",Closed,"19,533.84","19,541.73",,
NYSE volume ('000),"46,013,900","56,547,000",Closed,"62,049,200","53,877,600",,
NYSE rises,1464,1987,Closed,1003,1937,,
NYSE falls,1558,1051,Closed,2040,1057,,
Transport,7351.20,7400.57,Closed,7287.87,7327.37,,
NYSE Comp,"10,357.84","10,400.33",Closed,"10,283.42","10,296.77",,
AMEX Index,2405.74,2426.20,Closed,2403.34,2397.62,,
Canada:,,
,
DJ S&P TSX Index,"13,581.39","13,621.55",Closed,"13,594.19","13,548.86",,
London:,,
,
FTSE 100 Index,6731.27,6749.09,Closed,6717.91,6730.67,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3100.93,3109.00,Closed,3059.93,3074.43,,
Germany:,,
,
German Xetra Dax,9552.16,Closed,Closed,9400.04,9435.15,,
France:,,
,
CAC Index,4275.71,4295.95,Closed,4227.28,4247.65,,
Switzerland:,,
,
Swiss Market Index,8202.98,Closed,Closed,Closed,8270.46,,
Johannesburg:,,
,
FTSE JSE All Share Index,"46,131.29","46,256.23",Closed,"46,589.70","46,206.09",,
JSE Africa Gold Index,1029.29,1020.01,Closed,1077.61,1086.54,,
Italy:,,
,
FTSE Italia All Share Index,"20,203.72",Closed,Closed,"20,176.18","20,371.96",,
Spain:,,
,
IBEX 35,9901.9,9916.7,Closed,9760.3,9798.0,,
New Zealand:,,
,
NZ Top 50 Capital,4768.98,4737.01,Closed,Closed,4769.04,,
NZ Top 10 Capital,1110.12,1102.76,Closed,Closed,1114.41,,
Tokyo:,,
,
Nikkei 225 Index,"16,291.31",Closed,Closed,Closed,Closed,,
Nikkei high,"16,320.22",Closed,Closed,Closed,Closed,,
Nikkei low,"16,182.71",Closed,Closed,Closed,Closed,,
Nikkei 300 Index,265.63,Closed,Closed,Closed,Closed,,
Topix Index,1302.29,Closed,Closed,Closed,Closed,,
Hong Kong:,,
,
Hang Seng Index,"23,244.87","23,306.39",Closed,"23,340.05","22,817.28",,
China:,,
,
Shanghai A Index,2195.11,2214.49,Closed,2207.56,2180.10,,
Korea:,,
,
Seoul KOSPI,2011.34,2011.34,Closed,1967.19,1946.14,,
Taiwan:,,
,
TAIEX Index,8623.43,8611.51,Closed,8612.54,8546.54,,
Singapore:,,
,
Straits Times Index,3153.29,3167.43,Closed,3174.65,3131.47,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1872.52,1866.96,Closed,1852.95,1834.74,,
Indonesia:,,
,
JSX Composite Index,4274.18,Closed,4274.18,4327.27,4257.66,,
India:,,
,
BSE Sensex Index,"21,143.01","21,170.68","21,140.48","20,888.33","20,851.33",,
Thailand:,,
,
FTSE SET Index,Closed,Closed,Closed,1230.77,1224.62,,
Philippines:,,
,
Manila PSE Index,Closed,Closed,Closed,5984.26,5947.93,,
World:,,
,
MSCI World,1656.15,1661.07,1661.10,1645.22,1646.05,,
Comm Research Index,283.17,280.77,Closed,278.00,277.12,,
Moody's Comm Index,5796.68,5788.08,Closed,5754.93,5752.28,,
LME Index,3182.9,Closed,Closed,3170.1,3125.4,,
,
Source: Thomson Reuters,
