Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-04-11T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 6,Apr 7,Apr 8,Apr 9,Apr 10,,
New York:,,
,
DJ Indust,"17,880.85","17,875.42","17,902.51","17,958.73","18,057.65",,
DJ Opening,"17,755.50","17,884.32","17,877.62","17,897.70","17,956.73",,
Day's High,"17,941.79","17,983.12","17,976.20","17,984.22","18,066.76",,
Day's low,"17,646.80","17,871.21","17,822.23","17,823.10","17,945.55",,
Nasdaq Comp,4917.32,4910.23,4950.82,4974.57,4995.98,,
S&P 500 Index,2080.62,2076.33,2081.90,2091.18,2102.06,,
Wilshire 5000,"22,083.16","22,026.57","22,100.56","22,171.28","22,274.80",,
NYSE volume ('000),904358,661974,764609,724382,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8566.47,8607.68,8668.58,8708.51,8767.83,,
NYSE Comp,"11,033.12","11,013.24","11,032.99","11,065.39","11,112.68",,
AMEX Index,2441.96,2445.84,2441.05,2452.19,2469.75,,
Canada:,,
,
DJ S&P TSX Index,"15,100.65","15,188.84","15,213.60","15,326.31","15,388.43",,
London:,,
,
FTSE 100 Index,Closed,6961.77,6937.41,7015.36,7089.77,,
Europe:,,
,
DJ Euro Stoxx 50 Index,Closed,3768.72,3742.63,3781.79,3816.76,,
Germany:,,
,
German Xetra Dax,Closed,"12,123.52","12,035.86","12,166.44","12,374.73",,
France:,,
,
CAC Index,Closed,5151.19,5136.86,5208.95,5240.46,,
Switzerland:,,
,
Swiss Market Index,Closed,9260.75,9247.82,9393.38,9471.46,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"52,595.69","52,806.00","52,984.55","53,420.78",,
JSE Africa Gold Index,Closed,1253.48,1210.84,1196.39,1246.29,,
Italy:,,
,
FTSE Italia All Share Index,Closed,"25,304.94","25,193.15","25,430.37","25,532.83",,
Spain:,,
,
IBEX 35,Closed,"11,730.5","11,655.5","11,734.6","11,749.3",,
New Zealand:,,
,
NZ Top 50 Capital,Closed,5855.44,5859.72,5847.17,5847.36,,
NZ Top 10 Capital,Closed,1218.70,1217.79,1214.34,1217.89,,
Tokyo:,,
,
Nikkei 225 Index,"19,397.98","19,640.54","19,789.81","19,937.72","19,907.63",,
Nikkei high,"19,424.09","19,667.48","19,845.53","19,957.32","20,006.00",,
Nikkei low,"19,241.29","19,501.31","19,693.63","19,822.49","19,845.31",,
Nikkei 300 Index,317.06,321.05,322.91,324.47,323.34,,
Topix Index,1560.71,1578.55,1588.47,1594.19,1589.54,,
Hong Kong:,,
,
Hang Seng Index,Closed,Closed,"26,236.86","26,944.39","27,272.39",,
China:,,
,
Shanghai A Index,Closed,4152.51,4187.66,4148.37,4227.93,,
Korea:,,
,
Seoul KOSPI,2046.43,2047.03,2059.26,2058.87,2087.76,,
Taiwan:,,
,
TAIEX Index,Closed,9641.90,9571.97,9568.04,9617.70,,
Singapore:,,
,
Straits Times Index,3452.91,3465.62,3460.68,3460.30,3472.38,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1842.94,1856.51,1850.31,1849.39,1844.31,,
Indonesia:,,
,
JSX Composite Index,5480.03,5523.29,5486.58,5500.90,5491.34,,
India:,,
,
BSE Sensex Index,"28,504.46","28,516.59","28,707.75","28,885.21","28,879.38",,
Thailand:,,
,
FTSE SET Index,Closed,1549.53,1544.86,1545.11,1547.83,,
Philippines:,,
,
Manila PSE Index,8053.74,8098.68,8052.69,Closed,8127.48,,
World:,,
,
MSCI World,1764.49,1764.24,1766.44,1771.86,1779.47,,
Comm Research Index,220.58,222.41,216.94,216.68,217.67,,
Moody's Comm Index,5307.47,5378.63,5345.98,5308.59,5308.59,,
LME Index,Closed,2772.2,2755.5,2751.2,2771.0,,
,
Source: Thomson Reuters,
