Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-05-27T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 21,May 22,May 23,May 24,May 25,,
New York:,,
,
DJ Indust,"12,504.48","12,502.81","12,496.15","12,529.75","12,454.83",,
DJ Opening,"12,369.15","12,505.38","12,501.52","12,491.91","12,530.74",,
Day's High,"12,508.11","12,575.96","12,508.30","12,539.59","12,533.12",,
Day's low,"12,367.72","12,447.33","12,311.56","12,419.63","12,421.53",,
Nasdaq Comp,2847.21,2839.08,2850.12,2839.38,2837.53,,
S&P 500 Index,1315.99,1316.63,1318.86,1320.68,1317.82,,
Wilshire 5000,"13,651.98","13,846.42","13,585.15","13,769.72","13,817.70",,
NYSE volume ('000),"79,633","84,344","85,889","77,819","58,842",,
NYSE rises,2561,1545,1808,1757,1539,,
NYSE falls,431,1448,1179,1237,1424,,
Transport,5003.11,5007.96,5067.25,5108.40,5079.84,,
NYSE Comp,7542.98,7542.58,7540.90,7552.36,7534.33,,
AMEX Index,2240.09,2223.35,2217.87,2225.93,2227.38,,
Canada:,,
,
DJ S&P TSX Index,Closed,"11,451.78","11,564.80","11,566.07","11,576.47",,
London:,,
,
FTSE 100 Index,5304.48,5403.28,5266.41,5350.05,5351.53,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2150.16,2192.85,2134.05,2156.52,2161.87,,
Germany:,,
,
German Xetra Dax,6331.04,6435.60,6285.75,6315.89,6339.94,,
France:,,
,
CAC Index,3027.15,3084.09,3003.27,3038.25,3047.94,,
Switzerland:,,
,
Swiss Market Index,5814.59,5910.20,5817.91,5852.44,5865.19,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,086.00","33,488.14","32,887.45","33,046.13","32,992.25",,
JSE Africa Gold Index,2370.98,2431.01,2399.49,2508.46,2500.97,,
Italy:,,
,
FTSE Italia All Share Index,"13,960.33","14,428.75","13,908.98","14,069.21","14,117.36",,
Spain:,,
,
IBEX 35,6524.0,6661.3,6440.5,6534.4,6543.0,,
New Zealand:,,
,
NZ Top 50 Capital,3493.39,3529.86,3510.20,3496.19,3486.23,,
NZ Top 10 Capital,893.23,906.10,898.27,894.69,892.76,,
Tokyo:,,
,
Nikkei 225 Index,8633.89,8729.29,8556.60,8563.38,8580.39,,
Nikkei high,8676.20,8740.48,8715.14,8597.85,8616.85,,
Nikkei low,8608.62,8690.47,8538.69,8496.61,8550.93,,
Nikkei 300 Index,146.66,148.41,146.11,146.24,146.31,,
Topix Index,725.15,733.33,721.57,722.25,722.11,,
Nikkei vol (mil),1510,1519,1917,1802,1563,,
Hong Kong:,,
,
Hang Seng Index,"18,922.32","19,039.15","18,786.19","18,666.40","18,713.41",,
China:,,
,
Shanghai A Index,2459.66,2485.82,2475.50,2462.43,2444.22,,
Korea:,,
,
Seoul KOSPI,1799.13,1828.69,1808.62,1814.47,1824.17,,
Taiwan:,,
,
TAIEX Index,7192.23,7274.89,7147.75,7124.89,7071.63,,
Singapore:,,
,
Straits Times Index,2790.16,2823.75,2780.42,2779.53,2772.75,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1538.91,1546.84,1539.71,1548.25,1551.12,,
Indonesia:,,
,
JSX Composite Index,3940.11,4021.10,3981.58,3984.87,3902.51,,
India:,,
,
BSE Sensex Index,"16,183.26","16,026.41","15,948.10","16,222.30","16,217.82",,
Thailand:,,
,
FTSE SET Index,1135.16,1131.52,1110.70,1125.78,1132.83,,
Philippines:,,
,
Manila PSE Index,4954.00,4958.43,4928.53,4904.22,4925.97,,
World:,,
,
MSCI World,1191.45,1199.88,1187.36,1191.46,1188.56,,
Comm Research Index,290.07,286.77,281.70,282.19,282.21,,
Moody's Comm Index,6062.23,6069.74,6005.77,5931.95,5999.02,,
LME Index,3330.5,3327.9,3260.4,3293.5,3298.9,,
,
Source: Thomson Reuters,
