Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-03T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 28,Sep 29,Sep 30,Oct 1,Oct 2,,
New York:,,
,
DJ Indust,"16,001.89","16,049.13","16,284.70","16,272.01","16,472.37",,
DJ Opening,"16,313.26","16,001.76","16,057.08","16,278.62","16,258.25",,
Day's High,"16,313.26","16,118.89","16,297.60","16,348.87","16,472.77",,
Day's low,"15,981.85","15,942.37","16,057.08","16,073.82","16,013.66",,
Nasdaq Comp,4543.97,4517.32,4620.17,4627.08,4707.78,,
S&P 500 Index,1881.77,1884.09,1920.03,1923.82,1951.36,,
Wilshire 5000,"19,760.18","19,737.25","20,119.28","20,157.36","20,453.86",,
NYSE volume ('000),976069,1053529,1015625,1233494,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,7675.87,7700.71,7785.63,7832.70,7873.64,,
NYSE Comp,9601.42,9622.07,9799.69,9820.95,9973.56,,
NYSE AMEX Comp Idx,2130.67,2131.46,2173.17,2161.48,2212.01,,
Canada:,,
,
DJ S&P TSX Index,"13,004.58","13,036.96","13,306.96","13,241.89","13,339.74",,
London:,,
,
FTSE 100 Index,5958.86,5909.24,6061.61,6072.47,6129.98,,
Europe:,,
,
EURO STOXX 50 Index,3039.44,3029.86,3100.67,3069.05,3088.18,,
Germany:,,
,
German Xetra Dax,9483.55,9450.40,9660.44,9509.25,9553.07,,
France:,,
,
CAC Index,4357.05,4343.73,4455.29,4426.54,4458.88,,
Switzerland:,,
,
Swiss Market Index,8381.22,8323.48,8513.41,8510.56,8515.52,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,490.81","49,383.93","50,088.86","50,516.58","50,955.89",,
JSE Africa Gold Index,931.45,936.67,935.95,957.16,986.16,,
Italy:,,
,
FTSE Italia All Share Index,"22,349.40","22,282.69","22,844.59","22,703.74","22,951.53",,
Spain:,,
,
IBEX 35,9394.2,9393.9,9559.9,9567.3,9603.6,,
New Zealand:,,
,
NZ Top 50 Capital,5699.13,5612.42,5593.36,5585.42,5593.51,,
NZ Top 10 Capital,1141.11,1118.00,1112.99,1119.21,1120.47,,
Tokyo:,,
,
Nikkei 225 Index,"17,645.11","16,930.84","17,388.15","17,722.42","17,725.13",,
Nikkei high,"17,886.49","17,366.95","17,460.97","17,831.58","17,775.77",,
Nikkei low,"17,562.60","16,901.49","17,179.40","17,389.57","17,537.85",,
Nikkei 300 Index,290.33,277.30,284.35,290.93,291.41,,
Topix Index,1438.67,1375.52,1411.16,1442.74,1444.92,,
Hong Kong:,,
,
Hang Seng Index,Closed,"20,556.60","20,846.30",Closed,"21,506.09",,
China:,,
,
Shanghai A Index,3247.80,3182.06,3197.37,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,Closed,Closed,1962.81,1979.32,1969.68,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,8181.24,8295.94,8305.03,,
Singapore:,,
,
Straits Times Index,2791.92,2787.94,2790.89,2801.85,2793.15,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1608.43,1603.32,1621.04,1633.93,1628.80,,
Indonesia:,,
,
JSX Composite Index,4120.50,4178.41,4223.91,4254.88,4207.80,,
India:,,
,
BSE Sensex Index,"25,616.84","25,778.66","26,154.83","26,220.95",Closed,,
Thailand:,,
,
FTSE SET Index,1352.13,1348.84,1349.00,1345.15,1346.35,,
Philippines:,,
,
Manila PSE Index,6815.59,6859.29,6893.98,6890.94,6850.61,,
World:,,
,
MSCI World,1560.04,1550.44,1581.92,1587.98,1607.13,,
Comm Research Index,193.33,194.10,194.29,193.03,194.63,,
Moody's Comm Index,4857.08,4881.41,4912.65,4915.50,4915.50,,
LME Index,2299.9,2307.7,2371.2,2342.0,2339.9,,
,
Source: Thomson Reuters,
