Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-01-06T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 31,Jan 1,Jan 2,Jan 3,Jan 4,,
New York:,,
,
DJ Indust,"13,104.14",Closed,"13,412.55","13,391.36","13,435.21",,
DJ Opening,"12,938.19",Closed,"13,104.30","13,413.01","13,391.05",,
Day's High,"13,109.13",Closed,"13,412.71","13,430.60","13,447.11",,
Day's low,"12,883.89",Closed,"13,104.30","13,358.30","13,376.23",,
Nasdaq Comp,3019.51,Closed,3112.26,3100.57,3101.66,,
S&P 500 Index,"1,426.19",Closed,"1,462.42","1,459.37","1,466.47",,
Wilshire 5000,"14,995.11",Closed,"15,380.41","15,362.59","15,450.18",,
NYSE volume ('000)," 73,026,",Closed,"85,739","70,567","65,010",,
NYSE rises,2609,Closed,2799,1692,2287,,
NYSE falls,433,Closed,276,1321,700,,
Transport,5306.77,Closed,5435.74,5469.93,5534.06,,
NYSE Comp,8443.51,Closed,8632.01,8607.79,8667.68,,
AMEX Index,2355.66,Closed,2377.96,2362.33,2388.67,,
Canada:,,
,
DJ S&P TSX Index,"12,433.53",Closed,"12,540.77","12,470.44","12,540.81",,
London:,,
,
FTSE 100 Index,5897.81,Closed,6027.37,6047.34,6089.84,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2635.93,Closed,2711.25,2701.22,2709.35,,
Germany:,,
,
German Xetra Dax,Closed,Closed,7778.78,7756.44,7776.37,,
France:,,
,
CAC Index,3641.07,Closed,3733.93,3721.17,3730.02,,
Switzerland:,,
,
Swiss Market Index,Closed,Closed,Closed,7020.46,7058.92,,
Johannesburg:,,
,
FTSE JSE All Share Index,"39,250.24",Closed,"40,061.75","40,245.01","40,274.79",,
JSE Africa Gold Index,2273.80,Closed,2333.74,2324.33,2247.57,,
Italy:,,
,
FTSE Italia All Share Index,Closed,Closed,"17,806.59","17,827.57","17,891.98",,
Spain:,,
,
IBEX 35,8167.5,Closed,8447.6,8403.4,8435.8,,
New Zealand:,,
,
NZ Top 50 Capital,4066.51,Closed,Closed,4082.37,4075.04,,
NZ Top 10 Capital,972.70,Closed,Closed,976.86,972.62,,
Tokyo:,,
,
Nikkei 225 Index,Closed,Closed,Closed,Closed,"10,688.11",,
Nikkei high,Closed,Closed,Closed,Closed,"10,734.23",,
Nikkei low,Closed,Closed,Closed,Closed,"10,602.24",,
Nikkei 300 Index,Closed,Closed,Closed,Closed,180.05,,
Topix Index,Closed,Closed,Closed,Closed,888.51,,
Nikkei vol (mil),Closed,Closed,Closed,Closed,3409,,
Hong Kong:,,
,
Hang Seng Index,"22,656.92",Closed,"23,311.98","23,398.60","23,331.09",,
China:,,
,
Shanghai A Index,2376.04,Closed,Closed,Closed,2384.19,,
Korea:,,
,
Seoul KOSPI,Closed,Closed,2031.10,2019.41,2011.94,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,7779.22,7836.84,7805.99,,
Singapore:,,
,
Straits Times Index,3167.08,Closed,3201.74,3224.80,3225.22,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1688.95,Closed,1674.72,1692.65,1692.58,,
Indonesia:,,
,
JSX Composite Index,Closed,Closed,4346.48,4399.26,4410.02,,
India:,,
,
BSE Sensex Index,"19,426.71","19,580.81","19,714.24","19,764.78","19,784.08",,
Thailand:,,
,
FTSE SET Index,Closed,Closed,1407.45,1408.41,1416.66,,
Philippines:,,
,
Manila PSE Index,Closed,Closed,5860.99,5934.05,5971.45,,
World:,,
,
MSCI World,1338.50,1338.55,1367.38,1364.39, 1370.1,,
Comm Research Index,295.46,Closed,297.99,296.11,294.59,,
Moody's Comm Index,6304.02,Closed,6271.16,6354.56,6375.36,,
LME Index,3454.5,Closed,3581.7,3539.6,3488.9,,
,
Source: Thomson Reuters,
