Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-18T16:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,,
New York:,,
,
DJ Indust,"12,021.39","11,954.94","11,823.48","11,868.81","11,866.39",,
DJ Opening,"12,181.08","12,018.66","11,949.72","11,825.29","11,870.25",,
Day's High,"12,181.38","12,147.70","11,950.02","11,967.84","11,968.18",,
Day's low,"11,940.86","11,904.38","11,786.47","11,825.22","11,819.31",,
Nasdaq Comp,2612.26,2579.27,2539.31,2541.01,2555.33,,
S&P 500 Index,1236.47,1225.73,1211.82,1215.75,1219.66,,
Wilshire 5000,"12,920.80","12,781.15","12,625.74","12,677.01","12,736.87",,
NYSE volume ('000),"77,668","92,456","92,611","86,879","1,786,458",,
NYSE rises,610,845,836,1862,1841,,
NYSE falls,2398,2145,2179,1097,1121,,
Transport,4906.92,4827.41,4757.44,4832.37,4906.26,,
NYSE Comp,7363.49,7277.62,7184.75,7217.10,7237.66,,
AMEX Index,2257.89,2235.30,2213.68,2210.71,2204.91,,
Canada:,,
,
DJ S&P TSX Index,"11,907.89","11,759.94","11,543.05","11,504.42","11,635.38",,
London:,,
,
FTSE 100 Index,5427.86,5490.15,5366.80,5400.85,5387.34,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2269.46,2260.98,2205.91,2224.89,2202.72,,
Germany:,,
,
German Xetra Dax,5785.43,5774.26,5675.14,5730.62,5701.78,,
France:,,
,
CAC Index,3089.59,3078.72,2976.17,2998.73,2972.30,,
Switzerland:,,
,
Swiss Market Index,5747.09,5759.72,5719.09,5784.14,5733.50,,
Johannesburg:,,
,
FTSE JSE All Share Index,"32,270.06","32,208.20","31,727.03","32,006.70",Closed,,
JSE Africa Gold Index,3038.46,3053.19,2952.82,2947.96,–,,
Italy:,,
,
FTSE Italia All Share Index,"15,663.48","15,625.50","15,190.42","15,347.83","15,287.91",,
Spain:,,
,
IBEX 35,8381.0,8327.8,8182.0,8250.4,8203.4,,
New Zealand:,,
,
NZ Top 50 Capital,3299.51,3292.79,3284.14,3263.19,3245.34,,
NZ Top 10 Capital,852.78,850.97,846.61,840.06,840.11,,
Tokyo:,,
,
Nikkei 225 Index,8653.82,8552.81,8519.13,8377.37,8401.72,,
Nikkei high,8682.47,8594.32,8540.57,8455.32,8433.18,,
Nikkei low,8633.35,8518.80,8486.37,8374.25,8390.98,,
Nikkei 300 Index,150.46,149.21,148.55,146.22,145.97,,
Topix Index,746.69,740.71,736.98,725.02,723.56,,
Nikkei vol (mil),1505,1651,1517,1544,1479,,
Hong Kong:,,
,
Hang Seng Index,"18,575.66","18,447.17","18,354.43","18,026.84","18,285.39",,
China:,,
,
Shanghai A Index,2400.79,2355.96,2334.89,2284.97,2330.84,,
Korea:,,
,
Seoul KOSPI,1899.76,1864.06,1857.75,1819.11,1839.96,,
Taiwan:,,
,
TAIEX Index,6949.04,6896.31,6922.57,6764.59,6785.09,,
Singapore:,,
,
Straits Times Index,2701.72,2685.74,2672.39,2635.25,2659.22,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1467.10,1465.39,1463.12,1464.11,1466.22,,
Indonesia:,,
,
JSX Composite Index,3792.15,3763.58,3751.60,3701.54,3768.35,,
India:,,
,
BSE Sensex Index,"15,870.35","16,002.51","15,881.14","15,836.47","15,491.35",,
Thailand:,,
,
FTSE SET Index,Closed,1030.61,1023.48,1024.16,1034.06,,
Philippines:,,
,
Manila PSE Index,4276.34,4282.62,4285.93,4282.67,4304.94,,
World:,,
,
MSCI World,1168.92,1159.39,1139.05,1142.85,1146.48,,
Comm Research Index,303.05,305.97,295.48,294.64,295.19,,
Moody's Comm Index,6068.50,6011.42,5969.35,5847.49,5829.23,,
LME Index,3322.7,3308.4,3164.9,3179.2,3234.4,,
,
Source: Thomson Reuters,
