Weekly Roundup - Overseas Indices,,,,,,
XAO 4693.7 at 16:47 6/11/2009  Report at 19:10 Friday 6/11/2009 . Processed 17:28 Sunday 8/11/2009.,,,,,,



,,,,,,
,2-Nov,3-Nov,4-Nov,5-Nov,6-Nov,
NEW YORK:,,,,,,
"""DJ Indust         ",9789.44,9771.91,9802.14,"10,005.96","10,023.42",""""
"""DJ Opening    ",9712.13,9787.47,9767.3,9807.8,"10,001.35",""""
"""Day's High      ",9858.59,9787.47,9928.04,"10,013.07","10,044.50",""""
Day's low         ,9678.95,9703.89,9767.14,9807.8,9936.81,
Nasdaq Comp       ,2049.2,2057.32,2055.52,2105.32,2112.44,
S&P 500 Index     ,1042.88,1045.41,1046.5,1066.63,1069.3,
"""NYSE volume ('000)      ","1,545,343","1,380,272","1,136,172","1,303,065","1,084,657",""""
NYSE rises        ,1627,1841,1613,2495,1531,
NYSE falls        ,1411,1185,1407,542,1445,
Transport         ,3599.84,3789.89,3733.04,3811.29,3852.47,
NYSE Comp         ,6784.94,6812.7,6830.43,6950.14,6958.29,
AMEX Index        ,1739.74,1754.53,1764.19,1787.32,1788.75,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","10,878.35","11,025.90","11,071.20","11,180.70","11,250.42",""""
LONDON:,,,,,,
FT 100 Index      ,5104.5,5037.21,5107.89,5125.64,5142.72,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2762.95,2712.3,2763.29,2793.44,2794.25,
GERMANY:,,,,,,
German Xetra Dax  ,5430.82,5353.35,5444.23,5480.92,5488.25,
FRANCE:,,,,,,
CAC Index         ,3639.46,3584.25,3670.33,3708.73,3707.29,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6291.22,6213.35,6267.11,6285.2,6293.61,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,112.73","25,755.60","25,924.50","25,897.80","25,933.45",""""
JSE Africa Gold Index        ,2432.11,2428.18,2554.27,2461.42,2530.43,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","22,756.70","22,400.66","22,864.05","23,061.70","23,025.18",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,465.80","11,242.40","11,387.70","11,548.90","11,580.60",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3183.74,3158.99,3166.71,3144.51,3160.16,
NZ Top 10 Capital   ,869.96,861.9,867.04,857.22,861.05,
TOKYO:,,,,,,
Nikkei 225 Index  ,9802.95,closed   ,9844.31,9717.44,9789.35,
Nikkei high       ,9904.61,         ,9845,9825.82,9849.72,
Nikkei low        ,9736.14,        ,9767.91,9691.69,9767,
Nikkei 300 Index  ,177.18,       ,177.51,176.17,176.21,
Topix Index       ,880.54,       ,881.27,874.96,874.01,
Nikkei vol (mil)  ,1.812,       ,1.684,1.937,1.882,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,620.19","21,240.06","21,614.77","21,479.08","21,829.72",""""
 CHINA:,,,,,,
Shanghai A Index  ,3228.7,3268.12,3283.12,3310.92,3320.34,
KOREA:,,,,,,
Seoul KOSPI     ,1559.09,1549.92,1579.93,1552.24,1572.46,
 INDIA:,,,,,,
"""BSE Sensex Index   ",closed      ,"15,404.94","15,912.13","16,063.90","16,158.28",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2645.43,2621.55,2648.64,2629.35,2658.21,
MALAYSIA:,,,,,,
KL Composite Index   ,1241.76,1242.32,1253.84,1253.96,1260.76,
INDONESIA:,,,,,,
JSX Composite Index      ,2371.64,2334.11,2371.86,2367.21,2395.11,
THAILAND:,,,,,,
Bangkok SET Index         ,677.22,668.48,686.41,681.91,698.63
PHILIPPINES:,,,,,
Manila PSE Index         ,2908.5,2908.24,2907.63,2944.51,2931.47
TAIWAN:,,,,,
TAIEX Index   ,7335.18,7322.93,7467.04,7417.46,7463.05
WORLD:,,,,,
MSCI World        ,1111.7,1098.3,1120.8,1128.3,1130.7
Comm Research Index    ,273.5,276.49,276.94,274.3,269.44
Moody's Comm Index   ,4253.51,4278.53,4287.97,4321.36,4297.25
LME Index        ,3024.7,2991.1,3038.7,3023.5,2989.2
