Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-06-01T18:30:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 27,May 28,May 29,May 30,May 31,,
New York:,,
,
DJ Indust,Closed,"15,409.39","15,302.80","15,324.53","15,115.57",,
DJ Opening,Closed,"15,307.33","15,399.94","15,306.02","15,322.22",,
Day's High,Closed,"15,521.49","15,400.25","15,398.70","15,392.38",,
Day's low,Closed,"15,307.33","15,229.53","15,280.99","15,115.57",,
Nasdaq Comp,Closed,"3,488.89",3467.52,3491.30,3455.91,,
S&P 500 Index,Closed,"1,660.06",1648.36,1654.41,1630.74,,
Wilshire 5000,Closed,"17,514.87","17,375.14","17,443.42","17,212.40",,
NYSE volume ('000),Closed,"73,213","72,079","70,867"," 1,133,290",,
NYSE rises,Closed,1756,601,1765,459,,
NYSE falls,Closed,1278,2443,1208,2572,,
Transport,Closed,"6,397.77",6330.04,6341.88,6290.18,,
NYSE Comp,Closed,"9,494.17",9422.49,9460.06,9302.27,,
AMEX Index,Closed,2421.00,2398.97,2402.58,2364.99,,
Canada:,,
,
DJ S&P TSX Index,"12,696.37","12,750.52","12,732.61","12,746.55","12,650.42",,
London:,,
,
FTSE 100 Index,Closed,"6,762.01",6627.17,6656.99,6583.09,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2795.00,"2,835.87",2786.54,2799.20,2769.64,,
Germany:,,
,
German Xetra Dax,8383.30,"8,480.870",8336.58,8400.20,8348.84,,
France:,,
,
CAC Index,3995.16,"4,050.56",3974.12,3996.31,3948.59,,
Switzerland:,,
,
Swiss Market Index,8163.05,"8,221.22",8028.64,8021.57,7947.01,,
Johannesburg:,,
,
FTSE JSE All Share Index,"41,432.46","47,144.62","41,233.07","41,941.88","42,016.45",,
JSE Africa Gold Index,1359.14,"1,351.40",1359.70,1511.14,1536.72,,
Italy:,,
,
FTSE Italia All Share Index,"18,190.94","17,473.78","18,269.30","18,349.80","18,205.40",,
Spain:,,
,
IBEX 35,8363.6,"8,511.3",8441.7,8433.5,8320.6,,
New Zealand:,,
,
NZ Top 50 Capital,4478.20,"4,478.251",4488.26,4470.51,4511.35,,
NZ Top 10 Capital,1062.86,"1,060.908",1061.00,1055.06,1064.39,,
Tokyo:,,
,
Nikkei 225 Index,"14,142.65","14,311.98","14,326.46","13,589.03","13,774.54",,
Nikkei high,"14,381.28","14,399.78","14,512.28","14,098.16","13,916.56",,
Nikkei low,"14,027.42","13,943.62","14,243.49","13,555.66","13,681.39",,
Nikkei 300 Index,234.90,237.90,239.62,230.44,230.59,,
Topix Index,1154.07,"1,168.27",1178.87,1134.42,1135.78,,
Hong Kong:,,
,
Hang Seng Index,"22,686.05","22,924.25","22,554.93","22,484.31","22,392.16",,
China:,,
,
Shanghai A Index,2400.14,"2,429.76",2432.60,2426.04,2408.25,,
Korea:,,
,
Seoul KOSPI,1979.97,"1,986.22",2001.20,2000.10,2001.05,,
Taiwan:,,
,
TAIEX Index,8280.10,"8,263.05",8337.90,8243.29,8254.80,,
Singapore:,,
,
Straits Times Index,3391.30,"3,406.08",3367.47,3336.01,3311.37,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1767.13,"1,776.16",1783.47,1774.92,1769.22,,
Indonesia:,,
,
JSX Composite Index,5085.14,"5,176.235",5200.69,5129.65,5068.63,,
India:,,
,
BSE Sensex Index,"20,030.77","20,160.82","20,147.64","20,215.40","19,760.30",,
Thailand:,,
,
FTSE SET Index,1593.10,"1,619.57",1601.61,1581.32,1562.07,,
Philippines:,,
,
Manila PSE Index,7097.51,"7,113.22",7228.57,6953.35,7021.95,,
World:,,
,
MSCI World,1489.58, 1497.1,1489.44, 1491.8,1471.93,,
Comm Research Index,Closed,n/a,284.79,284.28,282.37,,
Moody's Comm Index,Closed,6045.51,6055.80,6053.73,6078.76,,
LME Index,Closed,n/a,3129.4,3168.1,3169.9,,
,
Source: Thomson Reuters,
