Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-10-01T20:00:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,,
New York:,,
,
DJ Indust,"13,558.92","13,457.55","13,413.51","13,485.97","13,437.13",,
DJ Opening,"13,577.85","13,559.92","13,458.63","13,413.47","13,485.89",,
Day's High,"13,601.90","13,620.21","13,480.37","13,522.83","13,487.66",,
Day's low,"13,521.68","13,457.25","13,406.91","13,413.47","13,367.27",,
Nasdaq Comp,3160.78,3117.73,3093.70,3136.60,3116.23,,
S&P 500 Index,1456.89,1441.59,1433.32,1447.15,1440.67,,
Wilshire 5000,"15,179.19","15,226.60","14,931.41","14,955.33","14,960.19",,
NYSE volume ('000),"62,484","75,449","73,789"," 63,301","83,092",,
NYSE rises,1195,811,1216,2254,1167,,
NYSE falls,1776,2196,1778, 737,1808,,
Transport,4960.82,4916.62,4913.52,4941.20,4892.62,,
NYSE Comp,8356.56,8274.78,8221.32,8303.74,8251.00,,
AMEX Index,2469.78,2451.3,2444.50,2461.50,2437.52,,
Canada:,,
,
DJ S&P TSX Index,"12,313.54","12,257.18","12,232.86","12,338.85","12,317.46",,
London:,,
,
FTSE 100 Index,5838.84,5859.71,5768.09,5779.42,5742.07,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2557.89,2568.48,2498.52,2506.06,2454.26,,
Germany:,,
,
German Xetra Dax,7413.16,7425.11,7276.51,7290.02,7216.15,,
France:,,
,
CAC Index,3497.22,3513.81,3414.84,3439.32,3354.82,,
Switzerland:,,
,
Swiss Market Index,6597.22,6613.45,6540.41,6545.91,6495.88,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"36,041.48","35,415.07","35,616.60","35,757.98",,
JSE Africa Gold Index,–,2418.12,2316.75,2344.22,2394.30,,
Italy:,,
,
FTSE Italia All Share Index,"16,797.14","16,854.87","16,316.94","16,353.40","15,998.57",,
Spain:,,
,
IBEX 35,8138.4,8175.0,7854.4,7842.3,7708.5,,
New Zealand:,,
,
NZ Top 50 Capital,3809.15,3825.32,3809.32,3809.03,3834.15,,
NZ Top 10 Capital,928.37,933.87,923.80,926.92,931.53,,
Tokyo:,,
,
Nikkei 225 Index,9069.29,9091.54,8906.70,8949.87,8870.16,,
Nikkei high,9091.97,9112.54,8971.75,8959.25,8989.08,,
Nikkei low,9031.13,9023.63,8894.02,8844.06,8838.85,,
Nikkei 300 Index,153.50,154.13,150.86,151.52,149.84,,
Topix Index,753.68,757.66,742.54,745.59,737.42,,
Nikkei vol (mil),1410,1746,1463,1629,1757,,
Hong Kong:,,
,
Hang Seng Index,"20,694.70","20,698.68","20,527.73","20,762.29","20,840.38",,
China:,,
,
Shanghai A Index,2129.09,2125.01,2098.74,2153.40,2184.71,,
Korea:,,
,
Seoul KOSPI,2003.44,1991.41,1980.44,1988.70,1996.21,,
Taiwan:,,
,
TAIEX Index,7768.30,7734.13,7669.63,7683.80,7715.16,,
Singapore:,,
,
Straits Times Index,3067.93,3067.13,3046.68,3059.43,3060.34,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1612.38,1618.58,1619.30,1627.84,1636.66,,
Indonesia:,,
,
JSX Composite Index,4200.91,4226.89,4180.16,4225.02,4262.56,,
India:,,
,
BSE Sensex Index,"18,673.34","18,694.41","18,632.17","18,579.50","18,762.74",,
Thailand:,,
,
FTSE SET Index,1284.30,1287.41,1274.50,1286.11,1298.79,,
Philippines:,,
,
Manila PSE Index,5325.60,5325.17,5292.63,5301.49,5346.10,,
World:,,
,
MSCI World,1331.81,1327.25,1309.40,1320.17,1311.5,,
Comm Research Index,306.32,307.10,304.13,307.72,309.70,,
Moody's Comm Index,6546.42,6595.26,6526.02,6518.11,n/a,,
LME Index,3515.7,3567.0,3495.8,3531.2,3549.0,,
,
Source: Thomson Reuters,
