Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-03T16:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 27,Jun 28,Jun 29,Jun 30,Jul 1,,
New York:,,
,
DJ Indust,"12,043.56","12,188.69","12,261.42","12,414.34","12,582.77",,
DJ Opening,"11,934.66","12,042.28","12,187.63","12,262.25","12,412.07",,
Day's High,"12,098.81","12,190.43","12,284.39","12,427.09","12,596.13",,
Day's low,"11,934.05","12,042.28","12,175.86","12,262.10","12,404.08",,
Nasdaq Comp,2688.28,2729.31,2740.49,2773.52,2816.03,,
S&P 500 Index,1280.10,1296.67,1307.41,1320.64,1339.67,,
Wilshire 5000,"13,541.49","13,724.51","13,834.36","13,960.27","14,172.16",,
NYSE volume ('000),"83,425","80,308","91,086","99,389","86,315",,
NYSE rises,2053,2416,2077,2198,2476,,
NYSE falls,955,594,921,806,523,,
Transport,5259.19,5331.97,5356.17,5423.82,5548.42,,
NYSE Comp,8031.08,8135.98,8228.50,8319.10,8425.48,,
AMEX Index,2270.87,2298.12,2312.24,2343.87,2358.88,,
Canada:,,
,
DJ S&P TSX Index,"12,966.49","13,104.98","13,188.94","13,300.87",Closed,,
London:,,
,
FTSE 100 Index,5722.34,5766.88,5855.95,5945.71,5989.76,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2723.93,2750.49,2802.55,2848.53,2875.67,,
Germany:,,
,
German Xetra Dax,7107.90,7170.43,7294.14,7376.24,7419.44,,
France:,,
,
CAC Index,3796.55,3851.89,3924.23,3982.21,4007.35,,
Switzerland:,,
,
Swiss Market Index,5990.82,6002.40,6101.55,6187.07,6237.81,,
Johannesburg:,,
,
FTSE JSE All Share Index,"30,897.05","31,291.65","31,726.30","31,864.54","31,925.47",,
JSE Africa Gold Index,2305.71,2340.59,2398.15,2382.17,2308.71,,
Italy:,,
,
FTSE Italia All Share Index,"20,002.14","20,154.89","20,594.27","20,913.18","21,227.69",,
Spain:,,
,
IBEX 35,9872.2,9936.7,"10,143.6","10,359.9","10,492.0",,
New Zealand:,,
,
NZ Top 50 Capital,3438.08,3441.01,3414.92,3448.35,3475.00,,
NZ Top 10 Capital,892.23,890.92,884.54,895.39,903.48,,
Tokyo:,,
,
Nikkei 225 Index,9578.31,9648.98,9797.26,9816.09,9868.07,,
Nikkei high,9638.49,9703.41,9797.26,9849.69,9900.57,,
Nikkei low,9570.58,9632.54,9734.66,9785.89,9849.64,,
Nikkei 300 Index,167.52,168.47,171.32,172.23,173.14,,
Topix Index,825.64,830.34,844.11,849.22,853.86,,
Nikkei vol (mil),1632,1595,1670,1902,1675,,
Hong Kong:,,
,
Hang Seng Index,"22,041.77","22,061.78","22,061.18","22,398.10",Closed,,
China:,,
,
Shanghai A Index,2889.59,2890.51,2858.35,2893.53,2890.61,,
Korea:,,
,
Seoul KOSPI,2070.29,2062.91,2094.42,2100.69,2125.74,,
Taiwan:,,
,
TAIEX Index,8500.16,8478.86,8573.38,8652.59,8739.82,,
Singapore:,,
,
Straits Times Index,3048.28,3050.79,3079.74,3120.44,3139.01,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1562.52,1570.02,1575.01,1579.07,1582.94,,
Indonesia:,,
,
JSX Composite Index,3813.43,3830.27,Closed,3888.57,3927.10,,
India:,,
,
BSE Sensex Index,"18,412.41","18,492.45","18,693.86","18,845.87","18,762.80",,
Thailand:,,
,
FTSE SET Index,1010.32,1013.50,1033.26,1041.48,Closed,,
Philippines:,,
,
Manila PSE Index,4289.29,4289.99,4249.35,4291.21,4351.63,,
World:,,
,
MSCI World,1281.77,1296.43,1314.00,1331.18,1343.81,,
Comm Research Index,328.92,334.64,338.98,338.22,336.89,,
Moody's Comm Index,6919.03,6930.62,6947.46,7000.36,6965.52,,
LME Index,3986.3,4028.1,4111.1,4151.8,4135.2,,
,
Source: Thomson Reuters,
