Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-03-03T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 25,Feb 26,Feb 27,Feb 28,Mar 1,,
New York:,,
,
DJ Indust,"13,784.17","13,900.13","14,075.37","14,054.49","14,089.66",,
DJ Opening,"14,000.57","13,784.17","13,900.13","14,075.37","14,054.49",,
Day's High,"14,081.58","13,918.44","14,104.86","14,149.15","14,107.09",,
Day's low,"13,784.01","13,784.17","13,880.19","14,050.18","13,937.60",,
Nasdaq Comp,3116.25,3129.65,3162.26,3160.19,3169.74,,
S&P 500 Index,"1,487.85","1,496.94","1,515.99","1,514.68","1,518.20",,
Wilshire 5000,"15,709.72","15,801.66","16,000.82","15,993.71","16,028.27",,
NYSE volume ('000),"81,825","77,145","67,259","1,005,104","74,210",,
NYSE rises,664,1971,2282,1518,1655,,
NYSE falls,2369,990,704,1446,1288,,
Transport,5815.57,5820.15,5989.37,5993.35,5984.90,,
NYSE Comp,8719.40,8766.17,8875.33,8868.72,8874.19,,
AMEX Index,2349.58,2358.83,2371.23,2363.83,2379.08,,
Canada:,,
,
DJ S&P TSX Index,"12,650.87","12,660.44","12,732.39","12,821.83","12,773.12",,
London:,,
,
FTSE 100 Index,6355.37,6270.44,6325.88,6360.81,6378.60,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2651.86,2570.52,2611.89,2633.55,2616.75,,
Germany:,,
,
German Xetra Dax,7773.19,7597.11,7675.83,7741.70,7708.16,,
France:,,
,
CAC Index,3721.33,3621.92,3691.49,3723.00,3699.91,,
Switzerland:,,
,
Swiss Market Index,7594.35,7449.98,7484.99,7593.67,7601.99,,
Johannesburg:,,
,
FTSE JSE All Share Index,"39,787.96","39,568.28","39,275.37","39,709.56","40,134.97",,
JSE Africa Gold Index,1943.29,1944.17,1922.47,1908.84,1888.66,,
Italy:,,
,
FTSE Italia All Share Index,"17,308.88","16,507.18","16,793.73","16,886.54","16,644.89",,
Spain:,,
,
IBEX 35,8244.5,7980.7,8136.7,8230.3,8187.1,,
New Zealand:,,
,
NZ Top 50 Capital,4226.44,4238.92,4276.32,4320.01,4317.99,,
NZ Top 10 Capital,1006.01,1009.72,1023.14,1039.93,1037.39,,
Tokyo:,,
,
Nikkei 225 Index,"11,662.52","11,398.81","11,253.97","11,559.36","11,606.38",,
Nikkei high,"11,662.52","11,520.24","11,419.62","11,563.75","11,648.63",,
Nikkei low,"11,562.10","11,374.83","11,253.97","11,392.56","11,464.71",,
Nikkei 300 Index,199.70,196.67,193.76,198.33,199.99,,
Topix Index,980.70,966.77,953.72,975.66,984.33,,
Hong Kong:,,
,
Hang Seng Index,"22,820.08","22,519.69","22,577.01","23,020.27","22,880.22",,
China:,,
,
Shanghai A Index,2434.37,2400.30,2421.11,2475.97,2469.53,,
Korea:,,
,
Seoul KOSPI,2009.52,2000.01,2004.04,2026.49,Closed,,
Taiwan:,,
,
TAIEX Index,7947.68,7880.90,7897.98,Closed,7964.63,,
Singapore:,,
,
Straits Times Index,3288.76,3254.26,3261.12,3269.95,3269.50,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1627.35,1624.18,1624.14,1637.63,1637.44,,
Indonesia:,,
,
JSX Composite Index,4696.11,4663.03,4716.42,4795.79,4811.61,,
India:,,
,
BSE Sensex Index,"19,331.69","19,015.14","19,152.41","18,861.54","18,918.52",,
Thailand:,,
,
FTSE SET Index,n/a,1530.32,1518.05,1541.58,1539.60,,
Philippines:,,
,
Manila PSE Index,6721.33,6630.67,6616.27,6721.45,6642.27,,
World:,,
,
MSCI World,1391.22,1386.06,1399.43,1405.18,1401.7,,
Comm Research Index,294.30,293.71,293.38,293.43,290.84,,
Moody's Comm Index,6235.60,6223.58,6217.99,6243.14,6248.96,,
LME Index,3410.4,3408.7,3413.1,3386.4,3340.6,,
,
Source: Thomson Reuters,
