Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-02-06T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,,
New York:,,
,
DJ Indust,"11,891.93","12,040.16","12,041.97","12,062.26","12,092.15",,
DJ Opening,"11,824.39","11,892.50","12,038.27","12,040.68","12,061.73",,
Day's High,"11,891.93","12,050.75","12,057.91","12,080.54","12,092.42",,
Day's low,"11,817.88","11,892.50","12,018.51","11,981.05","12,025.78",,
Nasdaq Comp,2700.08,2751.19,2749.56,2753.88,2769.30,,
S&P 500 Index,1286.12,1307.59,1304.03,1307.10,1310.87,,
Wilshire 5000,"13,551.67","13,783.46","13,747.11","13,781.47","13,818.30",,
NYSE volume ('000),"1,193,587","1,087,242","93,439","99,774","91,900",,
NYSE rises,2054,2482,1391,1606,1477,,
NYSE falls,915,539,1571,1357,1492,,
Transport,5025.11,5126.09,5026.67,5047.35,5055.67,,
NYSE Comp,8139.16,8290.09,8272.57,8289.05,8288.50,,
AMEX Index,2172.04,2201.28,2222.35,2265.04,2256.45,,
Canada:,,
,
DJ S&P TSX Index,"13,551.99","13,712.62","13,680.29","13,841.35","13,791.85",,
London:,,
,
FTSE 100 Index,5862.94,5957.82,6000.07,5983.34,5997.38,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2953.63,3006.81,3012.70,2995.49,3003.19,,
Germany:,,
,
German Xetra Dax,7077.48,7184.27,7183.67,7193.68,7216.21,,
France:,,
,
CAC Index,4005.50,4072.62,4066.53,4036.59,4047.21,,
Switzerland:,,
,
Swiss Market Index,6479.15,6555.26,6553.67,6544.91,6584.40,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,398.75","31,838.16","32,487.61","32,794.84","32,902.52",,
JSE Africa Gold Index,2522.15,2546.93,2599.20,2594.83,2663.05,,
Italy:,,
,
FTSE Italia All Share Index,"22,652.49","23,122.47","23,231.70","23,038.95","23,201.82",,
Spain:,,
,
IBEX 35,"10,806.0","10,967.9","11,010.2","10,860.7","10,854.7",,
New Zealand:,,
,
NZ Top 50 Capital,3338.74,3348.46,3352.30,3349.89,3367.82,,
NZ Top 10 Capital,874.46,878.07,879.07,875.98,882.02,,
Tokyo:,,
,
Nikkei 225 Index,"10,237.92","10,274.50","10,457.36","10,431.36","10,543.52",,
Nikkei high,"10,265.96","10,299.38","10,479.75","10,450.46","10,580.36",,
Nikkei low,"10,182.57","10,245.75","10,366.96","10,409.84","10,524.13",,
Nikkei 300 Index,184.58,185.33,188.71,188.23,189.73,,
Topix Index,910.08,913.52,929.64,927.57,935.36,,
Nikkei vol (mil),1973,1982,2420,1996,2555,,
Hong Kong:,,
,
Hang Seng Index,"23,447.34","23,482.95","23,908.96",Closed,Closed,,
China:,,
,
Shanghai A Index,2921.82,2930.52,Closed,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,2069.73,2072.03,Closed,Closed,Closed,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,Closed,Closed,Closed,,
Singapore:,,
,
Straits Times Index,3179.72,3184.74,3211.12,Closed,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1519.94,Closed,1531.82,Closed,Closed,,
Indonesia:,,
,
JSX Composite Index,3409.17,3442.50,3480.83,Closed,3496.17,,
India:,,
,
BSE Sensex Index,"18,327.76","18,022.22","18,090.62","18,449.31","18,008.15",,
Thailand:,,
,
FTSE SET Index,964.10,959.69,977.84,980.60,984.78,,
Philippines:,,
,
Manila PSE Index,3881.47,3830.49,3891.07,3888.55,3872.35,,
World:,,
,
MSCI World,1308.08,1330.27,1332.8,1329.93,1331.65,,
Comm Research Index,341.49,342.24,343.87,341.07,338.99,,
Moody's Comm Index,6730.50,6794.89,6846.31,6905.84,6891.67,,
LME Index,4321.3,4397.5,4393.0,4386.9,4437.9,,
,
Source: Thomson Reuters,
