Weekly Roundup - Overseas Indices,,,,,,
 XAO 4803.3 at 14:41 24/12/2009  Report at 19:06 Thursday 24/12/2009 . Processed 10:24 Saturday 26/12/2009.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,21-Dec,22-Dec,23-Dec,24-Dec,25-Dec,
NEW YORK:,,,,,,
DJ Indust         ,10414.14,10464.93,10466.44,10520.1,closed   ,
DJ Opening    ,10330.1,10414.67,10464.32,10467.12,-          ,
Day's High      ,10458.05,10479.82,10492.06,10522.06,-        ,
Day's low         ,10329.8,10414.59,10437.8,10461.68,-        ,
Nasdaq Comp       ,2237.66,2252.67,2269.64,2285.69,-       ,
S&P 500 Index     ,1114.05,1118.02,1120.59,1126.48,-       ,
"""NYSE volume ('000)      ","1,012,516","95,548","78,591",n/a       ,-         ,""""
NYSE rises        ,2193,1900,2161,n/a     ,-       ,
NYSE falls        ,844,1114,847,n/a     ,-       ,
Transport         ,4165.62,4165.06,4183.53,4187.86,-       ,
NYSE Comp         ,7147.15,7184.18,7217.2,7255,-       ,
AMEX Index        ,1781.67,1789.33,1816.22,1824.38,-       ,
CANADA:,,,,,,
DJ S&P TSX Index     ,11554.72,11627.98,11658.7,11754.61,-          ,
LONDON:,,,,,,
FT 100 Index      ,5293.99,5328.66,5372.38,5402.41,-      ,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2926.05,2945.71,2957.48,closed  ,closed  ,
GERMANY:,,,,,,
German Xetra Dax  ,5930.53,5945.69,5957.44,closed  ,closed  ,
FRANCE:,,,,,,
CAC Index         ,3872.06,3898.38,3910.75,3912.73,closed  ,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6504.44,6582.9,6579.98,closed ,closed ,
JOHANNESBURG:,,,,,,
All Share Index   ,27495.42,27621.93,27607.92,27580.22,closed   ,
JSE Africa Gold Index        ,2448.8,2446.79,2434.49,2449.2,-       ,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,149.89","23,367.74","23,486.15",closed    ,closed     ,""""
SPAIN:,,,,,,
"""IBEX 35  ","11,830.80","11,890.80","11,967.50",closed  ,closed  ,""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3149.8,3179.18,3209.56,3205.2,closed  ,
NZ Top 10 Capital   ,851.41,860.9,869.99,866.39,-       ,
TOKYO:,,,,,,
Nikkei 225 Index  ,10183.47,10378.03,closed   ,10536.92,closed   ,
Nikkei high       ,10215.49,10378.03,-         ,10558.41,-         ,
Nikkei low        ,10183.47,10235.22,-        ,10413.37,-        ,
Nikkei 300 Index  ,180.97,183.52,-       ,186.01,-       ,
Topix Index       ,891.48,903.06,-       ,913.72,-       ,
Nikkei vol (mil)  ,  n/a   ,2.183,n/a     ,0.291, -      ,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,948.10","21,092.04","21,328.74",21517,closed     ,""""
 CHINA:,,,,,,
Shanghai A Index  ,3275.69,3199.58,3223.94,3307.46,closed   ,
KOREA:,,,,,,
Seoul KOSPI     ,1644.23,1655.54,1661.35,1682.34,closed ,
 INDIA:,,,,,,
BSE Sensex Index   ,16601.2,16692,17231.11,17360.61,closed     ,
SINGAPORE:,,,,,,
Straits Times Index  ,2786.81,2823.82,2841.56,2837.7,closed ,
MALAYSIA:,,,,,,
KL Composite Index   ,1255.66,1260.42,1260.53,1263.94,closed ,
INDONESIA:,,,,,,
JSX Composite Index      ,2431.39,2467.64,2474.88,closed ,closed  ,
THAILAND:,,,,,,
Bangkok SET Index         ,715.17,724.4,729.8,727.21,closed  ,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3020.56,3016.16,3024.33,closed ,closed ,
TAIWAN:,,,,,,
TAIEX Index   ,7787.27,7856,7901.5,7963.54,closed  ,
WORLD:,,,,,,
MSCI World        ,1155.78,1159.32,1166.32,1172.16,1171.6,
Comm Research Index    ,274.78,274.89,279.36,280.92,n/a    ,
Moody's Comm Index   ,4583.28,4576.06,4564.04, n/a         ,n/a    ,
LME Index        ,3272.4,3245.9,3305.4,3323.1,closed ,
