Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-16T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,,
New York:,,
,
DJ Indust,"11,637.45","11,671.88","11,755.44","11,731.90","11,787.38",,
DJ Opening,"11,672.34","11,638.51","11,673.62","11,753.70","11,732.13",,
Day's High,"11,677.33","11,704.12","11,782.23","11,757.25","11,794.15",,
Day's low,"11,573.87","11,635.48","11,673.62","11,700.53","11,698.83",,
Nasdaq Comp,2707.80,2716.83,2737.33,2735.29,2755.30,,
S&P 500 Index,1269.75,1274.48,1285.96,1283.76,1293.24,,
Wilshire 5000,"13,424.38","13,477.81","13,594.45","13,573.90","13,672.74",,
NYSE volume ('000),"95,337","94,026","96,058","92,813","1,057,921",,
NYSE rises,1543,1756,2158,1363,1712,,
NYSE falls,1458,1213,854,1622,1255,,
Transport,5208.18,5172.14,5212.60,5229.47,5228.30,,
NYSE Comp,7966.09,8018.68,8122.98,8119.43,8174.12,,
AMEX Index,2158.50,2187.87,2203.38,2167.77,2185.52,,
Canada:,,
,
DJ S&P TSX Index,"13,245.12","13,401.05","13,460.21","13,401.48","13,464.06",,
London:,,
,
FTSE 100 Index,5956.30,6014.03,6050.72,6023.88,6002.07,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2760.88,2796.60,2879.11,2915.62,2920.40,,
Germany:,,
,
German Xetra Dax,6857.06,6941.57,7068.78,7075.11,7075.70,,
France:,,
,
CAC Index,3802.03,3861.92,3945.07,3974.83,3983.28,,
Switzerland:,,
,
Swiss Market Index,6446.32,6534.84,6613.75,6562.47,6556.09,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,698.49","32,162.15","32,483.94","32,632.15","32,661.06",,
JSE Africa Gold Index,2543.34,2584.80,2580.36,2568.71,2557.55,,
Italy:,,
,
FTSE Italia All Share Index,"20,827.40","21,108.60","21,821.12","22,011.27","22,145.06",,
Spain:,,
,
IBEX 35,9437.8,9582.1,"10,101.2","10,370.8","10,385.1",,
New Zealand:,,
,
NZ Top 50 Capital,3324.07,3329.76,3334.59,3373.71,3369.89,,
NZ Top 10 Capital,867.22,870.27,873.30,885.84,883.80,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"10,510.68","10,512.80","10,589.76","10,499.04",,
Nikkei high,–,"10,538.39","10,576.51","10,620.57","10,579.97",,
Nikkei low,–,"10,476.29","10,502.96","10,565.28","10,497.26",,
Nikkei 300 Index,–,187.74,188.37,190.12,188.63,,
Topix Index,–,926.94,929.64,937.74,930.31,,
Nikkei vol (mil),–,2112,2510,2261,2459,,
Hong Kong:,,
,
Hang Seng Index,"23,527.26","23,760.34","24,125.61","24,238.98","24,283.23",,
China:,,
,
Shanghai A Index,2923.02,2935.95,2953.98,2960.71,2922.50,,
Korea:,,
,
Seoul KOSPI,2080.81,2088.32,2094.95,2089.48,2108.17,,
Taiwan:,,
,
TAIEX Index,8817.88,8931.36,8965.00,8975.58,8972.51,,
Singapore:,,
,
Straits Times Index,3229.27,3241.49,3244.94,3255.87,3245.96,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1563.52,1562.94,1566.49,1571.56,1569.89,,
Indonesia:,,
,
JSX Composite Index,3478.55,3455.13,3554.77,3564.94,3569.14,,
India:,,
,
BSE Sensex Index,"19,224.12","19,196.34","19,534.10","19,182.82","18,860.44",,
Thailand:,,
,
FTSE SET Index,1018.03,1013.39,1019.51,1035.08,1032.26,,
Philippines:,,
,
Manila PSE Index,4112.58,4032.37,4037.23,4070.11,4132.04,,
World:,,
,
MSCI World,1275.61,1282.23,1298.46,1305.34,1309.00,,
Comm Research Index,326.89,331.50,334.93,333.04,333.10,,
Moody's Comm Index,6494.95,6495.46,6542.08,6605.92,6624.08,,
LME Index,4120.6,4188.7,4268.1,4234.7,4247.1,,
,
Source: Thomson Reuters,
