Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-04-09T20:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 2,Apr 3,Apr 4,Apr 5,Apr 6,,
New York:,,
,
DJ Indust,"13,264.49","13,199.55","13,074.75","13,060.14",Closed,,
DJ Opening,"13,211.36","13,258.96","13,198.19","13,067.18",–,,
Day's High,"13,297.11","13,265.36","13,198.19","13,088.11",–,,
Day's low,"13,153.69","13,131.21","13,020.86","13,012.46",–,,
Nasdaq Comp,3119.70,3113.57,3068.09,3080.50,–,,
S&P 500 Index,"1,419.04",1413.38,1398.96,1398.08,–,,
Wilshire 5000,"14,852.01","14,819.71","14,624.38","14,642.81",–,,
NYSE volume ('000),"76,250","81,580","83,129","71,844",–,,
NYSE rises,2243,1051,590,1275,–,,
NYSE falls,745,1934,2401,1686,–,,
Transport,5305.50,5294.83,5276.51,5284.33,–,,
NYSE Comp,8280.83,8216.54,8106.79,8081.35,–,,
AMEX Index,2461.51,2432.33,2385.12,2378.92,–,,
Canada:,,
,
DJ S&P TSX Index,"12,507.06","12,323.61","12,178.66","12,103.11",Closed,,
London:,,
,
FTSE 100 Index,5874.89,5838.34,5703.77,5723.67,Closed,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2501.18,2458.98,2398.46,2392.54,Closed,,
Germany:,,
,
German Xetra Dax,7056.65,6982.28,6784.06,6775.26,Closed,,
France:,,
,
CAC Index,3462.91,3406.78,3313.47,3319.81,Closed,,
Switzerland:,,
,
Swiss Market Index,6299.38,6258.66,6166.79,6163.49,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,974.63","34,192.19","33,404.32","33,732.20",Closed,,
JSE Africa Gold Index,2435.77,2406.62,2298.10,2312.14,–,,
Italy:,,
,
FTSE Italia All Share Index,"16,963.49","16,665.66","16,260.14","16,238.83",Closed,,
Spain:,,
,
IBEX 35,8042.8,7824.5,7660.7,7660.5,Closed,,
New Zealand:,,
,
NZ Top 50 Capital,3493.62,3473.09,3480.42,3467.98,Closed,,
NZ Top 10 Capital,888.39,882.00,881.76,878.23,–,,
Tokyo:,,
,
Nikkei 225 Index,"10,109.87","10,050.39",9819.99,9767.61,9688.45,,
Nikkei high,"10,190.35","10,084.07","10,059.19",9806.40,9739.59,,
Nikkei low,"10,109.87","10,040.99",9819.99,9692.70,9659.16,,
Nikkei 300 Index,172.87,171.86,168.69,168.12,166.68,,
Topix Index,856.05,851.02,835.36,832.57,825.71,,
Nikkei vol (mil),2163,1681,n/a,2217,1646,,
Hong Kong:,,
,
Hang Seng Index,"20,522.26","20,790.98",n/a,"20,593.00","20,593.00",,
China:,,
,
Shanghai A Index,Closed,Closed,Closed,2411.34,2415.84,,
Korea:,,
,
Seoul KOSPI,2029.29,2049.28,2018.61,2028.77,2029.03,,
Taiwan:,,
,
TAIEX Index,7862.90,7760.85,Closed,7639.82,7706.26,,
Singapore:,,
,
Straits Times Index,3016.07,3014.98,2985.04,2986.20,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1603.78,1606.63,1599.27,1593.44,1598.87,,
Indonesia:,,
,
JSX Composite Index,4166.07,4215.44,4134.04,4166.37,Closed,,
India:,,
,
BSE Sensex Index,"17,478.15","17,597.42","17,486.02",Closed,Closed,,
Thailand:,,
,
FTSE SET Index,1199.09,1211.07,1198.09,1182.41,Closed,,
Philippines:,,
,
Manila PSE Index,5110.86,5056.48,5038.92,Closed,Closed,,
World:,,
,
MSCI World,1324.26,1316.88,1291.81,1290.09,1289.03,,
Comm Research Index,312.50,311.00,305.21,306.74,306.74,,
Moody's Comm Index,6380.45,6407.94,6407.94,6288.07,Closed,,
LME Index,3642.4,3637.8,3539.5,3567.3,Closed,,
,
Source: Thomson Reuters,
