Weekly Roundup - Overseas Indices,,,,,,
XAO 4532.5 at 19:06  5/2/2010 Report at 19:26 Friday  5/2/2010 . Processed 20:01 Sunday 7/2/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,
NEW YORK:,,,,,,
"""DJ Indust         ","10,185.53","10,296.85","10,270.55","10,002.18","10,012.23",""""
"""DJ Opening    ","10,068.99","10,186.13","10,291.73","10,273.12","10,003.69",""""
"""Day's High      ","10,190.89","10,314.84","10,307.20","10,273.12","10,031.96",""""
"""Day's low         ","10,068.91","10,173.59","10,231.93",9998.03,9835.09,""""
Nasdaq Comp       ,2171.2,2190.06,2190.91,2125.43,2141.12,
S&P 500 Index     ,1089.19,1103.32,1097.28,1063.11,1066.19,
"""Wilshire 5000    ","11,255.44","11,391.28","11,330.55","10,971.69","11,005.56",""""
"""NYSE volume ('000)      ","1,037,323","1,179,329","1,060,197","1,483,203","1,562,194",""""
NYSE rises        ,2411,2342,1162,272,1326,
NYSE falls        ,642,695,1856,2842,1740,
Transport         ,3962.24,3993.12,3937.81,3813.91,3822.2,
NYSE Comp         ,7008.23,7101.44,7042.62,6787.86,6782.75,
AMEX Index        ,1813.39,1836.92,1820.32,1771.92,1769.58,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,317.55","11,408.34","11,390.46","11,128.76","11,223.12",""""
LONDON:,,,,,,
FT 100 Index      ,5247.41,5283.31,5253.15,5139.31,5060.92,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2793.29,2830.01,2804.61,2707.45,2631.64,
GERMANY:,,,,,,
German Xetra Dax  ,5654.48,5709.66,5672.09,5533.24,5434.34,
FRANCE:,,,,,,
CAC Index         ,3762.01,3812.13,3793.47,3689.25,3563.76,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6496.33,6550.12,6553.8,6396.51,6264.33,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,487.48","26,812.25","26,926.46","26,318.36","25,793.06",""""
JSE Africa Gold Index        ,2194.53,2242.29,2231.02,2116.46,2158.43,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","22,545.91","22,942.35","22,696.96","21,938.10","21,335.08",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,995.20","11,140.90","10,888.40","10,241.70","10,103.30",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3150.97,3147.37,3135.11,3148.94,3104.99,
NZ Top 10 Capital   ,844.9,845.54,841.99,847.63,834.59,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,205.02","10,371.09","10,404.33","10,355.98","10,057.09",""""
"""Nikkei high       ","10,224.83","10,396.48","10,436.52","10,438.41","10,166.30",""""
"""Nikkei low        ","10,129.91","10,287.74","10,356.03","10,279.57","10,036.33",""""
Nikkei 300 Index  ,183.19,186.21,186.56,185.48,181.55,
Topix Index       ,898.61,912.82,915.68,911.09,891.78,
Nikkei vol (mil)  ,2156,1876,2064,2189,2293,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,243.75","20,272.18","20,722.08","20,341.64","19,665.08",""""
 CHINA:,,,,,,
Shanghai A Index  ,3084.56,3077.58,3150,3140.98,3082.35,
KOREA:,,,,,,
Seoul KOSPI     ,1606.44,1595.81,1615.02,1616.42,1567.12,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,356.03","16,163.44","16,496.05","16,224.95","15,790.93",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2736.17,2720.87,2764.84,2744.98,2683.56,
MALAYSIA:,,,,,,
KL Composite Index   ,1259.16,1263.76,1267.15,1265.03,1247.9,
INDONESIA:,,,,,,
JSX Composite Index      ,2587.55,2580.25,2604.55,2593.22,2518.98,
THAILAND:,,,,,,
Bangkok SET Index         ,697.61,694.07,707.65,702.52,691.41,
PHILIPPINES:,,,,,,
Manila PSE Index         ,2883.21,2864.18,2884.81,2914.87,2855.64,
TAIWAN:,,,,,,
TAIEX Index   ,7524.67,7429.61,7547.98,7542.04,7217.83,
WORLD:,,,,,,
MSCI World        ,1129.3,1142.3,1138,1110.1,1089.7,
Comm Research Index    ,267.98,273.19,270.58,263.67,258.55,
Moody's Comm Index   ,4516.77,4488.01,4539.48,4506.97,4452.52,
LME Index        ,3127.5,3158,3078.1,2991.3,2915.5,
