Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-17T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,,
New York:,,
,
DJ Indust,"12,381.11","12,263.58","12,270.99","12,285.15","12,341.83",,
DJ Opening,"12,380.43","12,381.19","12,263.65","12,270.24","12,285.45",,
Day's High,"12,444.00","12,381.19","12,335.10","12,305.58","12,369.27",,
Day's low,"12,352.88","12,233.00","12,224.45","12,163.86","12,272.58",,
Nasdaq Comp,2771.51,2744.79,2761.52,2760.22,2764.65,,
S&P 500 Index,1324.46,1314.16,1314.41,1314.52,1319.68,,
Wilshire 5000,"14,004.06","13,887.19","13,900.29","13,903.29","13,964.91",,
NYSE volume ('000),"81,697","94,635","89,629","92,563","1,045,516",,
NYSE rises,911,756,1535,1600,2044,,
NYSE falls,2089,2225,1374,1358,931,,
Transport,5223.27,5239.48,5232.38,5250.04,5284.74,,
NYSE Comp,8445.77,8360.46,8367.31,8374.16,8400.31,,
AMEX Index,2402.51,2374.10,2389.97,2402.00,2408.68,,
Canada:,,
,
DJ S&P TSX Index,"13,996.86","13,801.40","13,833.64","13,821.80","13,799.12",,
London:,,
,
FTSE 100 Index,6053.44,5964.47,6010.44,5963.80,5996.01,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2974.58,2932.33,2949.98,2917.72,2919.05,,
Germany:,,
,
German Xetra Dax,7204.86,7102.91,7177.97,7146.56,7178.29,,
France:,,
,
CAC Index,4038.70,3976.60,4006.23,3970.39,3974.48,,
Switzerland:,,
,
Swiss Market Index,6440.11,6351.60,6364.30,6357.03,6400.26,,
Johannesburg:,,
,
FTSE JSE All Share Index,"32,814.43","32,239.87","32,353.79","32,418.33","32,227.66",,
JSE Africa Gold Index,2800.52,2771.02,2797.18,2828.89,2811.09,,
Italy:,,
,
FTSE Italia All Share Index,"23,065.75","22,712.89","22,797.99","22,556.15","22,545.97",,
Spain:,,
,
IBEX 35,"10,878.3","10,784.5","10,786.0","10,622.7","10,558.6",,
New Zealand:,,
,
NZ Top 50 Capital,3461.32,3451.34,3457.63,3454.48,3452.69,,
NZ Top 10 Capital,888.73,885.13,886.91,885.52,884.73,,
Tokyo:,,
,
Nikkei 225 Index,9719.70,9555.26,9641.18,9653.92,9591.52,,
Nikkei high,9775.60,9603.64,9655.83,9676.97,9651.96,,
Nikkei low,9700.75,9513.27,9516.50,9553.75,9577.96,,
Nikkei 300 Index,173.41,170.66,171.91,172.05,170.91,,
Topix Index,852.34,838.51,844.59,846.72,841.29,,
Nikkei vol (mil),2033,2231,2026,2215,2094,,
Hong Kong:,,
,
Hang Seng Index,"24,303.07","23,976.37","24,135.03","24,014.00","24,008.07",,
China:,,
,
Shanghai A Index,3165.13,3163.68,3194.12,3185.92,3194.30,,
Korea:,,
,
Seoul KOSPI,2122.39,2089.40,2121.92,2141.06,2140.50,,
Taiwan:,,
,
TAIEX Index,8880.27,8732.59,8780.20,8802.73,8718.12,,
Singapore:,,
,
Straits Times Index,3160.44,3138.00,3172.08,3158.92,3153.30,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1544.00,1525.92,1535.59,1525.80,1521.94,,
Indonesia:,,
,
JSX Composite Index,3745.84,3719.23,3734.41,3707.98,3730.51,,
India:,,
,
BSE Sensex Index,"19,262.54",Closed,"19,696.86",Closed,"19,386.82",,
Thailand:,,
,
FTSE SET Index,1076.33,1084.91,Closed,Closed,Closed,,
Philippines:,,
,
Manila PSE Index,4227.99,4199.48,4203.68,4234.96,4251.64,,
World:,,
,
MSCI World,1348.65,1333.85,1338.75,1336.54,1338.04,,
Comm Research Index,366.16,359.20,359.71,360.81,362.93,,
Moody's Comm Index,7572.87,7561.54,7492.11,7454.67,7443.77,,
LME Index,4461.0,4355.6,4305.0,4270.9,4301.8,,
,
Source: Thomson Reuters,
