Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-12-05T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,,
New York:,,
,
DJ Indust,"17,719.92","17,888.35","17,729.68","17,477.67","17,847.63",,
DJ Opening,"17,802.84","17,719.72","17,883.14","17,741.57","17,482.68",,
Day's High,"17,837.24","17,895.50","17,901.58","17,780.59","17,866.47",,
Day's low,"17,719.79","17,719.72","17,708.20","17,425.56","17,482.68",,
Nasdaq Comp,5108.67,5156.31,5123.22,5037.53,5142.27,,
S&P 500 Index,2080.41,2102.63,2079.51,2049.62,2091.69,,
Wilshire 5000,"21,658.55","21,866.66","21,627.38","21,298.13","21,678.17",,
NYSE volume ('000),388391,1349098,867905,954247,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8101.45,8204.27,8030.43,7885.82,7954.83,,
NYSE Comp,"10,409.58","10,519.59","10,389.20","10,257.38","10,408.86",,
NYSE AMEX Comp Idx,2254.29,2270.58,2237.49,2218.01,2221.73,,
Canada:,,
,
DJ S&P TSX Index,"13,469.83","13,636.06","13,463.82","13,324.67","13,358.77",,
London:,,
,
FTSE 100 Index,6356.09,6395.65,6420.93,6275.00,6238.29,,
Europe:,,
,
EURO STOXX 50 Index,3506.45,3479.64,3468.66,3343.34,3330.75,,
Germany:,,
,
German Xetra Dax,"11,382.23","11,261.24","11,190.02","10,789.24","10,752.10",,
France:,,
,
CAC Index,4957.60,4914.53,4905.76,4730.21,4714.79,,
Switzerland:,,
,
Swiss Market Index,8993.10,8993.24,9016.56,8852.14,8802.89,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,607.83","51,535.82","51,159.11","50,424.89","49,284.49",,
JSE Africa Gold Index,891.34,897.53,895.20,898.06,905.13,,
Italy:,,
,
FTSE Italia All Share Index,"24,460.17","24,347.14","24,326.49","23,762.78","23,793.23",,
Spain:,,
,
IBEX 35,"10,386.9","10,379.2","10,342.0","10,092.9","10,078.7",,
New Zealand:,,
,
NZ Top 50 Capital,6100.15,6150.68,6143.32,6125.67,6094.82,,
NZ Top 10 Capital,1219.15,1232.35,1224.00,1217.78,1210.45,,
Tokyo:,,
,
Nikkei 225 Index,"19,747.47","20,012.40","19,938.13","19,939.90","19,504.48",,
Nikkei high,"19,867.95","20,012.40","20,002.12","19,967.88","19,660.90",,
Nikkei low,"19,707.67","19,797.55","19,926.22","19,862.74","19,444.54",,
Nikkei 300 Index,317.88,322.42,322.53,322.77,316.74,,
Topix Index,1580.25,1601.95,1602.26,1602.94,1574.02,,
Hong Kong:,,
,
Hang Seng Index,"21,996.42","22,381.35","22,479.69","22,417.01","22,235.89",,
China:,,
,
Shanghai A Index,3607.39,3618.81,3703.48,3753.72,3690.90,,
Korea:,,
,
Seoul KOSPI,1991.97,2023.93,2009.29,1994.07,1974.40,,
Taiwan:,,
,
TAIEX Index,8320.61,8463.30,8457.40,8456.06,8398.60,,
Singapore:,,
,
Straits Times Index,2855.94,2870.26,2883.64,2883.89,2879.05,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1672.16,1682.37,1676.77,1673.92,1667.87,,
Indonesia:,,
,
JSX Composite Index,4446.46,4557.67,4545.86,4537.38,4508.45,,
India:,,
,
BSE Sensex Index,"26,145.67","26,169.41","26,117.85","25,886.62","25,638.11",,
Thailand:,,
,
FTSE SET Index,1359.70,1357.01,1339.45,1340.62,1333.57,,
Philippines:,,
,
Manila PSE Index,Closed,7060.60,7047.08,6994.10,6921.93,,
World:,,
,
MSCI World,1694.40,1710.12,1696.23,1678.23,1694.78,,
Comm Research Index,183.05,184.91,181.36,183.82,183.76,,
Moody's Comm Index,4715.44,4712.68,4717.88,4720.70,4720.70,,
LME Index,2145.1,2167.1,2151.4,2137.8,2171.7,,
,
Source: Thomson Reuters,
