Weekly Roundup - Overseas Indices,,,,,,
 XAO 4462.1 at 16:37 20/8/2010  Report at 19:05 Friday 20/8/2010!. Processed 18:15 Sunday 22/8/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,
NEW YORK:,,,,,,
"""DJ Indust","10,302.01","10,405.85","10,415.54","10,271.21","10,213.62",""""
"""DJ Opening","10,303.07","10,297.63","10,398.59","10,411.15","10,270.98",""""
"""Day's High","10,333.12","10,480.44","10,472.30","10,411.15","10,270.98",""""
"""Day's low","10,209.53","10,297.47","10,330.02","10,216.19","10,147.24",""""
Nasdaq Comp,2181.87,2209.44,2215.7,2178.95,2179.76,
S&P 500 Index,1079.38,1092.54,1094.16,1075.63,1071.69,
"""Wilshire 5000","11,216.10","11,363.56","11,384.52","11,184.09","11,151.43",""""
"""NYSE volume ('000)","78,707","97,984","92,210","1,072,898","1,123,434",""""
NYSE rises,1880,2388,1760,551,1230,
NYSE falls,1090,638,1234,2452,1721,
Transport,4205.32,4300.24,4320.05,4216.82,4209.28,
NYSE Comp,6871.58,6959.79,6968.08,6850.45,6813.15,
AMEX Index,1910.88,1927.76,1914.05,1875.94,1864.6,
CANADA:,,,,,,
"""DJ S&P TSX Index","11,552.76","11,728.64","11,781.08","11,710.18","11,722.07",""""
LONDON:,,,,,,
FTSE 100 Index,5276.1,5350.55,5302.87,5211.29,5195.28,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2698.29,2737.69,2728.66,2675.02,2643.98,
GERMANY:,,,,,,
German Xetra Dax,6110.57,6206.4,6186.31,6075.13,6005.16,
FRANCE:,,,,,,
CAC Index,3597.6,3663.13,3647.93,3572.4,3526.12,
SWITZERLAND:,,,,,,
Swiss Market Index,6285.66,6359.74,6362.88,6281.35,6185.82,
 JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index","27,583.09","27,680.73","27,287.09","27,148.75","26,989.63",""""
JSE Africa Gold Index,2485.23,2485.88,2457.61,2483.71,2464.88,
ITALY:,,,,,,
"""FTSE Italia All Share Index","20,915.83","21,174.28","21,040.80","20,637.06","20,398.61",""""
SPAIN:,,,,,,
"""IBEX 35","10,258.30","10,369.50","10,391.00","10,238.00","10,094.30",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3023.53,3006.55,3018.18,3029.79,3000.4,
NZ Top 10 Capital,799.18,791.33,797.24,800.96,789.81,
TOKYO:,,,,,,
Nikkei 225 Index,9196.67,9161.68,9240.54,9362.68,9179.38,
Nikkei high,9210.97,9188.48,9280.59,9362.68,9287.5,
Nikkei low,9095.94,9084.24,9153.42,9242.84,9169.17,
Nikkei 300 Index,168.78,168.36,170.16,171.97,169.01,
Topix Index,828.63,826.78,835.23,843.98,829.59,
Nikkei vol (mil),1321,1290,1588,1655,1557,
HONG KONG:,,,,,,
"""Hang Seng Index","21,112.12","21,137.43","21,022.73","21,072.46","20,981.82",""""
 CHINA:,,,,,,
Shanghai A Index,2789.26,2799.97,2794.11,2816.94,2768.99,
KOREA:,,,,,,
Seoul KOSPI,1743.31,1755.03,1761.99,1779.64,1775.54,
TAIWAN:,,,,,,
TAIEX Index,7941.22,7931.09,7924.1,7928.94,7927.31,
SINGAPORE:,,,,,,
Straits Times Index,2933.51,2923.36,2919.37,2946.77,2936.48,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1370.58,1378.47,1385.51,1392.56,1395.02,
INDONESIA:,,,,,,
JSX Composite Index,3052.6,Closed,3072.09,3105.35,3117.72,
 INDIA:,,,,,,
"""BSE Sensex Index","18,050.78","18,048.85","18,257.12","18,454.94","18,401.82",""""
THAILAND:,,,,,,
FTSE SET Index,860.55,865.78,880.02,891.23,893.92,
PHILIPPINES:,,,,,,
Manila PSE Index,3479.67,3502.25,3534.8,3560.39,3593.6,
WORLD:,,,,,,
MSCI World,1106.21,1118.89,1119.66,1106.91,1093.78,
Comm Research Index,267.98,270.07,269.78,268.13,266.89,
Moody's Comm Index,5254.38,5235.79,5274.26,5282.2,5294.21,
LME Index,3342.9,3398.5,3386.4,3345.8,3312.1,
