Weekly Roundup - Overseas Indices,,,,,,
XAO 4532.5 at 19:06  19/3/2010 Report at 19:26 Friday  19/3/2010 . Processed 18:38 Sunday 21/3/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,
NEW YORK:,,,,,,
"""DJ Indust         ","10,642.15","10,685.98","10,733.67","10,779.17","10,741.98",""""
"""DJ Opening    ","10,623.41","10,642.53","10,686.36","10,733.44","10,780.00",""""
"""Day's High      ","10,644.19","10,693.99","10,767.98","10,784.00","10,819.90",""""
"""Day's low         ","10,570.51","10,621.90","10,686.36","10,728.15","10,694.22",""""
Nasdaq Comp       ,2362.21,2378.01,2389.09,2391.28,2374.41,
S&P 500 Index     ,1150.51,1159.46,1166.21,1165.83,1159.9,
"""Wilshire 5000    ","11,979.80","12,076.31","12,148.80","12,134.22","12,058.70",""""
"""NYSE volume ('000)      ","92,550","1,017,926","1,020,366","92,335","1,978,339",""""
NYSE rises        ,1263,2206,2161,1281,901,
NYSE falls        ,1733,805,886,1737,2136,
Transport         ,4331.26,4374.12,4378.41,4422.5,4373.73,
NYSE Comp         ,7350.96,7426.7,7474.13,7443.57,7386.85,
AMEX Index        ,1881.87,1900.08,1907.11,1907.52,1876.13,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","12,008.80","12,089.40","12,100.66","12,040.01","11,947.98",""""
LONDON:,,,,,,
FT 100 Index      ,5593.85,5620.43,5644.63,5642.62,5650.12,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2870.55,2905.93,2931.31,2913.74,2897.95,
GERMANY:,,,,,,
German Xetra Dax  ,5903.56,5970.99,6024.28,6012.31,5982.43,
FRANCE:,,,,,,
CAC Index         ,3890.91,3938.95,3957.89,3938.18,3925.44,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6825.1,6874.43,6892.01,6897.74,6880.76,
JOHANNESBURG:,,,,,,
"""All Share Index   ","28,032.87","28,252.59","28,530.94","28,806.14","28,544.15",""""
JSE Africa Gold Index        ,2187.28,2219.31,2230.41,2243.73,2231.09,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","22,870.39","23,112.38","23,361.43","23,246.51","23,179.20",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,957.80","11,059.30","11,166.80","11,073.50","10,990.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3231.15,3207.8,3200.96,3220.69,3230.4,
NZ Top 10 Capital   ,854.36,845.24,843.64,848.53,852.19,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,751.98","10,721.71","10,846.98","10,744.03","10,824.72",""""
"""Nikkei high       ","10,808.84","17,776.52","10,855.22","10,845.73","10,826.76",""""
"""Nikkei low        ","10,708.97","10,716.20","10,761.89","10,738.84","10,775.57",""""
Nikkei 300 Index  ,191.28,190.98,192.97,191.52,193.22,
Topix Index       ,939.39,938.1,947.43,940.79,948.93,
Nikkei vol (mil)  ,1703,1677,1994,1958,1752,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,079.10","21,022.93","21,384.49","21,330.67","21,370.82",""""
 CHINA:,,,,,,
Shanghai A Index  ,3121.51,3138.13,3198.6,3193.96,3216.68,
KOREA:,,,,,,
Seoul KOSPI     ,1649.5,1648.01,1682.86,1675.17,1686.11,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,164.99","17,383.18","17,490.08","17,519.26","17,578.23",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2874.33,2896.43,2919.3,2913.94,2915.7,
MALAYSIA:,,,,,,
KL Composite Index   ,1299.67,1298.86,1301.95,1301.94,1296.6,
INDONESIA:,,,,,,
JSX Composite Index      ,2669.61,2669.61,2756.26,2737.24,2742.97,
THAILAND:,,,,,,
Bangkok SET Index         ,734.83,752.2,765.54,759.02,774.59,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3076.79,3085.13,3088.05,3100.95,3097.23,
TAIWAN:,,,,,,
TAIEX Index   ,7634.92,7695.63,7847.84,7886.34,7897.91,
WORLD:,,,,,,
MSCI World        ,1182,1193.7,1202.5,1194.4,1190.3,
Comm Research Index    ,270.79,273.54,276.3,275.68,272.63,
Moody's Comm Index   ,4773.79,4749.42,4764.67,4794.54,4812.67,
LME Index        ,3394,3439.6,3497.2,3484.9,3452.4,
