Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Wednesday at 2011-01-05T16:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 27,Dec 28,Dec 29,Dec 30,Dec 31,,
New York:,,
,
DJ Indust,"11,555.03","11,575.54","11,585.38","11,569.71",11577.51,,
DJ Opening,"11,572.81","11,554.80","11,572.74","11,585.30",11569.33,,
Day's High,"11,573.19","11,591.13","11,625.00","11,594.38",11597.41,,
Day's low,"11,518.44","11,541.14","11,572.66","11,551.93",11530.32,,
Nasdaq Comp,2667.27,2662.88,2666.93,2662.98,2652.87,,
S&P 500 Index,1257.54,1258.51,1259.78,1257.88,1257.64,,
Wilshire 5000,"13,294.65","13,294.79","13,317.85","13,303.39",13290.03,,
NYSE volume ('000),"46,677","55,750","51,867","50,660","59,170",,
NYSE rises,1636,1440,1922,1492,1583,,
NYSE falls,1306,1543,1091,1447,1338,,
Transport,5095.69,5090.43,5104.46,5108.60,5106.75,,
NYSE Comp,7920.94,7931.67,7961.48,7951.91,7964.02,,
AMEX Index,2175.3,2190.83,2201.03,2195.45,2208.38,,
Canada:,,
,
DJ S&P TSX Index,Closed,Closed,"13,449.17","13,434.41",13443.22,,
London:,,
,
FTSE 100 Index,Closed,Closed,5996.36,5971.01,5899.94,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2826.51,2824.30,2841.23,2807.04,2792.82,,
Germany:,,
,
German Xetra Dax,6970.73,6972.10,6995.47,6914.19,Closed,,
France:,,
,
CAC Index,3862.19,3858.72,3890.65,3850.76,3804.78,,
Switzerland:,,
,
Swiss Market Index,6568.21,6569.06,6566.65,6436.04,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"32,012.31","32,123.40","32,210.04","32,118.89",,
JSE Africa Gold Index,–,2672.68,2701.50,2690.41,2690.62,,
Italy:,,
,
FTSE Italia All Share Index,"21,238.43","21,184.51","21,218.83","20,935.64",Closed,,
Spain:,,
,
IBEX 35,9899.0,9903.5,9981.5,9859.1,Closed,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,Closed,3325.62,3334.27,3309.03,,
NZ Top 10 Capital,–,–,865.76,869.39,859.51,,
Tokyo:,,
,
Nikkei 225 Index,"10,355.99","10,292.63","10,344.54","10,228.92",Closed,,
Nikkei high,"10,376.91","10,340.84","10,344.54","10,315.47",–,,
Nikkei low,"10,292.84","10,292.63","10,276.61","10,209.93",–,,
Nikkei 300 Index,183.95,183.34,184.30,182.36,–,,
Topix Index,904.68,902.83,908.01,898.80,–,,
Nikkei vol (mil),n/a,1083,1309,1468,Closed,,
Hong Kong:,,
,
Hang Seng Index,Closed,"22,621.73","22,969.30","22,999.34",23035.45,,
China:,,
,
Shanghai A Index,2912.47,2861.68,2881.10,2889.51,2940.24,,
Korea:,,
,
Seoul KOSPI,2022.19,2033.32,2043.49,2051.00,Closed,,
Taiwan:,,
,
TAIEX Index,8892.31,8870.76,8866.35,8907.91,8972.50,,
Singapore:,,
,
Straits Times Index,3159.36,3183.70,3207.91,3212.46,3190.04,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1511.72,1517.44,1524.34,1518.91,Closed,,
Indonesia:,,
,
JSX Composite Index,3625.27,3659.99,3699.22,3703.51,Closed,,
India:,,
,
BSE Sensex Index,"20,028.93","20,025.42","20,256.03","20,389.07","20,509.09",,
Thailand:,,
,
FTSE SET Index,1019.46,1028.33,1034.59,1032.76,Closed,,
Philippines:,,
,
Manila PSE Index,Closed,4163.99,4199.31,4201.14,Closed,,
World:,,
,
MSCI World,1272.94,1275.54,1279.09,1276.69,1280.07,,
Comm Research Index,329.12,331.45,330.73,327.13,332.80,,
Moody's Comm Index,6462.83,6463.16,6463.82,6486.45,6511.95,,
LME Index,Closed,Closed,4134.1,4164.2,4213.0,,
,
Source: Thomson Reuters,
