Weekly Roundup - Overseas Indices,,,,,,
 XAO 4480.9 at 16:36 13/8/2010  Report at 19:06 Friday 13/8/2010!. Processed 15:59 Sunday 15/8/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,
NEW YORK:,,,,,,
"""DJ Indust","10,698.75","10,644.25","10,378.83","10,319.95","10,303.15",""""
"""DJ Opening","10,654.62","10,696.63","10,631.82","10,361.58","10,320.33",""""
"""Day's High","10,719.94","10,700.71","10,631.90","10,361.65","10,354.92",""""
"""Day's low","10,649.40","10,551.62","10,367.33","10,268.71","10,285.44",""""
Nasdaq Comp,2305.69,2277.17,2208.63,2190.27,2173.48,
S&P 500 Index,1127.79,1121.06,1089.47,1083.61,1079.25,
"""Wilshire 5000","11,754.55","11,659.86","11,315.37","11,256.91","11,203.52",""""
"""NYSE volume ('000)","78,949","98,005","1,162,764","1,006,309","87,005",""""
NYSE rises,2199,814,442,1292,1367,
NYSE falls,830,2218,2622,1713,1637,
Transport,4516.35,4452.13,4262.24,4236.96,4201.81,
NYSE Comp,7188.3,7139.75,6902.71,6881.94,6861.04,
AMEX Index,1944.53,1929.96,1882.99,1890.95,1896.92,
CANADA:,,,,,,
"""DJ S&P TSX Index","11,863.56","11,838.29","11,582.21","11,523.60","11,528.25",""""
LONDON:,,,,,,
FTSE 100 Index,5410.52,5376.41,5245.21,5266.06,5275.44,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2827.27,2800.02,2724.16,2720.85,2708.73,
GERMANY:,,,,,,
German Xetra Dax,6351.6,6286.25,6154.07,6135.17,6110.41,
FRANCE:,,,,,,
CAC Index,3777.37,3730.58,3628.29,3621.07,3610.91,
SWITZERLAND:,,,,,,
Swiss Market Index,6391.74,6395.02,6265.84,6279.35,6294.34,
JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index",Closed,"27,917.70","27,461.76","27,467.15","27,526.23",""""
JSE Africa Gold Index,-,2436.85,2499.21,2499.22,2469.39,
ITALY:,,,,,,
"""FTSE Italia All Share Index","21,817.46","21,726.42","21,066.48","21,022.19","20,969.55",""""
SPAIN:,,,,,,
"""IBEX 35","10,812.60","10,718.50","10,374.80","10,342.40","10,275.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3054.5,3045.11,3036.01,3006.91,3015.13,
NZ Top 10 Capital,809.12,807.14,804.66,797.14,800.32,
TOKYO:,,,,,,
Nikkei 225 Index,9572.49,9551.05,9292.85,9212.59,9253.46,
Nikkei high,9572.83,9667.04,9445.04,9212.59,9278.46,
Nikkei low,9523.63,9505.34,9283.6,9065.94,9163.25,
Nikkei 300 Index,174.36,173.94,169.84,168.49,169.24,
Topix Index,857.62,854.68,834.45,827.78,831.24,
Nikkei vol (mil),1254,n/a,1580,1897,n/a,
HONG KONG:,,,,,,
"""Hang Seng Index","21,801.59","21,473.60","21,294.54","21,105.71","21,071.57",""""
 CHINA:,,,,,,
Shanghai A Index,2800.73,2719.62,2732.38,2698.84,2731.51,
KOREA:,,,,,,
Seoul KOSPI,1790.17,1781.13,1758.19,1721.75,1746.24,
TAIWAN:,,,,,,
TAIEX Index,8034.49,7976.74,7895.03,7829.79,7891.58,
SINGAPORE:,,,,,,
Straits Times Index,Closed,2984.29,2949.26,2927.04,2939.97,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1360.66,1359.71,1352.91,1349.33,1360.15,
INDONESIA:,,,,,,
JSX Composite Index,3082.6,3057.16,3035.32,3025.64,3053.01,
 INDIA:,,,,,,
"""BSE Sensex Index","18,287.50","18,219.99","18,070.19","18,073.90","18,167.03",""""
THAILAND:,,,,,,
FTSE SET Index,875.18,861.95,862.16,Closed,Closed,
PHILIPPINES:,,,,,,
Manila PSE Index,3524.7,3525.81,3522.72,3483.02,3469.52,
WORLD:,,,,,,
MSCI World,1158.18,1145.36,1112.83,1106.07,1103.56,
Comm Research Index,274.46,272.15,268.7,268.78,268.66,
Moody's Comm Index,5286.5,5283.21,5233.16,5202.1,5233.44,
LME Index,3440,3377.8,3320.2,3351.9,3306.4,
