Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-05T18:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,,
New York:,,
,
DJ Indust,"13,073.01","13,008.68","12,971.06","12,878.88","13,096.17",,
DJ Opening,"13,075.35","13,071.72","13,007.47","12,969.70","12,884.82",,
Day's High,"13,128.64","13,082.66","13,074.83","12,969.85","13,133.18",,
Day's low,"13,042.85","13,006.48","12,951.16","12,778.90","12,884.82",,
Nasdaq Comp,2945.84,2939.52,2920.21,2909.77,2967.90,,
S&P 500 Index,1385.3,1379.32,1375.14,1365.00,1390.99,,
Wilshire 5000,"14,400.30","14,394.63","14,319.34","14,136.15",n/a,,
NYSE volume ('000),"65,739","88,692","1,027,693","82,327","75,217",,
NYSE rises,1460,1219,1095,1140,2494,,
NYSE falls,1520,1746,1874,1853,511,,
Transport,5112.37,5088.34,4986.76,4984.15,5086.31,,
NYSE Comp,7911.05,7863.94,7841.35,7765.60,7939.55,,
AMEX Index,2396.88,2377.70,2386.66,2390.63,2424.53,,
Canada:,,
,
DJ S&P TSX Index,"11,757.88","11,664.71","11,618.53","11,506.50","11,662.59",,
London:,,
,
FTSE 100 Index,5693.63,5635.28,5712.82,5662.30,5787.28,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2340.31,2325.72,2333.38,2263.36,2372.58,,
Germany:,,
,
German Xetra Dax,6774.06,6772.26,6754.46,6606.09,6865.66,,
France:,,
,
CAC Index,3320.71,3291.66,3321.56,3232.46,3374.19,,
Switzerland:,,
,
Swiss Market Index,6402.38,6399.27,Closed,6407.30,6461.54,,
Johannesburg:,,
,
FTSE JSE All Share Index,"34,958.59","34,596.90","35,070.66","35,033.09","35,244.22",,
JSE Africa Gold Index,2427.87,2410.84,2388.07,2424.91,2396.22,,
Italy:,,
,
FTSE Italia All Share Index,"14,896.63","14,817.67","14,840.74","14,217.03","15,078.37",,
Spain:,,
,
IBEX 35,6801.8,6738.1,6720.0,6373.4,6755.7,,
New Zealand:,,
,
NZ Top 50 Capital,3518.89,3545.01,3530.65,3564.11,3548.00,,
NZ Top 10 Capital,884.18,892.27,888.33,899.15,895.01,,
Tokyo:,,
,
Nikkei 225 Index,8635.44,8695.06,8641.85,8653.18,8555.11,,
Nikkei high,8663.30,8732.84,8654.61,8705.91,8565.06,,
Nikkei low,8589.19,8585.26,8578.16,8635.51,8513.20,,
Nikkei 300 Index,148.45,149.41,148.24,148.96,147.31,,
Topix Index,731.74,736.31,729.78,732.98,723.94,,
Nikkei vol (mil),n/a,1761,1579,1627,1765,,
Hong Kong:,,
,
Hang Seng Index,"19,585.40","19,796.81","19,820.38","19,690.20","19,666.18",,
China:,,
,
Shanghai A Index,2210.40,2203.89,2224.44,2211.71,2234.15,,
Korea:,,
,
Seoul KOSPI,1843.79,1881.99,1879.93,1869.40,1848.68,,
Taiwan:,,
,
TAIEX Index,7158.88,7270.49,7267.96,Closed,7217.51,,
Singapore:,,
,
Straits Times Index,3032.80,3036.40,3051.08,3036.19,3051.33,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1632.35,1631.60,1632.47,1633.45,1635.04,,
Indonesia:,,
,
JSX Composite Index,4099.12,4142.34,4130.47,4093.11,4099.81,,
India:,,
,
BSE Sensex Index,"17,143.68","17,236.18","17,257.38","17,224.36","17,197.93",,
Thailand:,,
,
FTSE SET Index,1193.32,1199.30,1201.13,Closed,1197.53,,
Philippines:,,
,
Manila PSE Index,5277.90,5307.66,5298.72,5293.40,5285.91,,
World:,,
,
MSCI World,1253.9,1250.57,1248.10,1234.97,1259.65,,
Comm Research Index,302.84,299.84,299.56,294.83,301.03,,
Moody's Comm Index,6278.83,6274.39,6195.51,6152.21,n/a,,
LME Index,3202.9,3191.2,3137.3,3094.8,3145.5,,
,
Source: Thomson Reuters,
