Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-30T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,,
New York:,,
,
DJ Indust,"11,980.52","11,977.19","11,985.44","11,989.83","11,823.70",,
DJ Opening,"11,873.43","11,980.52","11,978.85","11,985.36","11,990.36",,
Day's High,"11,982.94","11,985.97","12,020.52","12,019.53","12,012.42",,
Day's low,"11,867.98","11,898.74","11,961.83","11,971.93","11,803.04",,
Nasdaq Comp,2717.55,2719.25,2739.50,2755.28,2686.89,,
S&P 500 Index,1290.84,1291.18,1296.63,1299.54,1276.34,,
Wilshire 5000,"13,584.74","13,588.21","13,672.21","13,707.93","13,450.80",,
NYSE volume ('000),"95,672","1,042,436","1,120,767","98,691","1,342,042",,
NYSE rises,2114,1603,2089,1675,484,,
NYSE falls,882,1379,920,1311,2533,,
Transport,5076.52,5050.59,5106.75,5135.31,4994.87,,
NYSE Comp,8157.42,8141.13,8193.64,8207.06,8062.64,,
AMEX Index,2157.62,2142.23,2174.86,2166.43,2140.29,,
Canada:,,
,
DJ S&P TSX Index,"13,347.58","13,259.63","13,465.75","13,410.20","13,437.58",,
London:,,
,
FTSE 100 Index,5943.85,5917.71,5969.21,5965.08,5881.37,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2979.06,2957.78,2967.78,2989.75,2954.13,,
Germany:,,
,
German Xetra Dax,7067.77,7059.01,7127.35,7155.58,7102.80,,
France:,,
,
CAC Index,4033.21,4019.62,4049.07,4059.57,4002.32,,
Switzerland:,,
,
Swiss Market Index,6603.80,6580.33,6592.99,6562.36,6528.13,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,869.06","31,656.63","31,965.24","32,138.54","31,543.05",,
JSE Africa Gold Index,2571.04,2501.91,2510.98,2542.23,2521.47,,
Italy:,,
,
FTSE Italia All Share Index,"22,772.98","22,568.76","22,637.30","22,917.40","22,648.98",,
Spain:,,
,
IBEX 35,"10,815.4","10,664.4","10,670.7","10,828.7","10,747.0",,
New Zealand:,,
,
NZ Top 50 Capital,3352.66,3359.07,3354.72,3350.93,3352.64,,
NZ Top 10 Capital,878.79,880.54,879.72,878.73,880.30,,
Tokyo:,,
,
Nikkei 225 Index,"10,345.11","10,464.42","10,401.90","10,478.66","10,360.34",,
Nikkei high,"10,347.94","10,480.24","10,440.35","10,496.40","10,480.08",,
Nikkei low,"10,278.81","10,355.80","10,392.46","10,421.75","10,332.65",,
Nikkei 300 Index,186.12,188.52,187.19,188.60,186.58,,
Topix Index,917.18,929.28,922.64,929.66,919.69,,
Nikkei vol (mil),1877,1970,1628,2016,2106,,
Hong Kong:,,
,
Hang Seng Index,"23,801.78","23,788.83","23,843.24","23,779.62","23,617.02",,
China:,,
,
Shanghai A Index,2822.25,2803.12,2836.01,2878.33,2881.97,,
Korea:,,
,
Seoul KOSPI,2082.16,2086.67,2110.46,2115.01,2107.87,,
Taiwan:,,
,
TAIEX Index,8947.79,8991.39,9055.59,9102.33,9145.35,,
Singapore:,,
,
Straits Times Index,3185.76,3181.15,3220.78,3219.83,3229.69,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1542.97,1526.43,1520.00,1526.96,1521.89,,
Indonesia:,,
,
JSX Composite Index,3346.06,3433.91,3501.72,3514.62,3487.61,,
India:,,
,
BSE Sensex Index,"19,151.28","18,969.45",Closed,"18,684.43","18,395.97",,
Thailand:,,
,
FTSE SET Index,963.68,959.17,978.07,986.71,981.83,,
Philippines:,,
,
Manila PSE Index,3902.71,3960.30,3931.64,3990.49,3970.34,,
World:,,
,
MSCI World,1312.18,1310.93,1318.32,1321.14,1302.13,,
Comm Research Index,332.76,327.62,332.89,331.45,335.51,,
Moody's Comm Index,6630.45,6634.83,6612.33,6647.56,6715.27,,
LME Index,4175.1,4072.1,4121.6,4167.1,4223.6,,
,
Source: Thomson Reuters,
