Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-10-21T20:00:23+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,,
New York:,,
,
DJ Indust,"13,424.23","13,551.78","13,557.00","13,548.94","13,343.51",,
DJ Opening,"13,329.54","13,423.84","13,539.63","13,553.24","13,545.33",,
Day's High,"13,437.66","13,556.37","13,561.65","13,588.73","13,545.49",,
Day's low,"13,325.93","13,423.76","13,468.90","13,510.93","13,312.22",,
Nasdaq Comp,3064.18,3101.17,3104.12,3072.87,3005.62,,
S&P 500 Index,1440.13,1454.92,1460.91,1457.34,1433.19,,
Wilshire 5000,"14,907.17","15,111.63","15,183.48","15,191.60","15,001.19",,
NYSE volume ('000),"61,718","63,938","68,643","71,671","93,923",,
NYSE rises,1991,2250,2041,1452,663,,
NYSE falls,989,732,900,1527,2323,,
Transport,5065.47,5118.87,5148.70,5156.54,5082.16,,
NYSE Comp,8293.50,8386.47,8446.52,8442.81,8324.15,,
AMEX Index,2439.78,2454.87,2463.58,2434.26,2408.53,,
Canada:,,
,
DJ S&P TSX Index,"12,229.96","12,407.70","12,461.25","12,466.12","12,415.98",,
London:,,
,
FTSE 100 Index,5805.61,5870.54,5910.91,5917.05,5896.15,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2485.12,2547.90,2569.83,2574.19,2542.24,,
Germany:,,
,
German Xetra Dax,7261.25,7376.27,7394.55,7437.23,7380.64,,
France:,,
,
CAC Index,3420.28,3500.94,3527.50,3535.18,3504.56,,
Switzerland:,,
,
Swiss Market Index,6704.21,6774.02,6786.40,6781.72,6756.14,,
Johannesburg:,,
,
FTSE JSE All Share Index,"36,620.28","36,974.24","37,274.68","37,051.95","36,783.12",,
JSE Africa Gold Index,2415.97,2455.91,2432.35,2349.98,2309.48,,
Italy:,,
,
FTSE Italia All Share Index,"16,490.31","16,887.30","17,139.33","17,085.03","16,761.54",,
Spain:,,
,
IBEX 35,7678.5,7940.2,8128.2,8100.3,7913.4,,
New Zealand:,,
,
NZ Top 50 Capital,3916.37,3940.70,3965.18,4001.95,3988.16,,
NZ Top 10 Capital,944.86,953.30,955.22,967.28,962.98,,
Tokyo:,,
,
Nikkei 225 Index,8577.93,8701.31,8806.55,8982.86,9002.68,,
Nikkei high,8595.11,8707.95,8837.19,8992.36,9016.90,,
Nikkei low,8488.14,8633.68,8758.70,8877.17,8940.38,,
Nikkei 300 Index,146.80,148.86,150.39,152.98,153.23,,
Topix Index,722.99,732.40,739.79,752.30,754.39,,
Nikkei vol (mil),1624,1555,1829,2088,1760,,
Hong Kong:,,
,
Hang Seng Index,"21,148.25","21,207.07","21,416.64","21,518.71","21,551.76",,
China:,,
,
Shanghai A Index,2197.90,2197.98,2205.14,2232.48,2228.94,,
Korea:,,
,
Seoul KOSPI,1925.59,1941.54,1955.15,1959.12,1943.84,,
Taiwan:,,
,
TAIEX Index,7418.90,7471.02,7464.40,7465.41,7408.76,,
Singapore:,,
,
Straits Times Index,3043.05,3046.81,3045.67,3060.36,3048.92,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1654.44,1653.52,1660.67,1665.42,1666.35,,
Indonesia:,,
,
JSX Composite Index,4313.52,4329.08,4337.53,4356.97,4331.25,,
India:,,
,
BSE Sensex Index,"18,713.55","18,577.70","18,610.77","18,791.93","18,682.31",,
Thailand:,,
,
FTSE SET Index,1290.56,1287.49,1301.28,1311.21,1307.71,,
Philippines:,,
,
Manila PSE Index,5383.22,5399.94,5438.38,5435.94,5432.36,,
World:,,
,
MSCI World,1312.78,1329.43,1339.65,1339.55,1322.28,,
Comm Research Index,304.95,306.60,308.22,309.16,306.47,,
Moody's Comm Index,6376.40,6388.99,6429.95,6489.41,n/a,,
LME Index,3413.1,3417.6,3462.0,3475.1,3392.9,,
,
Source: Thomson Reuters,
