Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-30T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,,
New York:,,
,
DJ Indust,"17,076.87","17,106.70","17,122.01","17,079.57","17,098.45",,
DJ Opening,"17,011.81","17,079.57","17,111.03","17,119.06","17,083.42",,
Day's High,"17,124.74","17,153.80","17,134.60","17,119.06","17,110.42",,
Day's low,"17,011.81","17,079.57","17,090.61","17,018.33","17,035.38",,
Nasdaq Comp,4557.35,4570.64,4569.62,4557.70,4580.27,,
S&P 500 Index,1997.92,2000.02,2000.12,1996.74,2003.37,,
Wilshire 5000,"21,153.17","21,193.54","21,192.48","21,150.55","21,233.89",,
NYSE volume ('000),493240,511486,496836,490591,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8454.25,8421.31,8428.06,8405.38,8408.02,,
NYSE Comp,"11,005.36","11,025.37","11,037.89","11,009.70","11,046.33",,
AMEX Index,2737.81,2744.46,2757.99,2760.09,n/a,,
Canada:,,
,
DJ S&P TSX Index,"15,598.74","15,619.21","15,602.65","15,558.17","15,625.73",,
London:,,
,
FTSE 100 Index,Closed,6822.76,6830.66,6805.80,6819.75,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3165.47,3197.54,3194.45,3164.44,3172.63,,
Germany:,,
,
German Xetra Dax,9510.14,9588.15,9569.71,9462.56,9470.17,,
France:,,
,
CAC Index,4342.11,4393.41,4395.26,4366.04,4381.04,,
Switzerland:,,
,
Swiss Market Index,8611.58,8673.29,8669.80,8622.23,8658.97,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,437.58","51,729.68","51,610.42","51,133.13","50,959.02",,
JSE Africa Gold Index,1482.20,1494.55,1507.69,1515.92,1534.95,,
Italy:,,
,
FTSE Italia All Share Index,"21,609.69","21,890.73","22,029.09","21,615.11","21,711.30",,
Spain:,,
,
IBEX 35,"10,690.1","10,826.9","10,837.4","10,722.2","10,728.8",,
New Zealand:,,
,
NZ Top 50 Capital,5182.74,5195.63,5243.70,5237.51,5223.30,,
NZ Top 10 Capital,1160.93,1164.55,1178.60,1173.00,1166.78,,
Tokyo:,,
,
Nikkei 225 Index,"15,613.25","15,521.22","15,534.82","15,459.86","15,424.59",,
Nikkei high,"15,628.61","15,613.34","15,588.22","15,487.99","15,447.81",,
Nikkei low,"15,553.51","15,519.42","15,465.99","15,423.90","15,356.00",,
Nikkei 300 Index,260.27,258.94,258.88,257.58,257.09,,
Topix Index,1291.31,1285.01,1285.92,1280.74,1277.97,,
Hong Kong:,,
,
Hang Seng Index,"25,166.91","25,074.50","24,918.75","24,741.00","24,742.06",,
China:,,
,
Shanghai A Index,2333.80,2310.58,2313.03,2298.62,2320.99,,
Korea:,,
,
Seoul KOSPI,2060.89,2068.05,2074.93,2075.76,2068.54,,
Taiwan:,,
,
TAIEX Index,9390.62,9393.96,9485.59,9478.37,9436.27,,
Singapore:,,
,
Straits Times Index,3330.28,3323.02,3341.46,3330.22,3327.09,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1862.31,1861.82,1872.38,1875.68,1866.11,,
Indonesia:,,
,
JSX Composite Index,5184.96,5146.55,5165.25,5184.48,5136.86,,
India:,,
,
BSE Sensex Index,"26,437.02","26,442.81","26,560.15","26,638.11",Closed,,
Thailand:,,
,
FTSE SET Index,1563.13,1560.17,1564.58,1559.05,1561.63,,
Philippines:,,
,
Manila PSE Index,Closed,7146.35,7160.46,7100.70,7050.89,,
World:,,
,
MSCI World,1745.24,1749.14,1750.68,1744.35,1748.67,,
Comm Research Index,289.23,290.98,291.13,292.03,293.44,,
Moody's Comm Index,6122.56,6101.64,6063.27,6101.64,6101.64,,
LME Index,Closed,3295.7,3288.7,3258.9,3280.4,,
,
Source: Thomson Reuters,
