Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-07-27T14:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,,
New York:,,
,
DJ Indust,"15,545.55","15,567.74","15,542.24","15,555.61","15,558.83",,
DJ Opening,"15,543.97","15,547.00","15,576.69","15,539.17","15,547.85",,
Day's High,"15,576.21","15,604.22","15,602.60","15,560.33","15,560.97",,
Day's low,"15,516.20","15,544.06","15,496.84","15,455.59","15,405.16",,
Nasdaq Comp,3600.39,3579.27,3579.60,3605.19,3613.16,,
S&P 500 Index,1695.53,1692.39,1685.94,1690.25,1691.65,,
Wilshire 5000,"17,968.46","17,940.00","17,862.42","17,938.58","17,942.75",,
NYSE volume ('000),"58,328,700","62,235,700","67,761,200","67,964,100 ","59,691,900",,
NYSE rises,1694,1702,716, 1709 ,1403,,
NYSE falls,1272,1287,2273,1291,1556,,
Transport,6578.01,6515.40,6442.17,6438.78,6472.92,,
NYSE Comp,9650.59,9659.62,9605.06,9635.06,9620.13,,
AMEX Index,2369.60, 2369.22,2345.16, 2353.73,2353.49,,
Canada:,,
,
DJ S&P TSX Index,"12,758.38","12,745.38","12,672.30","12,669.14","12,647.90",,
London:,,
,
FTSE 100 Index,6623.17,6597.44,6620.43,6587.95,6554.79,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2725.40,2722.90,2752.25,2740.29,2741.96,,
Germany:,,
,
German Xetra Dax,8331.06,8314.23,8379.11,8298.98,8244.91,,
France:,,
,
CAC Index,3939.92,3923.09,3962.75,3956.02,3968.84,,
Switzerland:,,
,
Swiss Market Index,7927.45,7896.26,7923.07,7865.38,7796.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,894.05","41,176.57","40,886.61","40,739.95","40,497.81",,
JSE Africa Gold Index,1292.49,1305.87,1313.02,1300.99,1252.52,,
Italy:,,
,
FTSE Italia All Share Index,"17,270.32","17,277.00","17,485.22","17,473.35","17,452.69",,
Spain:,,
,
IBEX 35,7966.0,8073.7,8192.5,8282.1,8353.6,,
New Zealand:,,
,
NZ Top 50 Capital,4554.04,4580.59,4599.20,4576.80,4581.99,,
NZ Top 10 Capital,1081.74,1087.58,1092.52,1084.95,1086.07,,
Tokyo:,,
,
Nikkei 225 Index,"14,658.04","14,778.51","14,731.28","14,562.93","14,129.98",,
Nikkei high,"14,770.02","14,820.18","14,751.87","14,748.77","14,376.01",,
Nikkei low,"14,514.29","14,549.06","14,630.68","14,533.21","14,114.52",,
Nikkei 300 Index,247.93,249.40,248.76,244.99,237.63,,
Topix Index,1216.53,1222.72,1219.92,1202.32,1167.06,,
Hong Kong:,,
,
Hang Seng Index,"21,416.50","21,915.42","21,968.93","21,900.96","21,968.95",,
China:,,
,
Shanghai A Index,2098.32,2139.35,2128.25,2115.45,2104.62,,
Korea:,,
,
Seoul KOSPI,1880.35,1904.15,1912.08,1909.61,1910.81,,
Taiwan:,,
,
TAIEX Index,8105.45,8214.65,8196.19,8163.58,8149.40,,
Singapore:,,
,
Straits Times Index,3234.35,3253.76,3274.76,3235.68,3236.10,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1797.68,1805.31,1810.00,1808.42,1807.61,,
Indonesia:,,
,
JSX Composite Index,4678.98,4767.16,4718.10,4674.12,4658.87,,
India:,,
,
BSE Sensex Index,"20,159.12","20,302.13","20,090.68","19,804.76","19,748.19",,
Thailand:,,
,
FTSE SET Index,1481.84,1513.31,1501.36,1456.68,1476.71,,
Philippines:,,
,
Manila PSE Index,6627.36,6743.21,6804.16,6800.11,6763.62,,
World:,,
,
MSCI World,1520.62,1519.77,1518.38,1517.72,1516.21,,
Comm Research Index,291.59,291.20,288.29,287.45,285.01,,
Moody's Comm Index,5967.52,5991.56,5984.62,5955.03,5885.01,,
LME Index,3043.0,3046.0,3056.2,3031.7,2976.4,,
,
Source: Thomson Reuters,
