Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-10T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,,
New York:,,
,
DJ Indust,"12,400.03","12,393.90","12,426.75","12,409.49","12,380.05",,
DJ Opening,"12,374.60","12,402.08","12,386.66","12,426.45","12,409.87",,
Day's High,"12,407.41","12,438.14","12,450.93","12,440.56","12,450.36",,
Day's low,"12,369.15","12,353.34","12,386.66","12,328.36","12,320.72",,
Nasdaq Comp,2789.19,2791.19,2799.82,2796.14,2780.42,,
S&P 500 Index,1332.87,1332.63,1335.54,1333.51,1328.17,,
Wilshire 5000,"14,120.29","14,129.25","14,151.80","14,120.77","14,054.65",,
NYSE volume ('000),"76,969","82,951","88,462","91,047","82,113",,
NYSE rises,1602,1629,1690,1116,987,,
NYSE falls,1344,1312,1270,1872,1945,,
Transport,5378.96,5342.92,5343.98,5316.54,5228.30,,
NYSE Comp,8482.41,8488.39,8508.23,8489.33,8483.94,,
AMEX Index,2412.28,2443.50,2433.82,2422.14,2447.89,,
Canada:,,
,
DJ S&P TSX Index,"14,218.35","14,270.53","14,202.65","14,107.77","14,208.43",,
London:,,
,
FTSE 100 Index,6016.98,6007.06,6041.13,6007.37,6055.75,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2955.84,2950.96,2971.48,2963.69,2984.66,,
Germany:,,
,
German Xetra Dax,7175.33,7175.31,7215.11,7178.78,7217.02,,
France:,,
,
CAC Index,4042.92,4041.74,4048.16,4028.30,4061.91,,
Switzerland:,,
,
Swiss Market Index,6414.60,6430.30,6443.06,6465.57,6457.93,,
Johannesburg:,,
,
FTSE JSE All Share Index,"32,437.77","32,630.86","32,887.47","32,633.25","32,806.27",,
JSE Africa Gold Index,2766.70,2787.64,2851.40,2819.62,2838.26,,
Italy:,,
,
FTSE Italia All Share Index,"22,736.03","22,775.22","23,023.23","22,941.17","23,093.55",,
Spain:,,
,
IBEX 35,"10,756.1","10,678.6","10,845.1","10,849.1","10,913.2",,
New Zealand:,,
,
NZ Top 50 Capital,3459.51,3469.38,3449.88,3450.36,3445.28,,
NZ Top 10 Capital,893.33,896.17,888.14,887.51,884.17,,
Tokyo:,,
,
Nikkei 225 Index,9718.89,9615.55,9584.37,9590.93,9768.08,,
Nikkei high,9808.60,9732.26,9671.46,9687.18,9804.28,,
Nikkei low,9718.89,9566.05,9562.16,9578.47,9536.68,,
Nikkei 300 Index,174.48,172.13,170.78,171.35,173.69,,
Topix Index,859.75,847.16,839.61,841.10,853.13,,
Nikkei vol (mil),2530,2618,2590,2228,2792,,
Hong Kong:,,
,
Hang Seng Index,"24,150.58",Closed,"24,285.05","24,281.80","24,396.07",,
China:,,
,
Shanghai A Index,Closed,Closed,3142.80,3149.59,3172.79,,
Korea:,,
,
Seoul KOSPI,2115.87,2130.43,2126.71,2122.14,2127.97,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,8851.98,8901.72,8894.54,,
Singapore:,,
,
Straits Times Index,3140.62,3146.75,3170.33,3171.65,3187.31,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1555.48,1553.07,1552.89,1561.93,1557.49,,
Indonesia:,,
,
JSX Composite Index,3700.05,3685.94,3727.80,3730.58,3741.81,,
India:,,
,
BSE Sensex Index,"19,701.73","19,686.82","19,612.20","19,591.18","19,451.45",,
Thailand:,,
,
FTSE SET Index,1078.66,1076.13,Closed,1089.21,1082.69,,
Philippines:,,
,
Manila PSE Index,4209.43,4167.09,4212.52,4219.43,4241.01,,
World:,,
,
MSCI World,1345.62,1343.64,1348.86,1345.20,1351.43,,
Comm Research Index,362.33,363.26,363.61,364.63,368.86,,
Moody's Comm Index,7324.77,7425.61,7454.03,7452.06,7523.45,,
LME Index,4247.1,4265.1,4352.6,4376.0,4469.4,,
,
Source: Thomson Reuters,
