Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-05-05T16:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 29,Apr 30,May 1,May 2,May 3,,
New York:,,
,
DJ Indust,"14,818.75","14,839.80","14,700.95","14,831.58","14,973.96",,
DJ Opening,"14,712.55","14,818.75","14,839.80","14,700.95","14,831.58",,
Day's High,"14,844.96","14,839.80","14,839.80","14,834.63","15,009.59",,
Day's low,"14,712.55","14,734.47","14,687.05","14,700.95","14,831.58",,
Nasdaq Comp,3307.02,3328.79,3299.13,3340.62,3378.63,,
S&P 500 Index,1593.61,1597.57,1582.70,1597.59,1614.42,,
Wilshire 5000,"16,809.37","16,864.43","16,681.12","16,847.23","17,029.93",,
NYSE volume ('000),"59,775","88,621","72,048","67,525","71,482",,
NYSE rises,2197,1980,837,2280,2183,,
NYSE falls,786,985,2154,716,804,,
Transport,6150.03,6177.95,6034.85,6094.02,6218.90,,
NYSE Comp,9245.22,9276.88,9175.79,9246.73,9340.47,,
AMEX Index,2411.90,2409.40,2401.30,2420.28,2431.03,,
Canada:,,
,
DJ S&P TSX Index,"12,312.67","12,456.50","12,321.29","12,379.64","12,438.03",,
London:,,
,
FTSE 100 Index,6458.02,6430.12,6451.29,6460.71,6521.46,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2717.38,2712.00,2711.74,2718.90,2763.68,,
Germany:,,
,
German Xetra Dax,7873.50,7913.71,Closed,7961.71,8122.29,,
France:,,
,
CAC Index,3868.68,3856.75,Closed,3858.76,3912.95,,
Switzerland:,,
,
Swiss Market Index,7901.73,7906.21,Closed,7902.21,7937.61,,
Johannesburg:,,
,
FTSE JSE All Share Index,"39,025.64","38,735.00",Closed,"39,082.85","39,592.28",,
JSE Africa Gold Index,1540.68,1497.98,Closed,1521.10,1485.74,,
Italy:,,
,
FTSE Italia All Share Index,"17,930.45","17,789.73",Closed,"17,777.72","17,965.67",,
Spain:,,
,
IBEX 35,8450.9,8419.0,Closed,8406.4,8544.8,,
New Zealand:,,
,
NZ Top 50 Capital,4580.96,4614.37,4603.02,4574.46,4544.32,,
NZ Top 10 Capital,1076.71,1087.67,1082.35,1076.95,1063.92,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"13,860.86","13,799.35","13,694.04",Closed,,
Nikkei high,Closed,"13,897.06","13,844.82","13,780.48",Closed,,
Nikkei low,Closed,"13,778.75","13,782.00","13,637.96",Closed,,
Nikkei 300 Index,Closed,235.87,234.41,233.19,Closed,,
Topix Index,Closed,1165.13,1158.37,1153.28,Closed,,
Hong Kong:,,
,
Hang Seng Index,"22,580.77","22,737.01",Closed,"22,668.30","22,689.96",,
China:,,
,
Shanghai A Index,Closed,Closed,Closed,2275.67,2308.33,,
Korea:,,
,
Seoul KOSPI,1940.70,1963.95,Closed,1957.21,1965.71,,
Taiwan:,,
,
TAIEX Index,8029.74,8093.66,Closed,8128.51,8135.03,,
Singapore:,,
,
Straits Times Index,3361.92,3368.18,Closed,3402.39,3369.90,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1707.97,1717.65,Closed,1713.46,1694.77,,
Indonesia:,,
,
JSX Composite Index,4999.75,5034.07,5060.92,4994.05,4925.48,,
India:,,
,
BSE Sensex Index,"19,387.50","19,504.18",Closed,"19,735.77","19,575.64",,
Thailand:,,
,
FTSE SET Index,1584.93,1597.86,Closed,1589.19,1578.95,,
Philippines:,,
,
Manila PSE Index,7028.35,7070.99,Closed,7093.42,7215.35,,
World:,,
,
MSCI World,1468.44, 1468.4,1466.53,1466.5,1482.46,,
Comm Research Index,289.96,288.65,283.78,287.20,290.69,,
Moody's Comm Index,6032.44,6081.19,6095.40,5992.24,6036.95,,
LME Index,3119.5,3075.6,2976.9,2978.5,3134.3,,
,
Source: Thomson Reuters,
