Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-15T17:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 9,May 10,May 11,May 12,May 13,,
New York:,,
,
DJ Indust,"12,684.68","12,760.36","12,630.03","12,695.92","12,595.75",,
DJ Opening,"12,637.83","12,685.13","12,745.87","12,629.96","12,695.65",,
Day's High,"12,722.07","12,781.06","12,748.21","12,718.58","12,714.50",,
Day's low,"12,620.20","12,681.65","12,577.21","12,537.17","12,543.19",,
Nasdaq Comp,2843.25,2871.89,2845.06,2863.04,2828.47,,
S&P 500 Index,1346.29,1357.16,1342.08,1348.65,1337.77,,
Wilshire 5000,"14,231.26","14,358.48","14,193.06","14,265.35","14,139.49",,
NYSE volume ('000),"77,696","83,137","97,680","94,983","89,676",,
NYSE rises,2099,2448,476,1898,856,,
NYSE falls,908,563,2599,1130,2148,,
Transport,5470.16,5527.50,5457.37,5454.24,5383.91,,
NYSE Comp,8478.19,8550.49,8428.09,8456.18,8371.67,,
AMEX Index,2390.49,2412.56,2375.41,2370.60,2350.28,,
Canada:,,
,
DJ S&P TSX Index,"13,677.13","13,642.06","13,419.74","13,389.42","13,377.16",,
London:,,
,
FTSE 100 Index,5942.69,6018.89,5976.00,5944.96,5925.87,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2902.40,2939.02,2942.43,2917.05,2894.60,,
Germany:,,
,
German Xetra Dax,7410.52,7501.52,7495.05,7443.95,7403.31,,
France:,,
,
CAC Index,4007.26,4052.51,4058.08,4023.29,4018.85,,
Switzerland:,,
,
Swiss Market Index,6476.89,6526.16,6562.82,6562.59,6563.26,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,609.78","32,085.56","32,051.35","31,681.83","31,959.93",,
JSE Africa Gold Index,2558.75,2582.29,2560.38,2531.61,2578.78,,
Italy:,,
,
FTSE Italia All Share Index,"22,393.87","22,703.02","22,741.85","22,522.05","22,491.44",,
Spain:,,
,
IBEX 35,"10,396.3","10,474.4","10,531.5","10,487.6","10,356.5",,
New Zealand:,,
,
NZ Top 50 Capital,3518.98,3528.75,3558.87,3540.31,3535.79,,
NZ Top 10 Capital,911.96,914.56,924.74,921.56,919.02,,
Tokyo:,,
,
Nikkei 225 Index,9794.38,9818.76,9864.26,9716.65,9648.77,,
Nikkei high,9897.88,9853.13,9929.04,9836.71,9751.45,,
Nikkei low,9776.74,9755.93,9842.67,9716.65,9552.93,,
Nikkei 300 Index,173.14,173.80,174.25,172.55,170.99,,
Topix Index,853.21,856.46,857.62,849.34,839.94,,
Nikkei vol (mil),n/a,1909,2069,2014,2830,,
Hong Kong:,,
,
Hang Seng Index,"23,336.00",Closed,"23,291.80","23,073.76","23,276.27",,
China:,,
,
Shanghai A Index,3008.08,3027.17,3019.57,2978.36,3006.67,,
Korea:,,
,
Seoul KOSPI,2139.17,Closed,2166.63,2122.65,2120.08,,
Taiwan:,,
,
TAIEX Index,9035.48,9023.28,9020.40,9033.68,9006.61,,
Singapore:,,
,
Straits Times Index,3136.94,3156.26,3177.18,3130.45,3163.68,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1519.41,1523.37,1536.03,1532.29,1540.74,,
Indonesia:,,
,
JSX Composite Index,3785.45,3800.52,3838.14,3808.71,3832.02,,
India:,,
,
BSE Sensex Index,"18,528.96","18,512.77","18,584.96","18,335.79","18,531.28",,
Thailand:,,
,
FTSE SET Index,1072.47,1085.56,1100.48,1086.27,1084.96,,
Philippines:,,
,
Manila PSE Index,4257.15,4303.13,4335.04,4312.01,4292.11,,
World:,,
,
MSCI World,1353.77,1366.37,1357.35,1351.14,1343.17,,
Comm Research Index,344.26,348.73,338.26,338.72,338.69,,
Moody's Comm Index,6997.92,7078.56,7159.01,7070.17,6964.23,,
LME Index,4042.3,4070.7,3994.6,4004.3,3994.9,,
,
Source: Thomson Reuters,
