Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2013-04-01T16:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,,
New York:,,
,
DJ Indust,"14,447.75","14,559.65","14,526.16","14,578.54",Closed,,
DJ Opening,"14,512.03","14,447.75","14,559.65","14,526.16",Closed,,
Day's High,"14,563.75","14,561.54","14,559.65","14,585.10 ",Closed,,
Day's low,"14,395.00","14,447.75","14,439.55","14,520.86",Closed,,
Nasdaq Comp,3235.30,3252.48,3256.52,3267.52,Closed,,
S&P 500 Index,"1,551.69","1,563.77","1,562.85 ","1,569.19",Closed,,
Wilshire 5000,"16,414.60","16,533.04","16,531.00","16,598.26",Closed,,
NYSE volume ('000),"65,887","55,797","59,558","88,607",Closed,,
NYSE rises,1212,2053,1582,1850,Closed,,
NYSE falls,1772,919,1377,1125,Closed,,
Transport,6134.48,6182.37,6193.27,6255.33,Closed,,
NYSE Comp,9022.96,9083.71,9070.45,9107.05,Closed,,
AMEX Index,2403.57,2400.67,2401.12,2406.18,Closed,,
Canada:,,
,
DJ S&P TSX Index,"12,680.71","12,706.38","12,699.65","12,749.90",Closed,,
London:,,
,
FTSE 100 Index,6378.38,6399.37,6387.56,6411.74,Closed,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2649.28,2641.12,2612.46,2624.02,Closed,,
Germany:,,
,
German Xetra Dax,7870.90,7879.67,7789.09,7795.31,Closed,,
France:,,
,
CAC Index,3727.98,3748.64,3711.64,3731.42,Closed,,
Switzerland:,,
,
Swiss Market Index,7758.22,7800.05,7780.17,7813.67,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,008.70","40,253.25","39,882.44","39,860.84",Closed,,
JSE Africa Gold Index,1880.44,1861.43,1864.89,1856.04,Closed,,
Italy:,,
,
FTSE Italia All Share Index,"16,719.23","16,562.05","16,406.60","16,388.58",Closed,,
Spain:,,
,
IBEX 35,8140.6,7990.5,7900.4,7920.0,Closed,,
New Zealand:,,
,
NZ Top 50 Capital,4340.73,4346.03,4412.06,4422.75,Closed,,
NZ Top 10 Capital,1012.89,1009.08,1032.25,1037.20,Closed,,
Tokyo:,,
,
Nikkei 225 Index,"12,546.46","12,471.62","12,493.79","12,335.96","12,397.91",,
Nikkei high,"12,594.36","12,540.12","12,502.26","12,462.86","12,425.96",,
Nikkei low,"12,480.42","12,456.04","12,442.39","12,286.37","12,319.75",,
Nikkei 300 Index,212.56,211.80,212.14,209.98,209.80,,
Topix Index,1047.29,1044.42,1046.47,1036.78,1034.71,,
Nikkei level,,,,,,,
Hong Kong:,,
,
Hang Seng Index,"22,251.15","22,311.08","22,464.82","22,299.63",Closed,,
China:,,
,
Shanghai A Index,2435.44,2404.93,2408.70,2340.53,2340.92,,
Korea:,,
,
Seoul KOSPI,1977.67,1983.70,1993.44,1993.52,2004.89,,
Taiwan:,,
,
TAIEX Index,7856.12,7856.36,7894.12,7866.88,7918.61,,
Singapore:,,
,
Straits Times Index,3267.48,3288.53,3313.03,3308.10,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1643.89,1652.83,1667.57,1674.04,1671.63,,
Indonesia:,,
,
JSX Composite Index,4777.90,4842.52,4928.10,4940.99,Closed,,
India:,,
,
BSE Sensex Index,"18,681.42","18,704.53",Closed,"18,835.77",Closed,,
Thailand:,,
,
FTSE SET Index,1523.95,1544.03,1560.87,1544.57,1561.06,,
Philippines:,,
,
Manila PSE Index,6597.59,6665.12,6847.47,Closed,Closed,,
World:,,
,
MSCI World,1426.71,1432.64,1428.9,1434.62,1434.52,,
Comm Research Index,295.22,297.23,298.69,296.91,296.91,,
Moody's Comm Index,6184.10,6187.88,6223.00,6189.90,6189.90,,
LME Index,3295.8,3284.0,3284.3,3262.1,Closed,,
,
Source: Thomson Reuters,
