Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-03-14T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,,
New York:,,
,
DJ Indust,"17,995.72","17,662.94","17,635.39","17,895.22","17,749.31",,
DJ Opening,"17,856.56","17,989.56","17,662.94","17,626.84","17,889.05",,
Day's High,"18,031.04","17,989.56","17,731.78","17,900.10","17,889.05",,
Day's low,"17,856.56","17,662.94","17,627.00","17,620.49","17,629.89",,
Nasdaq Comp,4942.44,4859.80,4849.94,4893.29,4871.76,,
S&P 500 Index,2079.43,2044.16,2040.24,2065.95,2053.40,,
Wilshire 5000,"21,960.69","21,616.91","21,600.88","21,869.63","21,746.76",,
NYSE volume ('000),741554,851682,784685,746775,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8928.13,8798.35,8897.27,9005.69,8945.13,,
NYSE Comp,"10,866.62","10,678.41","10,678.76","10,820.87","10,751.02",,
AMEX Index,2445.15,2394.23,2377.98,2394.84,2375.34,,
Canada:,,
,
DJ S&P TSX Index,"14,854.49","14,641.76","14,739.20","14,770.72","14,731.50",,
London:,,
,
FTSE 100 Index,6876.47,6702.84,6721.51,6761.07,6740.58,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3610.28,3567.25,3649.54,3641.32,3656.21,,
Germany:,,
,
German Xetra Dax,"11,582.11","11,500.38","11,805.99","11,799.39","11,901.61",,
France:,,
,
CAC Index,4937.20,4881.95,4997.75,4987.33,5010.46,,
Switzerland:,,
,
Swiss Market Index,9046.88,9023.71,9106.23,9119.81,9156.02,,
Johannesburg:,,
,
FTSE JSE All Share Index,"52,614.08","52,088.54","51,753.07","52,240.06","51,798.74",,
JSE Africa Gold Index,1152.55,1175.40,1162.53,1171.77,1123.00,,
Italy:,,
,
FTSE Italia All Share Index,"24,059.54","23,844.25","24,334.16","24,321.81","24,249.04",,
Spain:,,
,
IBEX 35,"11,054.2","10,902.2","11,021.8","11,011.8","11,033.8",,
New Zealand:,,
,
NZ Top 50 Capital,5896.96,5887.75,5861.98,5886.78,5908.59,,
NZ Top 10 Capital,1245.59,1240.40,1230.03,1236.44,1239.88,,
Tokyo:,,
,
Nikkei 225 Index,"18,790.55","18,665.11","18,723.52","18,991.11","19,254.25",,
Nikkei high,"18,878.15","18,924.38","18,836.93","19,008.13","19,335.80",,
Nikkei low,"18,733.87","18,577.06","18,583.52","18,774.42","19,042.25",,
Nikkei 300 Index,311.39,309.61,309.69,314.02,316.75,,
Topix Index,1531.76,1524.75,1525.67,1546.63,1560.33,,
Hong Kong:,,
,
Hang Seng Index,"24,123.05","23,896.98","23,717.97","23,797.96","23,823.21",,
China:,,
,
Shanghai A Index,3460.38,3443.15,3448.22,3509.60,3534.33,,
Korea:,,
,
Seoul KOSPI,1992.82,1984.77,1980.83,1970.59,1985.79,,
Taiwan:,,
,
TAIEX Index,9562.98,9536.53,9523.18,9596.00,9579.35,,
Singapore:,,
,
Straits Times Index,3404.57,3398.26,3378.59,3373.60,3362.77,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1791.74,1789.73,1778.16,1786.87,1781.75,,
Indonesia:,,
,
JSX Composite Index,5444.63,5462.93,5419.57,5439.83,5426.47,,
India:,,
,
BSE Sensex Index,"28,844.78","28,709.87","28,659.17","28,930.41","28,503.30",,
Thailand:,,
,
FTSE SET Index,1559.71,1531.04,1543.84,1544.34,1541.55,,
Philippines:,,
,
Manila PSE Index,7820.29,7828.48,7790.70,7839.82,7809.54,,
World:,,
,
MSCI World,1741.84,1712.55,1710.79,1728.62,1719.82,,
Comm Research Index,219.86,216.59,216.43,215.20,211.23,,
Moody's Comm Index,5344.26,5313.70,5291.47,5288.16,5288.16,,
LME Index,2746.3,2699.4,2675.7,2706.5,2720.2,,
,
Source: Thomson Reuters,
