Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-08-14T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 8,Aug 9,Aug 10,Aug 11,Aug 12,,
New York:,,
,
DJ Indust,"10,809.85","11,239.77","10,719.94","11,143.31","11,269.02",,
DJ Opening,"11,433.93","10,810.91","11,228.00","10,729.85","11,143.46",,
Day's High,"11,434.09","11,244.01","11,228.00","11,278.90","11,346.67",,
Day's low,"10,809.85","10,604.07","10,686.49","10,729.85","11,142.18",,
Nasdaq Comp,2357.69,2482.52,2381.05,2492.68,2507.98,,
S&P 500 Index,1119.46,1172.53,1120.76,1172.64,1178.81,,
Wilshire 5000,"11,677.52","12,275.46","11,745.96","12,305.06","12,367.61",,
NYSE volume ('000),"2,536,314","2,402,413","2,143,413","1,880,670","1,253,649",,
NYSE rises,47,2881,832,2844,1945,,
NYSE falls,3091,244,2250,239,1090,,
Transport,4363.50,4561.13,4377.14,4566.20,4622.58,,
NYSE Comp,6895.97,7258.04,6938.23,7257.58,7303.88,,
AMEX Index,2103.85,2221.1,2161.73,2236.53,2262.27,,
Canada:,,
,
DJ S&P TSX Index,"11,670.96","12,109.26","12,198.89","12,539.80","12,542.20",,
London:,,
,
FTSE 100 Index,5068.95,5164.92,5007.16,5162.83,5320.03,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2286.91,2294.24,2153.77,2215.45,2307.33,,
Germany:,,
,
German Xetra Dax,5923.27,5917.08,5613.42,5797.66,5997.74,,
France:,,
,
CAC Index,3125.19,3176.19,3002.99,3089.66,3213.88,,
Switzerland:,,
,
Swiss Market Index,4967.99,4997.92,4791.96,5032.75,5252.81,,
Johannesburg:,,
,
FTSE JSE All Share Index,"28,391.18",Closed,"28,658.57","29,490.20","29,826.40",,
JSE Africa Gold Index,2512.17,–,2671.87,2735.23,2674.95,,
Italy:,,
,
FTSE Italia All Share Index,"16,312.54","16,394.37","15,398.42","16,003.71","16,658.49",,
Spain:,,
,
IBEX 35,8459.4,8428.9,7966.0,8249.4,8647.3,,
New Zealand:,,
,
NZ Top 50 Capital,3185.45,3097.78,3183.74,3208.62,3216.50,,
NZ Top 10 Capital,836.23,812.05,832.56,842.58,842.49,,
Tokyo:,,
,
Nikkei 225 Index,9097.56,8944.48,9038.74,8981.94,8963.72,,
Nikkei high,9215.09,8949.97,9144.33,8983.33,9070.27,,
Nikkei low,9057.29,8656.79,9021.36,8832.42,8926.89,,
Nikkei 300 Index,158.84,156.00,157.30,156.03,155.51,,
Topix Index,782.86,770.39,776.73,770.88,768.19,,
Nikkei vol (mil),2041,3319,2259,2237,2029,,
Hong Kong:,,
,
Hang Seng Index,"20,490.57","19,330.70","19,783.67","19,595.14","19,620.01",,
China:,,
,
Shanghai A Index,2646.54,2645.75,2669.92,2703.89,2715.98,,
Korea:,,
,
Seoul KOSPI,1869.45,1801.35,1806.24,1817.44,1793.31,,
Taiwan:,,
,
TAIEX Index,7552.80,7493.12,7736.32,7719.09,7637.02,,
Singapore:,,
,
Straits Times Index,2884.00,Closed,2821.09,2796.22,2850.59,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1496.99,1472.14,1480.52,1476.46,1483.67,,
Indonesia:,,
,
JSX Composite Index,3850.27,3735.12,3863.58,3869.37,3890.53,,
India:,,
,
BSE Sensex Index,"16,990.18","16,857.91","17,130.51","17,059.40","16,839.63",,
Thailand:,,
,
FTSE SET Index,1078.19,1042.54,1060.21,1062.07,Closed,,
Philippines:,,
,
Manila PSE Index,4331.24,4157.03,4290.14,4311.02,4321.73,,
World:,,
,
MSCI World,1132.91,1164.91,1130.33,1166.54,1180.82,,
Comm Research Index,317.93,316.30,320.62,326.53,326.72,,
Moody's Comm Index,6912.06,6819.45,6755.05,6821.76,6821.60,,
LME Index,3816.0,3815.9,3776.3,3891.4,3887.0,,
,
Source: Thomson Reuters,
