Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-06-14T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 9,Jun 10,Jun 11,Jun 12,Jun 13,,
New York:,,
,
DJ Indust,"16,943.10","16,945.92","16,843.88","16,734.19","16,775.74",,
DJ Opening,"16,926.08","16,940.40","16,943.16","16,840.48","16,734.64",,
Day's High,"16,970.17","16,946.34","16,943.16","16,841.57","16,787.89",,
Day's low,"16,912.92","16,897.44","16,821.85","16,703.73","16,718.60",,
Nasdaq Comp,4336.24,4338.00,4331.93,4297.63,4310.65,,
S&P 500 Index,1951.27,1950.79,1943.89,1930.11,1936.16,,
Wilshire 5000,"20,697.60","20,686.14","20,612.23","20,469.86","20,532.98",,
NYSE volume ('000),n/a,n/a,n/a,n/a,n/a,,
NYSE rises,1270,859,1147,1259,n/a,,
NYSE falls,813,1228,1872,1768,n/a,,
Transport,8214.99,8204.29,8141.55,7983.04,8042.85,,
NYSE Comp,"10,918.62","10,914.20","10,872.69","10,825.03","10,856.22",,
AMEX Index,2715.38,2721.70,2732.71,2743.38,n/a,,
Canada:,,
,
DJ S&P TSX Index,"14,871.21","14,904.38","14,892.13","14,909.63","15,001.61",,
London:,,
,
FTSE 100 Index,6875.00,6873.55,6838.87,6843.11,6777.85,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3305.26,3313.80,3289.09,3284.28,3282.84,,
Germany:,,
,
German Xetra Dax,"10,008.63","10,028.80",9949.81,9938.70,9912.87,,
France:,,
,
CAC Index,4589.12,4595.00,4555.11,4554.40,4543.28,,
Switzerland:,,
,
Swiss Market Index,Closed,8752.86,8712.09,8670.98,8653.76,,
Johannesburg:,,
,
FTSE JSE All Share Index,"50,134.53","50,736.42","50,659.44","50,596.17","50,763.71",,
JSE Africa Gold Index,1390.73,1412.28,1414.26,1408.56,1387.50,,
Italy:,,
,
FTSE Italia All Share Index,"23,810.47","23,860.93","23,565.76","23,504.72","23,496.64",,
Spain:,,
,
IBEX 35,"11,164.1","11,153.5","11,074.9","11,088.5","11,113.7",,
New Zealand:,,
,
NZ Top 50 Capital,5186.43,5179.40,5179.15,5195.11,5170.51,,
NZ Top 10 Capital,1168.55,1166.04,1166.05,1173.52,1165.38,,
Tokyo:,,
,
Nikkei 225 Index,"15,124.00","14,994.80","15,069.48","14,973.53","15,097.84",,
Nikkei high,"15,206.57","15,184.77","15,075.72","14,992.96","15,121.64",,
Nikkei low,"15,116.03","14,966.80","14,998.63","14,862.08","14,830.99",,
Nikkei 300 Index,251.01,249.73,251.78,251.36,252.67,,
Topix Index,1234.78,1228.73,1239.07,1237.75,1243.97,,
Hong Kong:,,
,
Hang Seng Index,"23,117.47","23,315.74","23,257.29","23,175.02","23,319.17",,
China:,,
,
Shanghai A Index,2125.90,2149.02,2151.56,2148.21,2168.18,,
Korea:,,
,
Seoul KOSPI,1990.04,2011.80,2014.67,2011.65,1990.85,,
Taiwan:,,
,
TAIEX Index,9162.74,9222.37,9229.80,9204.65,9196.39,,
Singapore:,,
,
Straits Times Index,3305.20,3293.82,3290.04,3293.01,3293.25,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1863.69,1876.61,1878.38,1873.87,1876.74,,
Indonesia:,,
,
JSX Composite Index,4885.08,4946.09,4971.95,4934.41,4926.66,,
India:,,
,
BSE Sensex Index,"25,580.21","25,583.69","25,473.89","25,576.21","25,228.17",,
Thailand:,,
,
FTSE SET Index,1457.30,1469.19,1463.71,1457.02,1456.02,,
Philippines:,,
,
Manila PSE Index,6802.73,6777.98,6809.18,Closed,6784.95,,
World:,,
,
MSCI World,1735.99,1735.32,1731.20,1725.49,1727.21,,
Comm Research Index,306.94,306.20,305.94,309.33,310.70,,
Moody's Comm Index,6274.03,6246.78,"64,409.00",6215.01,6215.01,,
LME Index,3120.1,3110.0,3092.5,3054.0,3066.3,,
,
Source: Thomson Reuters,
