Weekly Roundup - Overseas Indices,,,,,,
XAO 4693.7 at 16:47 9/10/2009  Report at 19:10 Friday 9/10/2009 . Processed 17:54 Sunday 11/10/2009.,,,,,,



,,,,,,
,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,
NEW YORK:,,,,,,
DJ Indust         ,9599.75,9731.25,9725.58,9786.87,9864.94,
DJ Opening    ,9488.75,9601.26,9725.69,9728.22,9786.04,
Day's High      ,9625.06,9774.32,9740.32,9836.67,9865.01,
Day's low         ,9481.09,9601.26,9675.62,9728.07,9764.88,
Nasdaq Comp       ,2068.15,2103.57,2110.33,2123.93,2139.28,
S&P 500 Index     ,1040.46,1054.72,1057.58,1065.48,1071.49,
"""NYSE volume ('000)      ","1,118,483","1,228,551","1,090,836","1,277,967","98,991",""""
NYSE rises        ,2535,2414,1567,2203,1804,
NYSE falls        ,512,621,1384,817,1188,
Transport         ,3758.71,3779.64,3783.86,3868.35,3875.72,
NYSE Comp         ,6795.13,6899.68,6912.65,6990.67,7015.54,
AMEX Index        ,1764.81,1780.81,1786.57,1818.6,1810.64,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,102.62","11,247.97","11,349.88","11,484.51","11,436.92",""""
LONDON:,,,,,,
FT 100 Index      ,5024.33,5137.98,5108.9,5154.64,5161.87,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2790.78,2865.7,2852.17,2887.61,2882.18,
GERMANY:,,,,,,
German Xetra Dax  ,5508.85,5657.64,5640.75,5716.54,5711.88,
FRANCE:,,,,,,
CAC Index         ,3675.01,3770.21,3756.41,3806.81,3799.61,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6162.9,6277.16,6260.15,6305.8,6291.64,
JOHANNESBURG:,,,,,,
"""All Share Index   ","24,661.53","25,019.72","25,298.97","25,528.40","25,380.05",""""
JSE Africa Gold Index        ,2467.97,2633.7,2664.15,n/a     ,2649.4,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,325.43","23,940.48","23,897.61","24,141.04","24,232.09",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,557.00","11,817.10","11,721.40","11,814.30","11,743.20",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3138.72,3151.55,3141.19,3168.94,3163.25,
NZ Top 10 Capital   ,865.82,866.98,858.06,866.07,860.65,
TOKYO:,,,,,,
"""Nikkei 225 Index  ",9674.49,9691.8,9799.6,9832.47,"10,016.39",""""
"""Nikkei high       ",9751.56,9744.42,9821.74,9863.34,"10,016.39",""""
Nikkei low        ,9669.31,9628.67,9735.68,9746.15,9857.39,
Nikkei 300 Index  ,174.86,175.7,178.18,178.67,180.97,
Topix Index       ,867.28,871.63,885.69,887.59,897.83,
Nikkei vol (mil)  ,1.947,1.958,2.339,1.824,2.094,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,429.07","20,811.53","21,241.59","21,492.90","21,499.44",""""
 CHINA:,,,,,,
Shanghai A Index  ,closed    ,closed    ,closed   ,closed   ,3055.7,
KOREA:,,,,,,
Seoul KOSPI     ,1606.9,1598.44,1598,1615.46,1646.79,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,866.41","16,958.54","16,806.66","16,834.54","16,642.66",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2583.73,2611.89,2634.63,2650.95,2652.51,
MALAYSIA:,,,,,,
KL Composite Index   ,1216.45,1212.73,1218.61,1230.09,1233.82,
INDONESIA:,,,,,,
JSX Composite Index      ,2480.41,2528.15,2513.41,2484.52,2474.4,
THAILAND:,,,,,,
Bangkok SET Index         ,718.47,731.39,741.92,744.03,746.87
PHILIPPINES:,,,,,
Manila PSE Index         ,2819.48,2884.46,2967.06,2968.02,2942.78
TAIWAN:,,,,,
TAIEX Index   ,7437.98,7536.05,7608.66,7503.31,7571.96
WORLD:,,,,,
MSCI World        ,1095.8,1123.4,1120.8,1139.9,1138.1
Comm Research Index    ,256.23,259.47,258.37,263.91,262.55
Moody's Comm Index   ,3935.87,3943.02,4016.32,4027.01,4084.33
LME Index        ,2765.8,2845.9,2858,2978.3,2934.2
