Weekly Roundup - Overseas Indices,,,,,,
XAO 4671.9 at 16:47 18/12/2009 Report at 19:44 Friday 18/12/2009 . Processed 18:33 Saturday 19/12/2009.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,14-Dec,15-Dec,16-Dec,17-Dec,18-Dec,
NEW YORK:,,,,,,
"""DJ Indust         ","10,501.05","10,452.00","10,441.12","10,308.26","10,328.89",""""
"""DJ Opening    ","10,471.28","10,499.31","10,449.81","10,439.99","10,309.39",""""
"""Day's High      ","10,514.66","10,499.31","10,509.97","10,440.06","10,372.35",""""
"""Day's low         ","10,471.28","10,426.69","10,427.59","10,307.96","10,263.90",""""
Nasdaq Comp       ,2212.1,2201.05,2206.91,2180.05,2211.69,
S&P 500 Index     ,1114.11,1107.93,1109.18,1096.08,1102.47,
"""NYSE volume ('000)      ","1,073,025","1,177,575","1,164,448","1,716,957","3,159,634",""""
NYSE rises        ,2268,1212,1967,845,1774,
NYSE falls        ,780,1815,1058,2203,1242,
Transport         ,4165.11,4163.79,4174.63,4124.92,4128.53,
NYSE Comp         ,7186.49,7141.44,7180.77,7063.75,7086.19,
AMEX Index        ,1791.6,1776.79,1787.19,1762.11,1767.04,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,545.69","11,541.02","11,637.04","11,473.06","11,463.40",""""
LONDON:,,,,,,
FT 100 Index      ,5315.34,5285.77,5320.26,5217.61,5196.81,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2885,2888.58,2926.52,2891.66,2871.22,
GERMANY:,,,,,,
German Xetra Dax  ,5802.26,5811.34,5903.43,5844.44,5831.21,
FRANCE:,,,,,,
CAC Index         ,3830.44,3834.09,3875.82,3830.82,3794.44,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6433.09,6439.4,6532.32,6489.23,6464.32,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,240.75","27,098.45",closed   ,"27,130.01","27,346.00",""""
JSE Africa Gold Index        ,2506.92,2503.7, -      ,2462.32,2465.2,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,057.59","23,025.98","23,288.35","23,085.30","22,885.44",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,705.90","11,735.50","11,863.20","11,696.90","11,645.00",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3098.8,3117.11,3132.3,3122.92,3154.23,
NZ Top 10 Capital   ,833.81,839.73,846.89,841.47,852.93,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,105.68","10,083.48","10,177.41","10,163.80","10,142.05",""""
"""Nikkei high       ","10,126.61","10,111.76","10,222.22","10,260.12","10,157.25",""""
"""Nikkei low        ","10,009.60","10,033.90","10,117.12","10,163.80","10,027.85",""""
Nikkei 300 Index  ,179.7,179.54,182.33,181.91,181.24,
Topix Index       ,885.08,884.63,898.29,896.28,893.59,
Nikkei vol (mil)  ,2.008,2.007,2.716,1.897,1.918,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,085.75","21,813.92","21,611.74","21,347.63","21,175.88",""""
 CHINA:,,,,,,
Shanghai A Index  ,3464.44,3434.49,3414.29,3334.44,3266.19,
KOREA:,,,,,,
Seoul KOSPI     ,1664.77,1665.85,1664.24,1647.84,1647.04,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,097.55","16,877.16","16,912.77","16,894.25","16,719.83",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2799.54,2798.7,2813.93,2813.27,2802.59,
MALAYSIA:,,,,,,
KL Composite Index   ,1265.45,1270.81,1269.03,1266.97,closed ,
INDONESIA:,,,,,,
JSX Composite Index      ,2506.39,2494.74,2522.55,2509.58,closed  ,
THAILAND:,,,,,,
Bangkok SET Index         ,709.74,709.64,716.01,715.81,715.68,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3042.1,3046.57,3032.37,3048.15,3016.99,
TAIWAN:,,,,,,
TAIEX Index   ,7819.13,7807.62,7751.6,7742.17,7753.63,
WORLD:,,,,,,
MSCI World        ,1164.6,1160.3,1169,1145.4,1140,
Comm Research Index    ,273.52,274.27,278.75,276.13,276.14,
Moody's Comm Index   ,4502.29,4553.47,4556.32,4568.66,4581.18,
LME Index        ,3233.9,3224.5,3297.1,3223.5,3224.4,
