Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2014-12-29T14:30:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 22,Dec 23,Dec 24,Dec 25,Dec 26,,
New York:,,
,
DJ Indust,"17,959.44","18,024.17","18,030.21",Closed,"18,053.71",,
DJ Opening,"17,812.25","17,971.51","18,035.73",–,"18,038.30",,
Day's High,"17,962.78","18,069.22","18,086.24",–,"18,103.45",,
Day's low,"17,812.25","17,970.16","18,027.78",–,"18,038.30",,
Nasdaq Comp,4781.42,4765.42,4773.47,–,4806.86,,
S&P 500 Index,2078.54,2082.17,2081.88,–,2088.77,,
Wilshire 5000,"21,811.19","21,857.50","21,867.83",–,"21,949.03",,
NYSE volume ('000),790026,692050,n/a,–,n/a,,
NYSE rises,n/a,n/a,n/a,–,n/a,,
NYSE falls,n/a,n/a,n/a,–,n/a,,
Transport,9081.53,9150.06,9178.89,–,9199.65,,
NYSE Comp,"10,919.99","10,951.76","10,955.11",–,"10,985.40",,
AMEX Index,2464.26,2465.05,2476.16,–,2484.68,,
Canada:,,
,
DJ S&P TSX Index,"14,432.38","14,594.03","14,609.25",Closed,Closed,,
London:,,
,
FTSE 100 Index,6576.74,6598.18,6609.93,Closed,Closed,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3154.91,3192.47,3184.66,Closed,Closed,,
Germany:,,
,
German Xetra Dax,9865.76,9922.11,Closed,Closed,Closed,,
France:,,
,
CAC Index,4254.43,4314.97,4295.85,Closed,Closed,,
Switzerland:,,
,
Swiss Market Index,9033.45,9021.67,Closed,Closed,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,339.32","49,568.00","49,478.57",Closed,Closed,,
JSE Africa Gold Index,1113.28,1081.62,1064.55,–,–,,
Italy:,,
,
FTSE Italia All Share Index,"20,172.18","20,451.51",Closed,Closed,Closed,,
Spain:,,
,
IBEX 35,"10,371.0","10,477.7","10,481.8",Closed,Closed,,
New Zealand:,,
,
NZ Top 50 Capital,5541.74,5552.10,5557.42,Closed,5557.42,,
NZ Top 10 Capital,1178.15,1181.31,1182.33,–,1182.33,,
Tokyo:,,
,
Nikkei 225 Index,"17,635.14",Closed,"17,854.23","17,808.75","17,818.96",,
Nikkei high,"17,692.58",–,"17,875.41","17,832.47","17,843.73",,
Nikkei low,"17,572.62",–,"17,800.42","17,773.59","17,769.01",,
Nikkei 300 Index,286.12,–,288.87,288.01,288.89,,
Topix Index,1413.05,–,1426.02,1421.26,1427.50,,
Hong Kong:,,
,
Hang Seng Index,"23,408.57","23,333.69","23,349.34",Closed,Closed,,
China:,,
,
Shanghai A Index,3276.89,3177.37,3114.07,3219.06,3308.39,,
Korea:,,
,
Seoul KOSPI,1943.12,1939.02,1946.61,Closed,1948.16,,
Taiwan:,,
,
TAIEX Index,9095.00,9097.71,9186.18,9158.70,9214.07,,
Singapore:,,
,
Straits Times Index,3330.96,3332.51,3345.91,Closed,3353.68,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1744.05,1749.05,1749.74,Closed,1764.44,,
Indonesia:,,
,
JSX Composite Index,5125.77,5139.07,5166.98,Closed,Closed,,
India:,,
,
BSE Sensex Index,"27,701.79","27,506.46","27,208.61",Closed,"27,241.78",,
Thailand:,,
,
FTSE SET Index,1536.83,1531.17,1525.06,1504.89,1510.41,,
Philippines:,,
,
Manila PSE Index,7139.27,7186.32,Closed,Closed,Closed,,
World:,,
,
MSCI World,1723.26,1724.10,1726.23,1725.79,1729.42,,
Comm Research Index,237.19,239.20,235.92,Closed,235.22,,
Moody's Comm Index,5480.19,5536.93,Closed,Closed,Closed,,
LME Index,2941.7,2922.5,2915.3,Closed,Closed,,
,
Source: Thomson Reuters,
