Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-09-02T16:00:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,,
New York:,,
,
DJ Indust,"13,124.67","13,102.99","13,107.48","13,000.71","13,090.84",,
DJ Opening,"13,157.74","13,122.74","13,103.46","13,101.29","13,002.72",,
Day's High,"13,176.17","13,147.32","13,144.81","13,101.37","13,151.87",,
Day's low,"13,115.46","13,081.12","13,081.27","12,978.91","13,002.64",,
Nasdaq Comp,3073.19,3077.14,3081.19,3048.71,3066.96,,
S&P 500 Index,1410.44,1409.3,1410.49,1399.48,1406.58,,
Wilshire 5000,"14,707.94","14,656.28","14,646.44","14,575.87","14,677.45",,
NYSE volume ('000),"50,325","51,574","50,863","51,105","74,483",,
NYSE rises,1410,1661,1767,818,2030,,
NYSE falls,1555,1260,1152,2090,869,,
Transport,5073.48,5061.99,5050.67,4993.03,5007.49,,
NYSE Comp,8036.25,8033.85,8031.65,7966.24,8014.93,,
AMEX Index,2412.60,2425.72,2411.34,2405.33,2416.52,,
Canada:,,
,
DJ S&P TSX Index,"12,048.82","12,009.90","12,009.79","11,886.65","11,949.26",,
London:,,
,
FTSE 100 Index,Closed,5775.71,5743.53,5719.45,5711.48,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2461.82,2442.12,2434.23,2403.80,2440.71,,
Germany:,,
,
German Xetra Dax,7047.45,7002.68,7010.57,6895.49,6970.79,,
France:,,
,
CAC Index,3462.83,3431.55,3413.89,3379.11,3413.07,,
Switzerland:,,
,
Swiss Market Index,6491.28,6421.42,6421.96,6378.29,6388.01,,
Johannesburg:,,
,
FTSE JSE All Share Index,"35,897.69","35,767.70","35,737.18","35,307.35","35,389.45",,
JSE Africa Gold Index,2402.94,2299.14,2286.61,2252.35,2217.34,,
Italy:,,
,
FTSE Italia All Share Index,"15,902.53","15,875.64","15,839.09","15,689.58","16,008.21",,
Spain:,,
,
IBEX 35,7398.9,7333.5,7306.0,7195.0,7420.5,,
New Zealand:,,
,
NZ Top 50 Capital,3623.23,3629.05,3628.39,3629.56,3666.68,,
NZ Top 10 Capital,899.12,903.18,903.78,902.58,913.29,,
Tokyo:,,
,
Nikkei 225 Index,9085.39,9033.29,9069.81,8983.78,8839.91,,
Nikkei high,9150.48,9140.62,9073.99,9062.07,8933.99,,
Nikkei low,9084.87,8988.99,9033.83,8960.24,8839.91,,
Nikkei 300 Index,153.70,152.02,152.73,151.51,148.91,,
Topix Index,755.37,746.30,750.03,743.79,731.64,,
Nikkei vol (mil),1097,1630,1402,1347,1586,,
Hong Kong:,,
,
Hang Seng Index,"19,798.67","19,811.80","19,788.51","19,552.91","19,482.57",,
China:,,
,
Shanghai A Index,2153.01,2171.24,2150.32,2149.67,2144.30,,
Korea:,,
,
Seoul KOSPI,1917.87,1916.33,1928.54,1906.38,1905.12,,
Taiwan:,,
,
TAIEX Index,7468.22,7361.94,7391.15,7371.44,7397.06,,
Singapore:,,
,
Straits Times Index,3044.49,3040.07,3041.57,3011.82,3025.46,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1648.13,1647.11,1645.58,1646.11,Closed,,
Indonesia:,,
,
JSX Composite Index,4145.88,4142.85,4093.17,4025.58,4060.33,,
India:,,
,
BSE Sensex Index,"17,678.81","17,631.71","17,490.81","17,541.64","17,429.56",,
Thailand:,,
,
FTSE SET Index,1233.73,1233.16,1220.16,1214.55,1227.48,,
Philippines:,,
,
Manila PSE Index,Closed,5175.62,5195.72,5149.31,5196.19,,
World:,,
,
MSCI World,1286.55,1284.25,1283.23,1272.02,1279.21,,
Comm Research Index,306.25,307.27,307.49,306.88,309.96,,
Moody's Comm Index,6306.22,6305.64,6322.91,6333.26,6301.37,,
LME Index,Closed,3247.2,3221.9,3204.5,3225.3,,
,
Source: Thomson Reuters,
