Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-10-29T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,,
New York:,,
,
DJ Indust,"13,345.89","13,102.53","13,077.34","13,103.68","13,107.21",,
DJ Opening,"13,344.28","13,344.90","13,103.53","13,079.64","13,104.22",,
Day's High,"13,368.55","13,344.90","13,155.21","13,164.52","13,151.72",,
Day's low,"13,235.15","13,083.28","13,063.63","13,039.86","13,040.17",,
Nasdaq Comp,3016.96,2990.46,2981.70,2986.12,2987.95,,
S&P 500 Index,1433.82,1413.11,1408.75,1412.97,1411.94,,
Wilshire 5000,"14,859.16","14,680.87","14,724.55","14,716.63","14,664.93",,
NYSE volume ('000),"63,358"," 66,842","64,882","69,473","73,735",,
NYSE rises,1438,801,1306,1785,1215,,
NYSE falls,1508,2192,1649,1175,1724,,
Transport,5064.48,5107.32,5004.53,5035.29,5052.35,,
NYSE Comp,8329.19,8195.31,8179.26,8211.91,8190.20,,
AMEX Index, 2419.87,2384.08,2375.28,2388.15,2375.28,,
Canada:,,
,
DJ S&P TSX Index,"12,403.54","12,225.84","12,195.02","12,300.23","12,300.30",,
London:,,
,
FTSE 100 Index,5882.91,5797.91,5804.78,5805.05,5806.71,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2531.10,2477.92,2490.58,2483.43,2496.10,,
Germany:,,
,
German Xetra Dax,7328.05,7173.69,7192.85,7200.23,7231.85,,
France:,,
,
CAC Index,3483.25,3406.50,3426.49,3411.53,3435.09,,
Switzerland:,,
,
Swiss Market Index,6746.71,6626.79,6627.41,6606.57,6600.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"36,968.50","36,678.03","36,951.53","36,995.65","36,871.71",,
JSE Africa Gold Index,2338.49,2344.40,2360.60,2358.93,2329.53,,
Italy:,,
,
FTSE Italia All Share Index,"16,762.79","16,463.63","16,601.33","16,436.39","16,498.13",,
Spain:,,
,
IBEX 35,7877.1,7747.7,7791.5,7779.2,7775.6,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,4004.26,4001.45,3990.49,3983.78,,
NZ Top 10 Capital,–,967.50,967.83,962.76,959.74,,
Tokyo:,,
,
Nikkei 225 Index,9010.71,9014.25,8954.30,9055.20,8933.06,,
Nikkei high,9031.55,9075.58,9043.80,9057.31,9075.59,,
Nikkei low,8867.79,8970.50,8896.41,8941.85,8933.06,,
Nikkei 300 Index,153.15,152.34,150.97,152.61,150.42,,
Topix Index,753.72,749.37,743.27,751.42,741.23,,
Nikkei vol (mil),1564,1781,1592,n/a,1793,,
Hong Kong:,,
,
Hang Seng Index,"21,697.55",Closed,"21,763.78","21,810.23","21,545.57",,
China:,,
,
Shanghai A Index,2233.57,2214.35,2215.98,2200.81,2163.72,,
Korea:,,
,
Seoul KOSPI,1941.59,1926.81,1913.96,1924.50,1891.43,,
Taiwan:,,
,
TAIEX Index,7373.04,7337.48,7314.88,7262.08,7134.06,,
Singapore:,,
,
Straits Times Index,3045.67,3050.93,3044.73,3057.51,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1661.95,1664.90,1667.99,1671.89,Clsoed,,
Indonesia:,,
,
JSX Composite Index,4341.38,4330.15,4335.38,4339.15,Closed,,
India:,,
,
BSE Sensex Index,"18,793.44","18,710.02",,"18,758.63","18,625.34",,
Thailand:,,
,
FTSE SET Index,1310.42,,1295.00,1297.39,1281.81,,
Philippines:,,
,
Manila PSE Index,5424.79,5432.32,5398.69,5405.16,,,
World:,,
,
MSCI World,1320.86,1299.99,1298.76,1302.77,1300.23,,
Comm Research Index,303.92,300.28,298.10,298.14,297.25,,
Moody's Comm Index,6412.90,6347.40,6358.96,6357.40,n/a,,
LME Index,3354.9,3312.4,3306.1,3299.4,3288.8,,
,
Source: Thomson Reuters,
