Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-11-04T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 29,Oct 30,Oct 31,Nov 1,Nov 2,,
New York:,,
,
DJ Indust,Closed,Closed,"13,096.46","13,232.62","13,093.16",,
DJ Opening,Closed,Closed,"13,107.44","13,099.19","13,233.39",,
Day's High,Closed,Closed,"13,189.08","13,273.71","13,289.45",,
Day's low,Closed,Closed,"13,052.07","13,099.11","13,076.57",,
Nasdaq Comp,Closed,Closed,2977.23,3020.06,2982.13,,
S&P 500 Index,Closed,Closed,1412.16,1427.59,1414.20,,
Wilshire 5000,Closed,Closed,"14,668.49","14,884.23","14,866.74",,
NYSE volume ('000),Closed,Closed,"84,836","79,352","79,082",,
NYSE rises,Closed,Closed,1747,2299,893,,
NYSE falls,Closed,Closed,1271,697,2077,,
Transport,Closed,Closed,5085.03,5167.49,5110.17,,
NYSE Comp,Closed,Closed,8221.40,8311.36,8234.91,,
AMEX Index,Closed,Closed,2359.28,2377.71,2358.72,,
Canada:,,
,
DJ S&P TSX Index,"12,312.75","12,377.05","12,422.91","12,499.76","12,380.41",,
London:,,
,
FTSE 100 Index,5795.10,5849.90,5782.70,5861.92,5868.55,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2478.84,2515.99,2503.64,2533.87,2547.15,,
Germany:,,
,
German Xetra Dax,7203.16,7284.40,7260.63,7335.67,7363.85,,
France:,,
,
CAC Index,3408.89,3459.44,3429.27,3475.40,3492.46,,
Switzerland:,,
,
Swiss Market Index,6601.42,6633.10,6595.13,6660.25,6701.37,,
Johannesburg:,,
,
FTSE JSE All Share Index,"36,993.06","37,147.02","37,156.28","37,377.32","37,664.81",,
JSE Africa Gold Index,2317.83,2308.83,2388.92,2420.29,2385.42,,
Italy:,,
,
FTSE Italia All Share Index,"16,263.49","16,446.52","16,460.35","16,719.47","16,685.56",,
Spain:,,
,
IBEX 35,7728.6,7833.9,7842.9,7886.4,7968.9,,
New Zealand:,,
,
NZ Top 50 Capital,3951.30,3941.28,3957.88,3931.88,3914.08,,
NZ Top 10 Capital,947.98,946.76,950.99,943.59,937.76,,
Tokyo:,,
,
Nikkei 225 Index,8929.34,8841.98,8928.29,8946.87,9051.22,,
Nikkei high,8986.05,8995.81,8985.58,8976.08,9072.39,,
Nikkei low,8909.37,8841.98,8905.44,8871.48,9031.43,,
Nikkei 300 Index,149.92,148.40,150.26,150.26,151.97,,
Topix Index,740.30,733.46,742.33,743.32,752.09,,
Nikkei vol (mil),1416.09,2038.20,1820.07,1853.92,1882.87,,
Hong Kong:,,
,
Hang Seng Index,"21,511.05","21,428.58","21,641.82","21,821.87","22,111.33",,
China:,,
,
Shanghai A Index,2156.09,2159.67,2166.49,2203.74,2217.01,,
Korea:,,
,
Seoul KOSPI,1891.52,1899.58,1912.06,1898.44,1918.72,,
Taiwan:,,
,
TAIEX Index,7091.67,7182.59,7166.05,7179.64,7210.47,,
Singapore:,,
,
Straits Times Index,3029.61,3038.73,3038.37,3026.61,3040.75,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1672.56,1674.67,1673.07,1675.69,1656.13,,
Indonesia:,,
,
JSX Composite Index,4331.37,4364.60,4350.29,4335.36,4338.89,,
India:,,
,
BSE Sensex Index,"18,635.82","18,430.85","18,505.38","18,561.70","18,755.45",,
Thailand:,,
,
FTSE SET Index,1279.57,1294.43,1298.87,1297.99,1306.60,,
Philippines:,,
,
Manila PSE Index,5397.42,5426.67,5424.51,Closed,Closed,,
World:,,
,
MSCI World,1296.96,1302.18,1301.5,1313.19,1305.77,,
Comm Research Index,n/a,n/a,296.25,297.30,292.70,,
Moody's Comm Index,Closed,Closed,Closed,Closed,Closed,,
LME Index,3246.0,3264.1,3278.5,3318.5,3262.9,,
,
Source: Thomson Reuters,
