Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-10-05T13:45:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 30,Oct 1,Oct 2,Oct 3,Oct 4,,
New York:,,
,
DJ Indust,"15,129.67","15,191.70","15,133.14","14,996.48","15,072.58",,
DJ Opening,"15,249.82","15,132.49","15,182.65","15,127.23","14,994.68",,
Day's High,"15,249.82","15,208.40","15,182.65","15,127.23","15,083.99",,
Day's low,"15,086.71","15,110.34","15,044.71","14,947.03","14,972.33",,
Nasdaq Comp,3771.48,3817.98,3815.02,3774.34,3807.75,,
S&P 500 Index,1681.55,1695.00,1693.87,1678.66,1690.50,,
Wilshire 5000,"17,982.43","18,146.59","18,127.60","17,961.36","18,089.47",,
NYSE volume ('000),"87,730,400","71,593,600","69,066,600","70,216,900","59,655,600",,
NYSE rises,1204,2152,1303,641,1967,,
NYSE falls,1796,825,1647,2348,995,,
Transport,6582.43,6672.24,6643.89,6574.25,6609.75,,
NYSE Comp,9621.25,9693.28,9689.30,9619.20,9675.71,,
AMEX Index,2363.29,2348.76,2339.76,2328.44,2329.48,,
Canada:,,
,
DJ S&P TSX Index,"12,787.19","12,847.44","12,839.00","12,735.12","12,758.65",,
London:,,
,
FTSE 100 Index,6462.22,6460.01,6437.50,6449.04,6453.88,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2893.15,2933.02,2918.31,2902.12,2928.31,,
Germany:,,
,
German Xetra Dax,8594.40,8689.14,8629.42,8597.91,8622.97,,
France:,,
,
CAC Index,4143.44,4196.60,4158.16,4127.98,4164.25,,
Switzerland:,,
,
Swiss Market Index,8022.60,8059.01,7964.44,7942.50,7943.71,,
Johannesburg:,,
,
FTSE JSE All Share Index,"44,031.83","43,946.53","43,967.84","44,006.86","43,925.68",,
JSE Africa Gold Index,1225.49,1187.66,1204.78,1189.47,1178.82,,
Italy:,,
,
FTSE Italia All Share Index,"18,480.03","19,005.08","19,114.56","19,042.52","19,330.89",,
Spain:,,
,
IBEX 35,9186.1,9341.5,9350.0,9295.7,9420.9,,
New Zealand:,,
,
NZ Top 50 Capital,4736.39,4743.87,4768.87,4770.22,4759.38,,
NZ Top 10 Capital,1121.71,1124.07,1131.39,1131.16,1128.10,,
Tokyo:,,
,
Nikkei 225 Index,"14,455.80","14,484.72","14,170.49","14,157.25","14,024.31",,
Nikkei high,"14,619.24","14,642.97","14,569.20","14,219.89","14,149.77",,
Nikkei low,"14,425.82","14,471.70","14,114.54","14,082.31","13,944.27",,
Nikkei 300 Index,242.73,242.63,239.02,239.04,237.07,,
Topix Index,1194.10,1193.44,1175.16,1173.99,1163.82,,
Hong Kong:,,
,
Hang Seng Index,"22,859.86",Closed,"22,984.48","23,214.40","23,138.54",,
China:,,
,
Shanghai A Index,2276.26,Closed,Closed,Closed,2276.26,,
Korea:,,
,
Seoul KOSPI,1996.96,1998.87,1999.47,Closed,1996.98,,
Taiwan:,,
,
TAIEX Index,8173.87,8187.02,8216.52,8359.02,8364.55,,
Singapore:,,
,
Straits Times Index,3167.87,3181.50,3152.58,3144.79,3138.08,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1768.62,1769.03,1770.35,1771.37,1776.56,,
Indonesia:,,
,
JSX Composite Index,4316.18,4345.90,4387.60,4418.64,4389.35,,
India:,,
,
BSE Sensex Index,"19,379.77","19,517.15",Closed,"19,902.07","19,915.95",,
Thailand:,,
,
FTSE SET Index,1383.16,1408.19,1408.99,1429.18,1427.72,,
Philippines:,,
,
Manila PSE Index,6191.80,6197.84,6362.26,6387.65,6390.48,,
World:,,
,
MSCI World,1543.67,1553.51,1551.02,1542.80,1547.50,,
Comm Research Index,286.10,284.58,287.01,286.12,287.02,,
Moody's Comm Index,5895.63,5872.24,5832.70,5831.64,5839.28,,
LME Index,3140.7,3093.9,3117.3,3082.1,3124.0,,
,
Source: Thomson Reuters,
