Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-14T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,,
New York:,,
,
DJ Indust,"17,729.21","17,868.76","17,862.14","17,972.38","18,019.35",,
DJ Opening,"17,821.49","17,736.15","17,867.86","17,862.14","17,968.65",,
Day's High,"17,821.49","17,890.34","17,897.21","17,975.65","18,037.41",,
Day's low,"17,685.32","17,729.24","17,759.65","17,862.14","17,961.76",,
Nasdaq Comp,4726.01,4787.65,4801.18,4857.61,4893.84,,
S&P 500 Index,2046.74,2068.59,2068.53,2088.48,2096.99,,
Wilshire 5000,"21,602.52","21,813.97","21,807.21","22,022.24","22,120.81",,
NYSE volume ('000),775572,784373,749192,801764,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8840.63,8916.62,8941.40,9011.53,9034.06,,
NYSE Comp,"10,826.59","10,915.14","10,889.05","10,995.31","11,042.69",,
AMEX Index,2434.42,2445.78,2444.19,2475.03,2468.25,,
Canada:,,
,
DJ S&P TSX Index,"15,100.70","15,112.52","15,151.50","15,228.52","15,264.81",,
London:,,
,
FTSE 100 Index,6837.15,6829.12,6818.17,6828.11,6873.52,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3347.75,3383.13,3374.14,3417.61,3447.59,,
Germany:,,
,
German Xetra Dax,"10,663.51","10,753.83","10,752.11","10,919.65","10,963.40",,
France:,,
,
CAC Index,4651.08,4695.65,4679.38,4726.20,4759.36,,
Switzerland:,,
,
Swiss Market Index,8632.14,8620.42,8577.76,8611.03,8651.98,,
Johannesburg:,,
,
FTSE JSE All Share Index,"52,105.38","52,109.54","52,069.30","52,507.93","52,967.63",,
JSE Africa Gold Index,1530.34,1522.72,1540.07,1490.04,1482.83,,
Italy:,,
,
FTSE Italia All Share Index,"21,705.19","22,079.00","21,909.03","22,364.73","22,551.89",,
Spain:,,
,
IBEX 35,"10,364.9","10,500.1","10,364.8","10,562.2","10,739.5",,
New Zealand:,,
,
NZ Top 50 Capital,5769.57,5784.09,5789.18,5749.32,5786.54,,
NZ Top 10 Capital,1216.23,1224.33,1225.28,1212.62,1223.28,,
Tokyo:,,
,
Nikkei 225 Index,"17,711.93","17,652.68",Closed,"17,979.72","17,913.36",,
Nikkei high,"17,799.49","17,673.27",–,"18,005.45","17,962.11",,
Nikkei low,"17,653.61","17,550.03",–,"17,884.34","17,864.55",,
Nikkei 300 Index,288.99,289.70,–,294.40,294.40,,
Topix Index,1424.92,1427.72,–,1449.39,1449.38,,
Hong Kong:,,
,
Hang Seng Index,"24,521.00","24,528.10","24,315.02","24,422.15","24,682.54",,
China:,,
,
Shanghai A Index,3242.71,3291.49,3308.38,3324.88,3356.82,,
Korea:,,
,
Seoul KOSPI,1947.00,1935.86,1945.70,1941.63,1957.50,,
Taiwan:,,
,
TAIEX Index,9421.50,9393.70,9462.22,9496.31,9529.51,,
Singapore:,,
,
Straits Times Index,3418.02,3434.24,3444.57,3419.17,3426.22,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1811.58,1811.12,1798.95,1789.07,1800.95,,
Indonesia:,,
,
JSX Composite Index,5348.47,5321.47,5336.52,5343.41,5374.17,,
India:,,
,
BSE Sensex Index,"28,227.39","28,355.62","28,533.97","28,805.10","29,094.93",,
Thailand:,,
,
FTSE SET Index,1601.77,1594.96,1605.11,1613.40,1615.89,,
Philippines:,,
,
Manila PSE Index,7782.57,7723.14,7686.43,7714.59,7773.45,,
World:,,
,
MSCI World,1714.23,1725.83,1721.58,1741.22,1752.18,,
Comm Research Index,228.47,224.21,222.55,226.66,229.76,,
Moody's Comm Index,5444.81,5436.62,5389.81,5398.55,5398.55,,
LME Index,2754.3,2708.6,2698.2,2748.4,2748.6,,
,
Source: Thomson Reuters,
