Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-16T19:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,,
New York:,,
,
DJ Indust,"13,169.88","13,248.44","13,245.45","13,170.72","13,135.01",,
DJ Opening,"13,154.89","13,170.34","13,250.05","13,241.38","13,170.80",,
Day's High,"13,195.35","13,306.57","13,329.44","13,264.41","13,190.41",,
Day's low,"13,139.08","13,170.34","13,227.44","13,147.19","13,118.46",,
Nasdaq Comp,2986.96,3022.30,3013.81,2992.16,2971.33,,
S&P 500 Index,1418.55,1427.84,1428.48,1419.45,1413.58,,
Wilshire 5000,"14,872.66","14,969.77","14,960.44","14,871.99","14,816.69",,
NYSE volume ('000),"59,137","69,099","69,277","66,170","67,241",,
NYSE rises,1654,2030,1460,902,1375,,
NYSE falls,1328,967,1549,2099,1582,,
Transport,5183.36,5189.95,5174.74,5182.16,5186.95,,
NYSE Comp,8322.68,8366.47,8380.88,8338.32,8333.73,,
AMEX Index,2396.37,2392.00,2398.61,2381.27,2396.2,,
Canada:,,
,
DJ S&P TSX Index,"12,230.47","12,282.36","12,353.09","12,289.17","12,296.72",,
London:,,
,
FTSE 100 Index,5921.63,5924.97,5945.85,5929.61,5921.76,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2596.02,2624.03,2630.34,2627.66,2630.54,,
Germany:,,
,
German Xetra Dax,7530.92,7589.75,7614.79,7581.98,7596.47,,
France:,,
,
CAC Index,3612.10,3646.15,3646.66,3643.13,3643.28,,
Switzerland:,,
,
Swiss Market Index,6943.90,6973.69,6959.39,6919.54,6902.51,,
Johannesburg:,,
,
FTSE JSE All Share Index,"38,357.07","38,535.97","38,763.64","38,676.70","38,674.48",,
JSE Africa Gold Index,2254.63,2231.81,2233.48,2240.12,2219.48,,
Italy:,,
,
FTSE Italia All Share Index,"16,238.69","16,466.87","16,647.24","16,747.24","16,795.23",,
Spain:,,
,
IBEX 35,7804.4,7920.9,7986.8,8017.1,8024.1,,
New Zealand:,,
,
NZ Top 50 Capital,4030.77,4026.18,3995.26,3974.73,3979.17,,
NZ Top 10 Capital,964.58,960.42,947.41,942.02,946.27,,
Tokyo:,,
,
Nikkei 225 Index,9533.75,9525.32,9581.46,9742.73,9737.56,,
Nikkei high,9584.46,9534.18,9606.25,9767.05,9775.75,,
Nikkei low,9517.40,9487.95,9565.95,9672.47,9687.70,,
Nikkei 300 Index,159.65,159.15,160.25,161.97,162.34,,
Topix Index,788.48,786.07,791.29,799.21,801.04,,
Nikkei vol (mil),,,,,,,
Hong Kong:,,
,
Hang Seng Index,"22,276.72","22,323.94","22,503.35","22,445.58","22,605.98",,
China:,,
,
Shanghai A Index,2181.98,2172.48,2180.92,2158.57,2252.13,,
Korea:,,
,
Seoul KOSPI,1957.42,1964.62,1975.44,2002.77,1995.04,,
Taiwan:,,
,
TAIEX Index,7609.50,7613.69,7690.19,7757.09,7698.77,,
Singapore:,,
,
Straits Times Index,3114.34,3118.33,3141.57,3156.55,3168.43,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1632.15,1641.57,1649.75,1652.75,1651.98,,
Indonesia:,,
,
JSX Composite Index,4302.61,4317.92,4337.53,4320.19,4308.86,,
India:,,
,
BSE Sensex Index,"19,409.69","19,387.14","19,355.26","19,229.26","19,317.25",,
Thailand:,,
,
FTSE SET Index,n/a,1341.33,1354.57,1353.81,1358.50,,
Philippines:,,
,
Manila PSE Index,5757.54,5831.50,5819.79,5787.95,5707.11,,
World:,,
,
MSCI World,1321.96,1329.94,1332.27,1327.62,1325.49,,
Comm Research Index,293.66,294.28,295.63,293.14,295.34,,
Moody's Comm Index,6452.07,6437.19,6448.42,6404.63,n/a,,
LME Index,3529.9,3514.9,3533.6,3514.7,3520.2,,
,
Source: Thomson Reuters,
