Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-11-25T16:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,,
New York:,,
,
DJ Indust,"12,795.96","12,788.51",12836.89,Closed,"13,009.68",,
DJ Opening,"12,590.23","12,790.89","12,788.51",Closed,"12,833.13",,
Day's High,"12,796.19","12,808.56",12845.99,Closed,"13,011.45",,
Day's low,"12,590.23","12,701.07",12786.13,Closed,"12,832.98",,
Nasdaq Comp,2916.07,2916.68,2926.55,Closed,2966.85,,
S&P 500 Index,1359.88,1387.81,1391.03,Closed,1391.03,,
Wilshire 5000,14492.93,14507.72,14551.77,Closed,14733.03,,
NYSE volume ('000),"70,682"," 64,119","51,974",Closed,"32,721",,
NYSE rises,2683,1662,2009,Closed,2407,,
NYSE falls,348,1323,956,Closed,469,,
Transport,4983.71,4982.94,4997.18,Closed,5051.76,,
NYSE Comp,8080.29,8086.42,8112.18,Closed,8225.51,,
AMEX Index,2357.74,2353.65,2357.24,Closed,2386.87,,
Canada:,,
,
DJ S&P TSX Index,"12,040.40","12,046.28","12,100.06","12,153.10","12,213.24",,
London:,,
,
FTSE 100 Index,5737.66,5748.10,5752.03,5791.03,5819.14,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2495.21,2509.62,2519.68,2535.09,2557.03,,
Germany:,,
,
German Xetra Dax,7123.84,7172.99,7184.71,7244.99,7309.13,,
France:,,
,
CAC Index,3439.58,3462.06,3477.36,3498.22,3528.80,,
Switzerland:,,
,
Swiss Market Index,6638.89,6618.99,6643.70,6679.11,6715.09,,
Johannesburg:,,
,
FTSE JSE All Share Index,"37,229.64","37,306.60","37,498.02","37,844.55","37,865.59",,
JSE Africa Gold Index,2306.70,2296.60,2299.80,2338.50,2322.69,,
Italy:,,
,
FTSE Italia All Share Index,"16,166.98","16,137.62","16,265.02","16,426.01","16,507.77",,
Spain:,,
,
IBEX 35,7763.8,7778.7,7805.4,7875.6,7909.6,,
New Zealand:,,
,
NZ Top 50 Capital,3942.61,3972.97,3971.23,3997.21,4008.34,,
NZ Top 10 Capital,945.61,954.69,953.16,958.99,964.92,,
Tokyo:,,
,
Nikkei 225 Index,9153.20,9142.64,9222.52,9366.80,Closed,,
Nikkei high,9183.46,9200.85,9248.98,9366.8,Closed,,
Nikkei low,9135.29,9129.43,9161.21,9304.72,Closed,,
Nikkei 300 Index,154.34,154.28,155.37,157.36,Closed,,
Topix Index,762.16,762.04,767.01,776.43,Closed,,
Hong Kong:,,
,
Hang Seng Index,"21,262.06","21,228.28","21,524.36","21,743.20","21,913.98",,
China:,,
,
Shanghai A Index,2112.02,2103.54,2125.96,2110.54,2122.92,,
Korea:,,
,
Seoul KOSPI,1878.10,1890.18,1884.04,1899.50,1911.33,,
Taiwan:,,
,
TAIEX Index,7129.04,7145.77,7088.49,7105.76,7326.01,,
Singapore:,,
,
Straits Times Index,2950.93,2958.82,2960.30,2986.63,2989.28,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1623.31,1624.20,1622.97,1618.55,1614.32,,
Indonesia:,,
,
JSX Composite Index,4313.44,4312.37,4317.28,4335.93,4348.81,,
India:,,
,
BSE Sensex Index,"18,339.00","18,329.32","18,460.38","18,517.34","18,506.57",,
Thailand:,,
,
FTSE SET Index,1283.65,1276.41,1276.39,1279.51,1281.70,,
Philippines:,,
,
Manila PSE Index,5449.55,5500.58,5534.18,5513.37,5552.34,,
World:,,
,
MSCI World,1280.86,1281.29,1284.32,1290.50,1304.9,,
Comm Research Index,298.78,296.93,298.02,n/a,299.50,,
Moody's Comm Index,6221.12,6240.01,6274.52,6274.52,Closed,,
LME Index,3342.9,3333.8,3295.1,3305.0,3344.0,,
,
Source: Thomson Reuters,
